country,variant,freq,year,lifeexpectancyatbirth
620,estimates,5yearly,1950,60.297
620,estimates,5yearly,1955,62.366
620,estimates,5yearly,1960,64.455
620,estimates,5yearly,1965,66.368
620,estimates,5yearly,1970,68.333
620,estimates,5yearly,1975,70.403
620,estimates,5yearly,1980,72.521
620,estimates,5yearly,1985,74.038
620,estimates,5yearly,1990,74.89
620,estimates,5yearly,1995,75.996
620,estimates,5yearly,2000,77.582
620,estimates,5yearly,2005,79.284
620,estimates,5yearly,2010,80.503
620,medium_variant,5yearly,2015,81.515
620,medium_variant,5yearly,2020,82.497
620,medium_variant,5yearly,2025,83.367
620,medium_variant,5yearly,2030,84.107
620,medium_variant,5yearly,2035,84.793
620,medium_variant,5yearly,2040,85.45
620,medium_variant,5yearly,2045,86.102
620,medium_variant,5yearly,2050,86.727
620,medium_variant,5yearly,2055,87.349
620,medium_variant,5yearly,2060,87.962
620,medium_variant,5yearly,2065,88.557
620,medium_variant,5yearly,2070,89.153
620,medium_variant,5yearly,2075,89.745
620,medium_variant,5yearly,2080,90.341
620,medium_variant,5yearly,2085,90.934
620,medium_variant,5yearly,2090,91.508
620,medium_variant,5yearly,2095,92.092
620,estimates,5yearly,Regi,Portugal
620,medium_variant,5yearly,Regi,Portugal
