country,variant,freq,year,lifeexpectancyatbirth
480,estimates,5yearly,1950,50.199
480,estimates,5yearly,1955,55.75
480,estimates,5yearly,1960,61.223
480,estimates,5yearly,1965,62.952
480,estimates,5yearly,1970,63.533
480,estimates,5yearly,1975,65.663
480,estimates,5yearly,1980,68.124
480,estimates,5yearly,1985,68.522
480,estimates,5yearly,1990,70.28
480,estimates,5yearly,1995,70.391
480,estimates,5yearly,2000,72.089
480,estimates,5yearly,2005,72.761
480,estimates,5yearly,2010,74.145
480,medium_variant,5yearly,2015,74.903
480,medium_variant,5yearly,2020,75.671
480,medium_variant,5yearly,2025,76.432
480,medium_variant,5yearly,2030,77.195
480,medium_variant,5yearly,2035,77.95
480,medium_variant,5yearly,2040,78.743
480,medium_variant,5yearly,2045,79.51
480,medium_variant,5yearly,2050,80.292
480,medium_variant,5yearly,2055,81.065
480,medium_variant,5yearly,2060,81.858
480,medium_variant,5yearly,2065,82.621
480,medium_variant,5yearly,2070,83.337
480,medium_variant,5yearly,2075,84.002
480,medium_variant,5yearly,2080,84.627
480,medium_variant,5yearly,2085,85.238
480,medium_variant,5yearly,2090,85.813
480,medium_variant,5yearly,2095,86.374
480,estimates,5yearly,Regi,Mauritius
480,medium_variant,5yearly,Regi,Mauritius
