country,variant,freq,year,lifeexpectancyatbirth
703,estimates,5yearly,1950,64.434
703,estimates,5yearly,1955,68.65
703,estimates,5yearly,1960,70.629
703,estimates,5yearly,1965,70.322
703,estimates,5yearly,1970,70.073
703,estimates,5yearly,1975,70.476
703,estimates,5yearly,1980,70.627
703,estimates,5yearly,1985,70.964
703,estimates,5yearly,1990,71.603
703,estimates,5yearly,1995,72.739
703,estimates,5yearly,2000,73.816
703,estimates,5yearly,2005,74.773
703,estimates,5yearly,2010,76.306
703,medium_variant,5yearly,2015,77.002
703,medium_variant,5yearly,2020,77.726
703,medium_variant,5yearly,2025,78.447
703,medium_variant,5yearly,2030,79.162
703,medium_variant,5yearly,2035,79.89
703,medium_variant,5yearly,2040,80.646
703,medium_variant,5yearly,2045,81.398
703,medium_variant,5yearly,2050,82.136
703,medium_variant,5yearly,2055,82.846
703,medium_variant,5yearly,2060,83.511
703,medium_variant,5yearly,2065,84.132
703,medium_variant,5yearly,2070,84.705
703,medium_variant,5yearly,2075,85.258
703,medium_variant,5yearly,2080,85.798
703,medium_variant,5yearly,2085,86.327
703,medium_variant,5yearly,2090,86.843
703,medium_variant,5yearly,2095,87.357
703,estimates,5yearly,Regi,Slovakia
703,medium_variant,5yearly,Regi,Slovakia
