country,variant,freq,year,lifeexpectancyatbirth
208,estimates,5yearly,1950,71.056
208,estimates,5yearly,1955,72.071
208,estimates,5yearly,1960,72.403
208,estimates,5yearly,1965,72.926
208,estimates,5yearly,1970,73.627
208,estimates,5yearly,1975,74.236
208,estimates,5yearly,1980,74.443
208,estimates,5yearly,1985,74.746
208,estimates,5yearly,1990,75.231
208,estimates,5yearly,1995,76.139
208,estimates,5yearly,2000,77.341
208,estimates,5yearly,2005,78.582
208,estimates,5yearly,2010,80.143
208,medium_variant,5yearly,2015,80.913
208,medium_variant,5yearly,2020,81.689
208,medium_variant,5yearly,2025,82.479
208,medium_variant,5yearly,2030,83.253
208,medium_variant,5yearly,2035,84.02
208,medium_variant,5yearly,2040,84.711
208,medium_variant,5yearly,2045,85.336
208,medium_variant,5yearly,2050,85.93
208,medium_variant,5yearly,2055,86.494
208,medium_variant,5yearly,2060,87.072
208,medium_variant,5yearly,2065,87.619
208,medium_variant,5yearly,2070,88.166
208,medium_variant,5yearly,2075,88.721
208,medium_variant,5yearly,2080,89.277
208,medium_variant,5yearly,2085,89.818
208,medium_variant,5yearly,2090,90.368
208,medium_variant,5yearly,2095,90.91
208,estimates,5yearly,Regi,Denmark
208,medium_variant,5yearly,Regi,Denmark
