country,variant,freq,year,lifeexpectancyatbirth
388,estimates,5yearly,1950,58.595
388,estimates,5yearly,1955,62.706
388,estimates,5yearly,1960,65.717
388,estimates,5yearly,1965,67.609
388,estimates,5yearly,1970,69.004
388,estimates,5yearly,1975,70.739
388,estimates,5yearly,1980,72.026
388,estimates,5yearly,1985,72.11
388,estimates,5yearly,1990,72.015
388,estimates,5yearly,1995,72.089
388,estimates,5yearly,2000,72.774
388,estimates,5yearly,2005,74.204
388,estimates,5yearly,2010,75.453
388,medium_variant,5yearly,2015,76.134
388,medium_variant,5yearly,2020,76.837
388,medium_variant,5yearly,2025,77.514
388,medium_variant,5yearly,2030,78.206
388,medium_variant,5yearly,2035,78.913
388,medium_variant,5yearly,2040,79.625
388,medium_variant,5yearly,2045,80.339
388,medium_variant,5yearly,2050,81.051
388,medium_variant,5yearly,2055,81.788
388,medium_variant,5yearly,2060,82.493
388,medium_variant,5yearly,2065,83.199
388,medium_variant,5yearly,2070,83.863
388,medium_variant,5yearly,2075,84.495
388,medium_variant,5yearly,2080,85.074
388,medium_variant,5yearly,2085,85.635
388,medium_variant,5yearly,2090,86.171
388,medium_variant,5yearly,2095,86.694
388,estimates,5yearly,Regi,Jamaica
388,medium_variant,5yearly,Regi,Jamaica
