country,variant,freq,year,lifeexpectancyatbirth
524,estimates,5yearly,1950,34.009
524,estimates,5yearly,1955,34.565
524,estimates,5yearly,1960,36.196
524,estimates,5yearly,1965,39.084
524,estimates,5yearly,1970,42.018
524,estimates,5yearly,1975,44.926
524,estimates,5yearly,1980,48.336
524,estimates,5yearly,1985,52.127
524,estimates,5yearly,1990,56.435
524,estimates,5yearly,1995,60.505
524,estimates,5yearly,2000,64.057
524,estimates,5yearly,2005,66.79
524,estimates,5yearly,2010,68.898
524,medium_variant,5yearly,2015,70.774
524,medium_variant,5yearly,2020,72.248
524,medium_variant,5yearly,2025,73.491
524,medium_variant,5yearly,2030,74.601
524,medium_variant,5yearly,2035,75.63
524,medium_variant,5yearly,2040,76.595
524,medium_variant,5yearly,2045,77.509
524,medium_variant,5yearly,2050,78.382
524,medium_variant,5yearly,2055,79.198
524,medium_variant,5yearly,2060,79.976
524,medium_variant,5yearly,2065,80.754
524,medium_variant,5yearly,2070,81.503
524,medium_variant,5yearly,2075,82.265
524,medium_variant,5yearly,2080,83.009
524,medium_variant,5yearly,2085,83.724
524,medium_variant,5yearly,2090,84.4
524,medium_variant,5yearly,2095,85.041
524,estimates,5yearly,Regi,Nepal
524,medium_variant,5yearly,Regi,Nepal
