country,variant,year,medianageofpopulation
458,estimates,1950,19.7985634167386
458,estimates,1955,18.6116853355847
458,estimates,1960,17.5593632700395
458,estimates,1965,16.7808058269964
458,estimates,1970,17.3776694946779
458,estimates,1975,18.4052334626676
458,estimates,1980,19.5858725970372
458,estimates,1985,20.4213249264582
458,estimates,1990,21.5569054359254
458,estimates,1995,22.4976668724992
458,estimates,2000,23.8058944231193
458,estimates,2005,25.1758349544578
458,estimates,2010,26.2831142042355
458,constant_fertility,2015,28.5050007490606
458,constant_mortality,2015,28.5050007490606
458,estimates,2015,28.5050007490606
458,high_variant,2015,28.5050007490606
458,instant_replacement,2015,28.5050007490606
458,low_variant,2015,28.5050007490606
458,medium_variant,2015,28.5050007490606
458,no_change,2015,28.5050007490606
458,zero_migration,2015,28.5050007490606
458,constant_fertility,2020,30.5331632020758
458,constant_mortality,2020,30.5964949446284
458,high_variant,2020,30.3400941607245
458,instant_replacement,2020,30.4054297925048
458,low_variant,2020,30.9189023274323
458,medium_variant,2020,30.6294986685011
458,no_change,2020,30.500132338681
458,zero_migration,2020,30.6865330765005
458,constant_fertility,2025,32.3590582206492
458,constant_mortality,2025,32.5210045671348
458,high_variant,2025,31.8579674573507
458,instant_replacement,2025,32.0997420913344
458,low_variant,2025,33.3932610200785
458,medium_variant,2025,32.6256146598587
458,no_change,2025,32.2542241186976
458,zero_migration,2025,32.7503632164937
458,constant_fertility,2030,34.042295319532
458,constant_mortality,2030,34.3112565271417
458,high_variant,2030,33.1292581252665
458,instant_replacement,2030,33.6342379534145
458,low_variant,2030,35.9233811242902
458,medium_variant,2030,34.5428991880473
458,no_change,2030,33.8098271878141
458,zero_migration,2030,34.7551128250371
458,constant_fertility,2035,35.5869034268603
458,constant_mortality,2035,35.9310620746402
458,high_variant,2035,34.2881738761558
458,instant_replacement,2035,35.0367748667817
458,low_variant,2035,38.3476497264289
458,medium_variant,2035,36.335931260533
458,no_change,2035,35.1791252928707
458,zero_migration,2035,36.6163792631161
458,constant_fertility,2040,36.9378909361515
458,constant_mortality,2040,37.3470831598725
458,high_variant,2040,35.2684854210054
458,instant_replacement,2040,36.2173925608564
458,low_variant,2040,40.6957786816727
458,medium_variant,2040,38.0070063705772
458,no_change,2040,36.272633453073
458,zero_migration,2040,38.3714792840528
458,constant_fertility,2045,37.9160110858432
458,constant_mortality,2045,38.4198239731939
458,high_variant,2045,35.6432279826528
458,instant_replacement,2045,36.9426512594602
458,low_variant,2045,42.897385730063
458,medium_variant,2045,39.479237602626
458,no_change,2045,36.8475859349637
458,zero_migration,2045,39.9567687264218
458,constant_fertility,2050,38.5469606774513
458,constant_mortality,2050,39.0681661020756
458,high_variant,2050,35.9150887508884
458,instant_replacement,2050,37.4266053932445
458,low_variant,2050,45.0101420354841
458,medium_variant,2050,40.4504843827423
458,no_change,2050,37.1774446639222
458,zero_migration,2050,40.9817738151226
458,constant_fertility,2055,39.2147648345272
458,constant_mortality,2055,39.7257543333417
458,high_variant,2055,36.4955409920039
458,instant_replacement,2055,38.0521875322435
458,low_variant,2055,46.7564695287908
458,medium_variant,2055,41.4790665336141
458,no_change,2055,37.5768249901709
458,zero_migration,2055,42.0497587091616
458,constant_fertility,2060,40.028607444773
458,constant_mortality,2060,40.4072099066041
458,high_variant,2060,37.2202947145005
458,instant_replacement,2060,38.8697510173855
458,low_variant,2060,48.5443600380965
458,medium_variant,2060,42.5317964320537
458,no_change,2060,38.0441719289546
458,zero_migration,2060,43.1455507454939
458,constant_fertility,2065,40.9068242138714
458,constant_mortality,2065,41.0120397981861
458,high_variant,2065,37.9872532148592
458,instant_replacement,2065,39.7099633431201
458,low_variant,2065,50.3695400782332
458,medium_variant,2065,43.5823414356166
458,no_change,2065,38.4763324514485
458,zero_migration,2065,44.2487939969599
458,constant_fertility,2070,41.6901654260629
458,constant_mortality,2070,41.4700103239791
458,high_variant,2070,38.6654465836165
458,instant_replacement,2070,40.4639023477461
458,low_variant,2070,51.8666886065761
458,medium_variant,2070,44.5745869909444
458,no_change,2070,38.7754031131665
458,zero_migration,2070,45.2914559557334
458,constant_fertility,2075,42.297010189604
458,constant_mortality,2075,41.7379935408913
458,high_variant,2075,39.0762095476287
458,instant_replacement,2075,41.0145352621473
458,low_variant,2075,53.1062752922851
458,medium_variant,2075,45.4178787968369
458,no_change,2075,38.8725371454415
458,zero_migration,2075,46.1523807402479
458,constant_fertility,2080,42.6806059919708
458,constant_mortality,2080,41.7987660224679
458,high_variant,2080,39.1820609133101
458,instant_replacement,2080,41.3190596410513
458,low_variant,2080,54.0647691128361
458,medium_variant,2080,46.0233222534035
458,no_change,2080,38.8020183861128
458,zero_migration,2080,46.7793008145136
458,constant_fertility,2085,42.9073825534732
458,constant_mortality,2085,41.7225558254813
458,high_variant,2085,39.1637543113425
458,instant_replacement,2085,41.4745393436637
458,low_variant,2085,54.7441290572264
458,medium_variant,2085,46.4093925985519
458,no_change,2085,38.7226333776405
458,zero_migration,2085,47.1756041772137
458,constant_fertility,2090,43.144262050767
458,constant_mortality,2090,41.6562499730184
458,high_variant,2090,39.2888132817685
458,instant_replacement,2090,41.6969181859725
458,low_variant,2090,55.3260765411193
458,medium_variant,2090,46.6749362354821
458,no_change,2090,38.7626587944426
458,zero_migration,2090,47.4350031539359
458,constant_fertility,2095,43.5094133210951
458,constant_mortality,2095,41.6752241070019
458,high_variant,2095,39.633909415939
458,instant_replacement,2095,42.0985459251899
458,low_variant,2095,55.817490070254
458,medium_variant,2095,46.9663289540056
458,no_change,2095,38.9104181421283
458,zero_migration,2095,47.7080778423819
458,constant_fertility,2100,43.9888829368963
458,constant_mortality,2100,41.7323282877711
458,high_variant,2100,40.0946209778339
458,instant_replacement,2100,42.6194938119401
458,low_variant,2100,56.2492909341631
458,medium_variant,2100,47.3460373648147
458,no_change,2100,39.0672368194184
458,zero_migration,2100,48.0715078842218
