country,variant,year,medianageofpopulation
752,estimates,1950,34.17
752,estimates,1955,35.063
752,estimates,1960,36.042
752,estimates,1965,36.157
752,estimates,1970,35.389
752,estimates,1975,35.351
752,estimates,1980,36.259
752,estimates,1985,37.66
752,estimates,1990,38.35
752,estimates,1995,38.483
752,estimates,2000,39.42
752,estimates,2005,40.259
752,estimates,2010,40.665
752,constant_fertility,2015,40.868
752,constant_mortality,2015,40.868
752,estimates,2015,40.868
752,high_variant,2015,40.868
752,instant_replacement,2015,40.868
752,low_variant,2015,40.868
752,medium_variant,2015,40.868
752,momentum,2015,40.868
752,no_change,2015,40.868
752,zero_migration,2015,40.868
752,constant_fertility,2020,41.015
752,constant_mortality,2020,40.897
752,high_variant,2020,40.681
752,instant_replacement,2020,40.794
752,low_variant,2020,41.334
752,medium_variant,2020,41.007
752,momentum,2020,41.309
752,no_change,2020,40.905
752,zero_migration,2020,41.637
752,constant_fertility,2025,41.33
752,constant_mortality,2025,41.001
752,high_variant,2025,40.476
752,instant_replacement,2025,40.895
752,low_variant,2025,42.128
752,medium_variant,2025,41.302
752,momentum,2025,41.653
752,no_change,2025,41.028
752,zero_migration,2025,42.382
752,constant_fertility,2030,42.026
752,constant_mortality,2030,41.465
752,high_variant,2030,40.685
752,instant_replacement,2030,41.444
752,low_variant,2030,43.267
752,medium_variant,2030,41.976
752,momentum,2030,42.269
752,no_change,2030,41.515
752,zero_migration,2030,43.364
752,constant_fertility,2035,42.953
752,constant_mortality,2035,42.161
752,high_variant,2035,41.189
752,instant_replacement,2035,42.243
752,low_variant,2035,44.58
752,medium_variant,2035,42.885
752,momentum,2035,43.065
752,no_change,2035,42.229
752,zero_migration,2035,44.542
752,constant_fertility,2040,43.597
752,constant_mortality,2040,42.249
752,high_variant,2040,40.665
752,instant_replacement,2040,42.47
752,low_variant,2040,46.02
752,medium_variant,2040,43.486
752,momentum,2040,43.383
752,no_change,2040,42.36
752,zero_migration,2040,45.748
752,constant_fertility,2045,43.372
752,constant_mortality,2045,41.747
752,high_variant,2045,39.786
752,instant_replacement,2045,42.021
752,low_variant,2045,46.705
752,medium_variant,2045,43.237
752,momentum,2045,42.42
752,no_change,2045,41.883
752,zero_migration,2045,45.645
752,constant_fertility,2050,43.355
752,constant_mortality,2050,41.543
752,high_variant,2050,39.161
752,instant_replacement,2050,41.806
752,low_variant,2050,47.254
752,medium_variant,2050,43.196
752,momentum,2050,41.801
752,no_change,2050,41.702
752,zero_migration,2050,45.34
752,constant_fertility,2055,43.596
752,constant_mortality,2055,41.468
752,high_variant,2055,38.571
752,instant_replacement,2055,41.699
752,low_variant,2055,48.108
752,medium_variant,2055,43.393
752,momentum,2055,41.428
752,no_change,2055,41.671
752,zero_migration,2055,45.578
752,constant_fertility,2060,43.9
752,constant_mortality,2060,41.541
752,high_variant,2060,38.507
752,instant_replacement,2060,41.925
752,low_variant,2060,49.21
752,medium_variant,2060,43.656
752,momentum,2060,41.48
752,no_change,2060,41.78
752,zero_migration,2060,45.922
752,constant_fertility,2065,44.359
752,constant_mortality,2065,41.731
752,high_variant,2065,38.648
752,instant_replacement,2065,42.362
752,low_variant,2065,50.399
752,medium_variant,2065,44.078
752,momentum,2065,41.686
752,no_change,2065,41.998
752,zero_migration,2065,46.387
752,constant_fertility,2070,44.86
752,constant_mortality,2070,41.859
752,high_variant,2070,38.758
752,instant_replacement,2070,42.762
752,low_variant,2070,51.387
752,medium_variant,2070,44.547
752,momentum,2070,41.695
752,no_change,2070,42.146
752,zero_migration,2070,46.867
752,constant_fertility,2075,45.211
752,constant_mortality,2075,41.815
752,high_variant,2075,38.693
752,instant_replacement,2075,42.994
752,low_variant,2075,52.197
752,medium_variant,2075,44.885
752,momentum,2075,41.374
752,no_change,2075,42.119
752,zero_migration,2075,47.158
752,constant_fertility,2080,45.393
752,constant_mortality,2080,41.702
752,high_variant,2080,38.584
752,instant_replacement,2080,43.076
752,low_variant,2080,52.744
752,medium_variant,2080,45.041
752,momentum,2080,40.978
752,no_change,2080,42.024
752,zero_migration,2080,47.155
752,constant_fertility,2085,45.573
752,constant_mortality,2085,41.693
752,high_variant,2085,38.574
752,instant_replacement,2085,43.182
752,low_variant,2085,53.089
752,medium_variant,2085,45.192
752,momentum,2085,40.843
752,no_change,2085,42.033
752,zero_migration,2085,47.081
752,constant_fertility,2090,45.89
752,constant_mortality,2090,41.831
752,high_variant,2090,38.76
752,instant_replacement,2090,43.459
752,low_variant,2090,53.475
752,medium_variant,2090,45.486
752,momentum,2090,41.005
752,no_change,2090,42.188
752,zero_migration,2090,47.247
752,constant_fertility,2095,46.377
752,constant_mortality,2095,42.036
752,high_variant,2095,39.141
752,instant_replacement,2095,43.942
752,low_variant,2095,54.043
752,medium_variant,2095,45.954
752,momentum,2095,41.271
752,no_change,2095,42.404
752,zero_migration,2095,47.708
752,constant_fertility,2100,46.929
752,constant_mortality,2100,42.201
752,high_variant,2100,39.583
752,instant_replacement,2100,44.515
752,low_variant,2100,54.719
752,medium_variant,2100,46.493
752,momentum,2100,41.419
752,no_change,2100,42.572
752,zero_migration,2100,48.273
