country,variant,year,medianageofpopulation
232,estimates,1950,17.295
232,estimates,1955,17.754
232,estimates,1960,18.014
232,estimates,1965,18.194
232,estimates,1970,18.112
232,estimates,1975,17.867
232,estimates,1980,17.787
232,estimates,1985,17.696
232,estimates,1990,17.479
232,estimates,1995,16.1
232,estimates,2000,17.133
232,estimates,2005,18.545
232,estimates,2010,18.897
232,constant_fertility,2015,18.864
232,constant_mortality,2015,18.864
232,estimates,2015,18.864
232,high_variant,2015,18.864
232,instant_replacement,2015,18.864
232,low_variant,2015,18.864
232,medium_variant,2015,18.864
232,momentum,2015,18.864
232,no_change,2015,18.864
232,zero_migration,2015,18.864
232,constant_fertility,2020,19.001
232,constant_mortality,2020,19.294
232,high_variant,2020,19.085
232,instant_replacement,2020,20.966
232,low_variant,2020,19.489
232,medium_variant,2020,19.287
232,momentum,2020,21.011
232,no_change,2020,19.011
232,zero_migration,2020,19.382
232,constant_fertility,2025,19.49
232,constant_mortality,2025,20.336
232,high_variant,2025,19.784
232,instant_replacement,2025,23.239
232,low_variant,2025,20.895
232,medium_variant,2025,20.319
232,momentum,2025,23.207
232,no_change,2025,19.52
232,zero_migration,2025,20.453
232,constant_fertility,2030,20.045
232,constant_mortality,2030,21.721
232,high_variant,2030,20.758
232,instant_replacement,2030,25.409
232,low_variant,2030,22.64
232,medium_variant,2030,21.699
232,momentum,2030,25.24
232,no_change,2030,20.11
232,zero_migration,2030,21.806
232,constant_fertility,2035,20.262
232,constant_mortality,2035,23.003
232,high_variant,2035,21.601
232,instant_replacement,2035,27.697
232,low_variant,2035,24.377
232,medium_variant,2035,22.99
232,momentum,2035,27.357
232,no_change,2035,20.358
232,zero_migration,2035,23.074
232,constant_fertility,2040,20.458
232,constant_mortality,2040,24.168
232,high_variant,2040,22.445
232,instant_replacement,2040,29.919
232,low_variant,2040,26.142
232,medium_variant,2040,24.191
232,momentum,2040,29.351
232,no_change,2040,20.526
232,zero_migration,2040,24.255
232,constant_fertility,2045,20.66
232,constant_mortality,2045,25.245
232,high_variant,2045,23.324
232,instant_replacement,2045,32.355
232,low_variant,2045,27.823
232,medium_variant,2045,25.369
232,momentum,2045,31.446
232,no_change,2045,20.656
232,zero_migration,2045,25.433
232,constant_fertility,2050,20.883
232,constant_mortality,2050,26.307
232,high_variant,2050,24.227
232,instant_replacement,2050,34.766
232,low_variant,2050,29.491
232,medium_variant,2050,26.593
232,momentum,2050,32.471
232,no_change,2050,20.787
232,zero_migration,2050,26.662
232,constant_fertility,2055,21.101
232,constant_mortality,2055,27.355
232,high_variant,2055,25.175
232,instant_replacement,2055,35.218
232,low_variant,2055,31.155
232,medium_variant,2055,27.84
232,momentum,2055,32.586
232,no_change,2055,20.912
232,zero_migration,2055,27.906
232,constant_fertility,2060,21.282
232,constant_mortality,2060,28.388
232,high_variant,2060,26.174
232,instant_replacement,2060,35.865
232,low_variant,2060,32.816
232,medium_variant,2060,29.096
232,momentum,2060,32.887
232,no_change,2060,20.999
232,zero_migration,2060,29.154
232,constant_fertility,2065,21.416
232,constant_mortality,2065,29.408
232,high_variant,2065,27.151
232,instant_replacement,2065,36.641
232,low_variant,2065,34.454
232,medium_variant,2065,30.392
232,momentum,2065,33.323
232,no_change,2065,21.039
232,zero_migration,2065,30.437
232,constant_fertility,2070,21.515
232,constant_mortality,2070,30.436
232,high_variant,2070,28.109
232,instant_replacement,2070,37.592
232,low_variant,2070,36.187
232,medium_variant,2070,31.737
232,momentum,2070,33.868
232,no_change,2070,21.041
232,zero_migration,2070,31.758
232,constant_fertility,2075,21.603
232,constant_mortality,2075,31.435
232,high_variant,2075,29.058
232,instant_replacement,2075,38.679
232,low_variant,2075,37.967
232,medium_variant,2075,33.07
232,momentum,2075,34.39
232,no_change,2075,21.035
232,zero_migration,2075,33.065
232,constant_fertility,2080,21.698
232,constant_mortality,2080,32.359
232,high_variant,2080,29.994
232,instant_replacement,2080,39.797
232,low_variant,2080,39.784
232,medium_variant,2080,34.392
232,momentum,2080,34.64
232,no_change,2080,21.039
232,zero_migration,2080,34.358
232,constant_fertility,2085,21.802
232,constant_mortality,2085,33.196
232,high_variant,2085,30.97
232,instant_replacement,2085,40.624
232,low_variant,2085,41.59
232,medium_variant,2085,35.689
232,momentum,2085,34.47
232,no_change,2085,21.052
232,zero_migration,2085,35.631
232,constant_fertility,2090,21.905
232,constant_mortality,2090,33.954
232,high_variant,2090,31.925
232,instant_replacement,2090,40.967
232,low_variant,2090,43.324
232,medium_variant,2090,36.944
232,momentum,2090,34.131
232,no_change,2090,21.064
232,zero_migration,2090,36.871
232,constant_fertility,2095,22
232,constant_mortality,2095,34.656
232,high_variant,2095,32.849
232,instant_replacement,2095,40.935
232,low_variant,2095,44.965
232,medium_variant,2095,38.144
232,momentum,2095,33.991
232,no_change,2095,21.071
232,zero_migration,2095,38.065
232,constant_fertility,2100,22.087
232,constant_mortality,2100,35.335
232,high_variant,2100,33.734
232,instant_replacement,2100,40.964
232,low_variant,2100,46.445
232,medium_variant,2100,39.298
232,momentum,2100,34.087
232,no_change,2100,21.072
232,zero_migration,2100,39.218
