variant,country,year,birthper1000population
estimates,208,1950,18.589
estimates,208,1951,18.346
estimates,208,1952,17.902
estimates,208,1953,17.544
estimates,208,1954,17.271
estimates,208,1955,17.083
estimates,208,1956,16.976
estimates,208,1957,16.942
estimates,208,1958,16.97
estimates,208,1959,17.038
estimates,208,1960,17.122
estimates,208,1961,17.195
estimates,208,1962,17.228
estimates,208,1963,17.197
estimates,208,1964,17.092
estimates,208,1965,16.909
estimates,208,1966,16.659
estimates,208,1967,16.365
estimates,208,1968,16.046
estimates,208,1969,15.711
estimates,208,1970,15.363
estimates,208,1971,15.001
estimates,208,1972,14.62
estimates,208,1973,14.22
estimates,208,1974,13.806
estimates,208,1975,13.373
estimates,208,1976,12.917
estimates,208,1977,12.443
estimates,208,1978,11.966
estimates,208,1979,11.506
estimates,208,1980,11.095
estimates,208,1981,10.766
estimates,208,1982,10.54
estimates,208,1983,10.429
estimates,208,1984,10.435
estimates,208,1985,10.557
estimates,208,1986,10.786
estimates,208,1987,11.09
estimates,208,1988,11.434
estimates,208,1989,11.789
estimates,208,1990,12.123
estimates,208,1991,12.409
estimates,208,1992,12.635
estimates,208,1993,12.794
estimates,208,1994,12.878
estimates,208,1995,12.888
estimates,208,1996,12.83
estimates,208,1997,12.726
estimates,208,1998,12.598
estimates,208,1999,12.458
estimates,208,2000,12.323
estimates,208,2001,12.209
estimates,208,2002,12.115
estimates,208,2003,12.041
estimates,208,2004,11.982
estimates,208,2005,11.919
estimates,208,2006,11.829
estimates,208,2007,11.695
estimates,208,2008,11.512
estimates,208,2009,11.287
estimates,208,2010,11.041
estimates,208,2011,10.804
estimates,208,2012,10.605
estimates,208,2013,10.468
estimates,208,2014,10.399
estimates,208,2015,10.402
medium_variant,208,2015,10.402
medium_variant,208,2016,10.468
medium_variant,208,2017,10.573
medium_variant,208,2018,10.696
medium_variant,208,2019,10.824
medium_variant,208,2020,10.948
medium_variant,208,2021,11.063
medium_variant,208,2022,11.166
medium_variant,208,2023,11.258
medium_variant,208,2024,11.333
medium_variant,208,2025,11.388
medium_variant,208,2026,11.421
medium_variant,208,2027,11.434
medium_variant,208,2028,11.43
medium_variant,208,2029,11.409
medium_variant,208,2030,11.373
medium_variant,208,2031,11.323
medium_variant,208,2032,11.263
medium_variant,208,2033,11.195
medium_variant,208,2034,11.123
medium_variant,208,2035,11.048
medium_variant,208,2036,10.972
medium_variant,208,2037,10.895
medium_variant,208,2038,10.818
medium_variant,208,2039,10.745
medium_variant,208,2040,10.678
medium_variant,208,2041,10.618
medium_variant,208,2042,10.567
medium_variant,208,2043,10.526
medium_variant,208,2044,10.495
medium_variant,208,2045,10.477
medium_variant,208,2046,10.472
medium_variant,208,2047,10.479
medium_variant,208,2048,10.498
medium_variant,208,2049,10.525
medium_variant,208,2050,10.56
medium_variant,208,2051,10.601
medium_variant,208,2052,10.645
medium_variant,208,2053,10.69
medium_variant,208,2054,10.733
medium_variant,208,2055,10.772
medium_variant,208,2056,10.804
medium_variant,208,2057,10.829
medium_variant,208,2058,10.846
medium_variant,208,2059,10.856
medium_variant,208,2060,10.856
medium_variant,208,2061,10.846
medium_variant,208,2062,10.826
medium_variant,208,2063,10.8
medium_variant,208,2064,10.766
medium_variant,208,2065,10.726
medium_variant,208,2066,10.681
medium_variant,208,2067,10.632
medium_variant,208,2068,10.58
medium_variant,208,2069,10.528
medium_variant,208,2070,10.476
medium_variant,208,2071,10.427
medium_variant,208,2072,10.381
medium_variant,208,2073,10.338
medium_variant,208,2074,10.299
medium_variant,208,2075,10.267
medium_variant,208,2076,10.24
medium_variant,208,2077,10.219
medium_variant,208,2078,10.203
medium_variant,208,2079,10.192
medium_variant,208,2080,10.186
medium_variant,208,2081,10.184
medium_variant,208,2082,10.185
medium_variant,208,2083,10.189
medium_variant,208,2084,10.195
medium_variant,208,2085,10.201
medium_variant,208,2086,10.207
medium_variant,208,2087,10.213
medium_variant,208,2088,10.217
medium_variant,208,2089,10.22
medium_variant,208,2090,10.22
medium_variant,208,2091,10.216
medium_variant,208,2092,10.208
medium_variant,208,2093,10.196
medium_variant,208,2094,10.18
medium_variant,208,2095,10.16
medium_variant,208,2096,10.134
medium_variant,208,2097,10.105
medium_variant,208,2098,10.07
medium_variant,208,2099,10.031
