variant,country,year,birthper1000population
estimates,144,1950,36.07
estimates,144,1951,36.554
estimates,144,1952,37.416
estimates,144,1953,38.063
estimates,144,1954,38.497
estimates,144,1955,38.718
estimates,144,1956,38.733
estimates,144,1957,38.553
estimates,144,1958,38.197
estimates,144,1959,37.698
estimates,144,1960,37.098
estimates,144,1961,36.438
estimates,144,1962,35.764
estimates,144,1963,35.114
estimates,144,1964,34.504
estimates,144,1965,33.925
estimates,144,1966,33.345
estimates,144,1967,32.725
estimates,144,1968,32.049
estimates,144,1969,31.328
estimates,144,1970,30.601
estimates,144,1971,29.916
estimates,144,1972,29.316
estimates,144,1973,28.827
estimates,144,1974,28.45
estimates,144,1975,28.173
estimates,144,1976,27.971
estimates,144,1977,27.794
estimates,144,1978,27.594
estimates,144,1979,27.343
estimates,144,1980,27.005
estimates,144,1981,26.554
estimates,144,1982,25.995
estimates,144,1983,25.345
estimates,144,1984,24.622
estimates,144,1985,23.858
estimates,144,1986,23.09
estimates,144,1987,22.358
estimates,144,1988,21.694
estimates,144,1989,21.115
estimates,144,1990,20.625
estimates,144,1991,20.213
estimates,144,1992,19.853
estimates,144,1993,19.526
estimates,144,1994,19.23
estimates,144,1995,18.969
estimates,144,1996,18.757
estimates,144,1997,18.603
estimates,144,1998,18.507
estimates,144,1999,18.464
estimates,144,2000,18.467
estimates,144,2001,18.508
estimates,144,2002,18.568
estimates,144,2003,18.627
estimates,144,2004,18.665
estimates,144,2005,18.656
estimates,144,2006,18.575
estimates,144,2007,18.417
estimates,144,2008,18.182
estimates,144,2009,17.876
estimates,144,2010,17.513
estimates,144,2011,17.113
estimates,144,2012,16.703
estimates,144,2013,16.307
estimates,144,2014,15.937
estimates,144,2015,15.6
medium_variant,144,2015,15.6
medium_variant,144,2016,15.292
medium_variant,144,2017,15.002
medium_variant,144,2018,14.723
medium_variant,144,2019,14.454
medium_variant,144,2020,14.198
medium_variant,144,2021,13.958
medium_variant,144,2022,13.737
medium_variant,144,2023,13.538
medium_variant,144,2024,13.362
medium_variant,144,2025,13.211
medium_variant,144,2026,13.085
medium_variant,144,2027,12.982
medium_variant,144,2028,12.899
medium_variant,144,2029,12.831
medium_variant,144,2030,12.775
medium_variant,144,2031,12.728
medium_variant,144,2032,12.686
medium_variant,144,2033,12.644
medium_variant,144,2034,12.598
medium_variant,144,2035,12.543
medium_variant,144,2036,12.476
medium_variant,144,2037,12.395
medium_variant,144,2038,12.301
medium_variant,144,2039,12.193
medium_variant,144,2040,12.072
medium_variant,144,2041,11.937
medium_variant,144,2042,11.793
medium_variant,144,2043,11.643
medium_variant,144,2044,11.49
medium_variant,144,2045,11.336
medium_variant,144,2046,11.184
medium_variant,144,2047,11.035
medium_variant,144,2048,10.892
medium_variant,144,2049,10.756
medium_variant,144,2050,10.629
medium_variant,144,2051,10.515
medium_variant,144,2052,10.412
medium_variant,144,2053,10.32
medium_variant,144,2054,10.24
medium_variant,144,2055,10.173
medium_variant,144,2056,10.117
medium_variant,144,2057,10.072
medium_variant,144,2058,10.036
medium_variant,144,2059,10.008
medium_variant,144,2060,9.987
medium_variant,144,2061,9.972
medium_variant,144,2062,9.962
medium_variant,144,2063,9.955
medium_variant,144,2064,9.95
medium_variant,144,2065,9.943
medium_variant,144,2066,9.933
medium_variant,144,2067,9.918
medium_variant,144,2068,9.897
medium_variant,144,2069,9.869
medium_variant,144,2070,9.834
medium_variant,144,2071,9.79
medium_variant,144,2072,9.739
medium_variant,144,2073,9.683
medium_variant,144,2074,9.622
medium_variant,144,2075,9.558
medium_variant,144,2076,9.491
medium_variant,144,2077,9.422
medium_variant,144,2078,9.353
medium_variant,144,2079,9.286
medium_variant,144,2080,9.222
medium_variant,144,2081,9.162
medium_variant,144,2082,9.107
medium_variant,144,2083,9.057
medium_variant,144,2084,9.014
medium_variant,144,2085,8.978
medium_variant,144,2086,8.95
medium_variant,144,2087,8.93
medium_variant,144,2088,8.916
medium_variant,144,2089,8.907
medium_variant,144,2090,8.904
medium_variant,144,2091,8.906
medium_variant,144,2092,8.91
medium_variant,144,2093,8.918
medium_variant,144,2094,8.928
medium_variant,144,2095,8.939
medium_variant,144,2096,8.953
medium_variant,144,2097,8.968
medium_variant,144,2098,8.984
medium_variant,144,2099,9.002
