variant,country,year,birthper1000population
estimates,716,1950,48.578
estimates,716,1951,48.499
estimates,716,1952,48.357
estimates,716,1953,48.246
estimates,716,1954,48.166
estimates,716,1955,48.117
estimates,716,1956,48.096
estimates,716,1957,48.098
estimates,716,1958,48.119
estimates,716,1959,48.145
estimates,716,1960,48.164
estimates,716,1961,48.162
estimates,716,1962,48.128
estimates,716,1963,48.055
estimates,716,1964,47.948
estimates,716,1965,47.818
estimates,716,1966,47.685
estimates,716,1967,47.57
estimates,716,1968,47.489
estimates,716,1969,47.446
estimates,716,1970,47.447
estimates,716,1971,47.496
estimates,716,1972,47.574
estimates,716,1973,47.658
estimates,716,1974,47.727
estimates,716,1975,47.755
estimates,716,1976,47.719
estimates,716,1977,47.6
estimates,716,1978,47.381
estimates,716,1979,47.046
estimates,716,1980,46.575
estimates,716,1981,45.949
estimates,716,1982,45.183
estimates,716,1983,44.299
estimates,716,1984,43.324
estimates,716,1985,42.29
estimates,716,1986,41.232
estimates,716,1987,40.186
estimates,716,1988,39.185
estimates,716,1989,38.257
estimates,716,1990,37.418
estimates,716,1991,36.669
estimates,716,1992,35.997
estimates,716,1993,35.393
estimates,716,1994,34.861
estimates,716,1995,34.409
estimates,716,1996,34.045
estimates,716,1997,33.77
estimates,716,1998,33.585
estimates,716,1999,33.488
estimates,716,2000,33.487
estimates,716,2001,33.589
estimates,716,2002,33.785
estimates,716,2003,34.055
estimates,716,2004,34.377
estimates,716,2005,34.727
estimates,716,2006,35.087
estimates,716,2007,35.432
estimates,716,2008,35.727
estimates,716,2009,35.938
estimates,716,2010,36.02
estimates,716,2011,35.932
estimates,716,2012,35.666
estimates,716,2013,35.233
estimates,716,2014,34.647
estimates,716,2015,33.937
medium_variant,716,2015,33.937
medium_variant,716,2016,33.144
medium_variant,716,2017,32.318
medium_variant,716,2018,31.507
medium_variant,716,2019,30.743
medium_variant,716,2020,30.045
medium_variant,716,2021,29.42
medium_variant,716,2022,28.849
medium_variant,716,2023,28.319
medium_variant,716,2024,27.829
medium_variant,716,2025,27.38
medium_variant,716,2026,26.971
medium_variant,716,2027,26.598
medium_variant,716,2028,26.255
medium_variant,716,2029,25.934
medium_variant,716,2030,25.631
medium_variant,716,2031,25.34
medium_variant,716,2032,25.055
medium_variant,716,2033,24.773
medium_variant,716,2034,24.489
medium_variant,716,2035,24.198
medium_variant,716,2036,23.9
medium_variant,716,2037,23.596
medium_variant,716,2038,23.287
medium_variant,716,2039,22.973
medium_variant,716,2040,22.653
medium_variant,716,2041,22.328
medium_variant,716,2042,21.999
medium_variant,716,2043,21.667
medium_variant,716,2044,21.333
medium_variant,716,2045,20.998
medium_variant,716,2046,20.662
medium_variant,716,2047,20.327
medium_variant,716,2048,19.993
medium_variant,716,2049,19.663
medium_variant,716,2050,19.339
medium_variant,716,2051,19.024
medium_variant,716,2052,18.717
medium_variant,716,2053,18.421
medium_variant,716,2054,18.136
medium_variant,716,2055,17.863
medium_variant,716,2056,17.602
medium_variant,716,2057,17.35
medium_variant,716,2058,17.108
medium_variant,716,2059,16.875
medium_variant,716,2060,16.651
medium_variant,716,2061,16.436
medium_variant,716,2062,16.23
medium_variant,716,2063,16.032
medium_variant,716,2064,15.842
medium_variant,716,2065,15.659
medium_variant,716,2066,15.482
medium_variant,716,2067,15.31
medium_variant,716,2068,15.143
medium_variant,716,2069,14.978
medium_variant,716,2070,14.815
medium_variant,716,2071,14.654
medium_variant,716,2072,14.494
medium_variant,716,2073,14.336
medium_variant,716,2074,14.179
medium_variant,716,2075,14.025
medium_variant,716,2076,13.873
medium_variant,716,2077,13.724
medium_variant,716,2078,13.58
medium_variant,716,2079,13.44
medium_variant,716,2080,13.305
medium_variant,716,2081,13.174
medium_variant,716,2082,13.046
medium_variant,716,2083,12.922
medium_variant,716,2084,12.801
medium_variant,716,2085,12.685
medium_variant,716,2086,12.572
medium_variant,716,2087,12.465
medium_variant,716,2088,12.362
medium_variant,716,2089,12.264
medium_variant,716,2090,12.171
medium_variant,716,2091,12.082
medium_variant,716,2092,11.997
medium_variant,716,2093,11.916
medium_variant,716,2094,11.838
medium_variant,716,2095,11.763
medium_variant,716,2096,11.691
medium_variant,716,2097,11.622
medium_variant,716,2098,11.556
medium_variant,716,2099,11.492
