variant,country,year,birthper1000population
estimates,24,1950,59.956
estimates,24,1951,59.542
estimates,24,1952,58.753
estimates,24,1953,58.042
estimates,24,1954,57.409
estimates,24,1955,56.854
estimates,24,1956,56.374
estimates,24,1957,55.962
estimates,24,1958,55.613
estimates,24,1959,55.309
estimates,24,1960,55.035
estimates,24,1961,54.773
estimates,24,1962,54.509
estimates,24,1963,54.235
estimates,24,1964,53.956
estimates,24,1965,53.691
estimates,24,1966,53.469
estimates,24,1967,53.317
estimates,24,1968,53.25
estimates,24,1969,53.27
estimates,24,1970,53.375
estimates,24,1971,53.555
estimates,24,1972,53.781
estimates,24,1973,54.021
estimates,24,1974,54.25
estimates,24,1975,54.434
estimates,24,1976,54.541
estimates,24,1977,54.563
estimates,24,1978,54.502
estimates,24,1979,54.363
estimates,24,1980,54.173
estimates,24,1981,53.966
estimates,24,1982,53.779
estimates,24,1983,53.633
estimates,24,1984,53.533
estimates,24,1985,53.466
estimates,24,1986,53.41
estimates,24,1987,53.33
estimates,24,1988,53.2
estimates,24,1989,53.008
estimates,24,1990,52.749
estimates,24,1991,52.423
estimates,24,1992,52.047
estimates,24,1993,51.641
estimates,24,1994,51.216
estimates,24,1995,50.792
estimates,24,1996,50.383
estimates,24,1997,49.999
estimates,24,1998,49.644
estimates,24,1999,49.322
estimates,24,2000,49.032
estimates,24,2001,48.773
estimates,24,2002,48.53
estimates,24,2003,48.285
estimates,24,2004,48.025
estimates,24,2005,47.726
estimates,24,2006,47.37
estimates,24,2007,46.947
estimates,24,2008,46.459
estimates,24,2009,45.91
estimates,24,2010,45.314
estimates,24,2011,44.688
estimates,24,2012,44.058
estimates,24,2013,43.446
estimates,24,2014,42.864
estimates,24,2015,42.321
medium_variant,24,2015,42.321
medium_variant,24,2016,41.819
medium_variant,24,2017,41.347
medium_variant,24,2018,40.898
medium_variant,24,2019,40.469
medium_variant,24,2020,40.059
medium_variant,24,2021,39.667
medium_variant,24,2022,39.289
medium_variant,24,2023,38.924
medium_variant,24,2024,38.566
medium_variant,24,2025,38.213
medium_variant,24,2026,37.863
medium_variant,24,2027,37.514
medium_variant,24,2028,37.164
medium_variant,24,2029,36.811
medium_variant,24,2030,36.455
medium_variant,24,2031,36.096
medium_variant,24,2032,35.733
medium_variant,24,2033,35.368
medium_variant,24,2034,35.002
medium_variant,24,2035,34.633
medium_variant,24,2036,34.263
medium_variant,24,2037,33.89
medium_variant,24,2038,33.516
medium_variant,24,2039,33.142
medium_variant,24,2040,32.768
medium_variant,24,2041,32.394
medium_variant,24,2042,32.021
medium_variant,24,2043,31.649
medium_variant,24,2044,31.281
medium_variant,24,2045,30.917
medium_variant,24,2046,30.557
medium_variant,24,2047,30.202
medium_variant,24,2048,29.852
medium_variant,24,2049,29.509
medium_variant,24,2050,29.172
medium_variant,24,2051,28.841
medium_variant,24,2052,28.518
medium_variant,24,2053,28.2
medium_variant,24,2054,27.888
medium_variant,24,2055,27.583
medium_variant,24,2056,27.283
medium_variant,24,2057,26.989
medium_variant,24,2058,26.701
medium_variant,24,2059,26.417
medium_variant,24,2060,26.138
medium_variant,24,2061,25.864
medium_variant,24,2062,25.593
medium_variant,24,2063,25.326
medium_variant,24,2064,25.063
medium_variant,24,2065,24.802
medium_variant,24,2066,24.543
medium_variant,24,2067,24.286
medium_variant,24,2068,24.032
medium_variant,24,2069,23.779
medium_variant,24,2070,23.529
medium_variant,24,2071,23.281
medium_variant,24,2072,23.036
medium_variant,24,2073,22.794
medium_variant,24,2074,22.556
medium_variant,24,2075,22.321
medium_variant,24,2076,22.091
medium_variant,24,2077,21.864
medium_variant,24,2078,21.642
medium_variant,24,2079,21.424
medium_variant,24,2080,21.209
medium_variant,24,2081,20.998
medium_variant,24,2082,20.79
medium_variant,24,2083,20.584
medium_variant,24,2084,20.382
medium_variant,24,2085,20.181
medium_variant,24,2086,19.984
medium_variant,24,2087,19.789
medium_variant,24,2088,19.598
medium_variant,24,2089,19.409
medium_variant,24,2090,19.223
medium_variant,24,2091,19.04
medium_variant,24,2092,18.859
medium_variant,24,2093,18.68
medium_variant,24,2094,18.503
medium_variant,24,2095,18.327
medium_variant,24,2096,18.154
medium_variant,24,2097,17.982
medium_variant,24,2098,17.812
medium_variant,24,2099,17.643
