variant,country,year,birthper1000population
estimates,332,1950,46.202
estimates,332,1951,46.061
estimates,332,1952,45.792
estimates,332,1953,45.544
estimates,332,1954,45.32
estimates,332,1955,45.117
estimates,332,1956,44.933
estimates,332,1957,44.762
estimates,332,1958,44.595
estimates,332,1959,44.418
estimates,332,1960,44.211
estimates,332,1961,43.957
estimates,332,1962,43.638
estimates,332,1963,43.246
estimates,332,1964,42.781
estimates,332,1965,42.242
estimates,332,1966,41.628
estimates,332,1967,40.967
estimates,332,1968,40.299
estimates,332,1969,39.66
estimates,332,1970,39.104
estimates,332,1971,38.682
estimates,332,1972,38.42
estimates,332,1973,38.333
estimates,332,1974,38.424
estimates,332,1975,38.705
estimates,332,1976,39.177
estimates,332,1977,39.793
estimates,332,1978,40.482
estimates,332,1979,41.177
estimates,332,1980,41.783
estimates,332,1981,42.205
estimates,332,1982,42.392
estimates,332,1983,42.318
estimates,332,1984,41.979
estimates,332,1985,41.398
estimates,332,1986,40.629
estimates,332,1987,39.765
estimates,332,1988,38.884
estimates,332,1989,38.033
estimates,332,1990,37.243
estimates,332,1991,36.525
estimates,332,1992,35.856
estimates,332,1993,35.217
estimates,332,1994,34.608
estimates,332,1995,34.02
estimates,332,1996,33.442
estimates,332,1997,32.865
estimates,332,1998,32.284
estimates,332,1999,31.7
estimates,332,2000,31.125
estimates,332,2001,30.572
estimates,332,2002,30.056
estimates,332,2003,29.582
estimates,332,2004,29.148
estimates,332,2005,28.743
estimates,332,2006,28.35
estimates,332,2007,27.953
estimates,332,2008,27.54
estimates,332,2009,27.107
estimates,332,2010,26.659
estimates,332,2011,26.206
estimates,332,2012,25.76
estimates,332,2013,25.334
estimates,332,2014,24.93
estimates,332,2015,24.546
medium_variant,332,2015,24.546
medium_variant,332,2016,24.179
medium_variant,332,2017,23.821
medium_variant,332,2018,23.465
medium_variant,332,2019,23.108
medium_variant,332,2020,22.751
medium_variant,332,2021,22.394
medium_variant,332,2022,22.04
medium_variant,332,2023,21.692
medium_variant,332,2024,21.351
medium_variant,332,2025,21.017
medium_variant,332,2026,20.691
medium_variant,332,2027,20.374
medium_variant,332,2028,20.064
medium_variant,332,2029,19.762
medium_variant,332,2030,19.467
medium_variant,332,2031,19.18
medium_variant,332,2032,18.9
medium_variant,332,2033,18.626
medium_variant,332,2034,18.359
medium_variant,332,2035,18.099
medium_variant,332,2036,17.846
medium_variant,332,2037,17.602
medium_variant,332,2038,17.366
medium_variant,332,2039,17.137
medium_variant,332,2040,16.914
medium_variant,332,2041,16.696
medium_variant,332,2042,16.483
medium_variant,332,2043,16.273
medium_variant,332,2044,16.066
medium_variant,332,2045,15.863
medium_variant,332,2046,15.664
medium_variant,332,2047,15.47
medium_variant,332,2048,15.282
medium_variant,332,2049,15.101
medium_variant,332,2050,14.925
medium_variant,332,2051,14.754
medium_variant,332,2052,14.588
medium_variant,332,2053,14.426
medium_variant,332,2054,14.268
medium_variant,332,2055,14.114
medium_variant,332,2056,13.965
medium_variant,332,2057,13.822
medium_variant,332,2058,13.684
medium_variant,332,2059,13.553
medium_variant,332,2060,13.427
medium_variant,332,2061,13.307
medium_variant,332,2062,13.192
medium_variant,332,2063,13.082
medium_variant,332,2064,12.976
medium_variant,332,2065,12.874
medium_variant,332,2066,12.776
medium_variant,332,2067,12.682
medium_variant,332,2068,12.591
medium_variant,332,2069,12.503
medium_variant,332,2070,12.419
medium_variant,332,2071,12.336
medium_variant,332,2072,12.257
medium_variant,332,2073,12.18
medium_variant,332,2074,12.105
medium_variant,332,2075,12.032
medium_variant,332,2076,11.961
medium_variant,332,2077,11.892
medium_variant,332,2078,11.826
medium_variant,332,2079,11.761
medium_variant,332,2080,11.698
medium_variant,332,2081,11.638
medium_variant,332,2082,11.58
medium_variant,332,2083,11.524
medium_variant,332,2084,11.471
medium_variant,332,2085,11.419
medium_variant,332,2086,11.369
medium_variant,332,2087,11.322
medium_variant,332,2088,11.275
medium_variant,332,2089,11.231
medium_variant,332,2090,11.187
medium_variant,332,2091,11.145
medium_variant,332,2092,11.104
medium_variant,332,2093,11.065
medium_variant,332,2094,11.027
medium_variant,332,2095,10.99
medium_variant,332,2096,10.955
medium_variant,332,2097,10.92
medium_variant,332,2098,10.888
medium_variant,332,2099,10.856
