region,year,variant,gender,freq,age1yearinterval,lifeexpectancy
915,1950,estimates,female,5yearly,0,53.543055457421
915,1950,estimates,male,5yearly,0,50.6460815253279
915,1950,estimates,female,5yearly,1,59.5543216965401
915,1950,estimates,male,5yearly,1,57.390535225525
915,1950,estimates,female,5yearly,5,59.6688219847114
915,1950,estimates,male,5yearly,5,57.6019353784963
915,1950,estimates,female,5yearly,10,55.6863132289816
915,1950,estimates,male,5yearly,10,53.6604274315293
915,1950,estimates,female,5yearly,15,51.248768274693
915,1950,estimates,male,5yearly,15,49.2348262409478
915,1950,estimates,female,5yearly,20,47.057291428198
915,1950,estimates,male,5yearly,20,45.0933863940528
915,1950,estimates,female,5yearly,25,43.0331696177082
915,1950,estimates,male,5yearly,25,41.1731509335499
915,1950,estimates,female,5yearly,30,39.0372608949995
915,1950,estimates,male,5yearly,30,37.2949947731644
915,1950,estimates,female,5yearly,35,35.0456718959856
915,1950,estimates,male,5yearly,35,33.4081585774234
915,1950,estimates,female,5yearly,40,31.0544628570819
915,1950,estimates,male,5yearly,40,29.543809168417
915,1950,estimates,female,5yearly,45,27.0882066136728
915,1950,estimates,male,5yearly,45,25.7414216985681
915,1950,estimates,female,5yearly,50,23.2036261465004
915,1950,estimates,male,5yearly,50,22.0424792381508
915,1950,estimates,female,5yearly,55,19.466489508209
915,1950,estimates,male,5yearly,55,18.5051380488912
915,1950,estimates,female,5yearly,60,15.9353118030287
915,1950,estimates,male,5yearly,60,15.1837012355964
915,1950,estimates,female,5yearly,65,12.6286392057853
915,1950,estimates,male,5yearly,65,12.0842917867284
915,1950,estimates,female,5yearly,70,9.72596285941292
915,1950,estimates,male,5yearly,70,9.31874464842797
915,1950,estimates,female,5yearly,75,7.3580057511377
915,1950,estimates,male,5yearly,75,7.04656952571665
915,1950,estimates,female,5yearly,80,5.47733458551764
915,1950,estimates,male,5yearly,80,5.25200313287988
915,1950,estimates,female,5yearly,85,4.05162898066726
915,1950,estimates,male,5yearly,85,3.89777028932606
915,1950,estimates,female,5yearly,90,3.01970381840009
915,1950,estimates,male,5yearly,90,2.92055501269497
915,1950,estimates,female,5yearly,95,2.30412867383746
915,1950,estimates,male,5yearly,95,2.24371758234278
915,1950,estimates,female,5yearly,100plus,1.82583339738629
915,1950,estimates,male,5yearly,100plus,1.79097596815888
915,1955,estimates,female,5yearly,0,56.8367710235696
915,1955,estimates,male,5yearly,0,53.7613551599543
915,1955,estimates,female,5yearly,1,62.3230605237845
915,1955,estimates,male,5yearly,1,59.9595171524407
915,1955,estimates,female,5yearly,5,61.8419979667201
915,1955,estimates,male,5yearly,5,59.5869642654619
915,1955,estimates,female,5yearly,10,57.673042971438
915,1955,estimates,male,5yearly,10,55.4658149684767
915,1955,estimates,female,5yearly,15,53.122596686008
915,1955,estimates,male,5yearly,15,50.9364468227523
915,1955,estimates,female,5yearly,20,48.8049678440373
915,1955,estimates,male,5yearly,20,46.6804199025177
915,1955,estimates,female,5yearly,25,44.6478769616671
915,1955,estimates,male,5yearly,25,42.6364104721748
915,1955,estimates,female,5yearly,30,40.5154489630158
915,1955,estimates,male,5yearly,30,38.6289284775045
915,1955,estimates,female,5yearly,35,36.3868186056814
915,1955,estimates,male,5yearly,35,34.6143690481716
915,1955,estimates,female,5yearly,40,32.2731352991622
915,1955,estimates,male,5yearly,40,30.6274992124921
915,1955,estimates,female,5yearly,45,28.2002913903809
915,1955,estimates,male,5yearly,45,26.7057527225249
915,1955,estimates,female,5yearly,50,24.2172135737727
915,1955,estimates,male,5yearly,50,22.8952500476879
915,1955,estimates,female,5yearly,55,20.3789238303902
915,1955,estimates,male,5yearly,55,19.2433267331755
915,1955,estimates,female,5yearly,60,16.7444322290353
915,1955,estimates,male,5yearly,60,15.8072624284671
915,1955,estimates,female,5yearly,65,13.3643668686249
915,1955,estimates,male,5yearly,65,12.6281279443464
915,1955,estimates,female,5yearly,70,10.3781664132669
915,1955,estimates,male,5yearly,70,9.79202776367367
915,1955,estimates,female,5yearly,75,7.91034528929061
915,1955,estimates,male,5yearly,75,7.43295928063913
915,1955,estimates,female,5yearly,80,5.92545642158149
915,1955,estimates,male,5yearly,80,5.55380681575629
915,1955,estimates,female,5yearly,85,4.39916988878887
915,1955,estimates,male,5yearly,85,4.12308906680892
915,1955,estimates,female,5yearly,90,3.27755381946896
915,1955,estimates,male,5yearly,90,3.08166517767746
915,1955,estimates,female,5yearly,95,2.48782288795991
915,1955,estimates,male,5yearly,95,2.35458901688906
915,1955,estimates,female,5yearly,100plus,1.95223127605628
915,1955,estimates,male,5yearly,100plus,1.86491231036981
915,1960,estimates,female,5yearly,0,60.0333628305305
915,1960,estimates,male,5yearly,0,56.7638989906659
915,1960,estimates,female,5yearly,1,64.7038370513926
915,1960,estimates,male,5yearly,1,62.1260731861785
915,1960,estimates,female,5yearly,5,63.4666347641127
915,1960,estimates,male,5yearly,5,60.9909007304727
915,1960,estimates,female,5yearly,10,59.2453290067435
915,1960,estimates,male,5yearly,10,56.8217471040139
915,1960,estimates,female,5yearly,15,54.6178238382654
915,1960,estimates,male,5yearly,15,52.2257179277032
915,1960,estimates,female,5yearly,20,50.1901454897127
915,1960,estimates,male,5yearly,20,47.8738331150665
915,1960,estimates,female,5yearly,25,45.9181114518254
915,1960,estimates,male,5yearly,25,43.7252318671586
915,1960,estimates,female,5yearly,30,41.6758914798615
915,1960,estimates,male,5yearly,30,39.6140379191558
915,1960,estimates,female,5yearly,35,37.4350748681467
915,1960,estimates,male,5yearly,35,35.4919729469384
915,1960,estimates,female,5yearly,40,33.2179577418626
915,1960,estimates,male,5yearly,40,31.399553844446
915,1960,estimates,female,5yearly,45,29.0611407829362
915,1960,estimates,male,5yearly,45,27.3790604880229
915,1960,estimates,female,5yearly,50,25.0032709364681
915,1960,estimates,male,5yearly,50,23.4762482068728
915,1960,estimates,female,5yearly,55,21.095852285536
915,1960,estimates,male,5yearly,55,19.7421716955455
915,1960,estimates,female,5yearly,60,17.3907335385536
915,1960,estimates,male,5yearly,60,16.2242098174984
915,1960,estimates,female,5yearly,65,13.9511429127685
915,1960,estimates,male,5yearly,65,12.9862351534666
915,1960,estimates,female,5yearly,70,10.8963930602179
915,1960,estimates,male,5yearly,70,10.1126927132376
915,1960,estimates,female,5yearly,75,8.33632308784908
915,1960,estimates,male,5yearly,75,7.70277006031124
915,1960,estimates,female,5yearly,80,6.26062762254387
915,1960,estimates,male,5yearly,80,5.77145215046255
915,1960,estimates,female,5yearly,85,4.65120000959057
915,1960,estimates,male,5yearly,85,4.29110922270804
915,1960,estimates,female,5yearly,90,3.45892993583237
915,1960,estimates,male,5yearly,90,3.2059421522877
915,1960,estimates,female,5yearly,95,2.6133548636453
915,1960,estimates,male,5yearly,95,2.44301729657154
915,1960,estimates,female,5yearly,100plus,2.03644267091978
915,1960,estimates,male,5yearly,100plus,1.92581729520721
915,1965,estimates,female,5yearly,0,62.7127798008046
915,1965,estimates,male,5yearly,0,59.3856508989577
915,1965,estimates,female,5yearly,1,66.8384821796597
915,1965,estimates,male,5yearly,1,64.1678023107211
915,1965,estimates,female,5yearly,5,65.1109661645892
915,1965,estimates,male,5yearly,5,62.541733072239
915,1965,estimates,female,5yearly,10,60.641599353211
915,1965,estimates,male,5yearly,10,58.1210147019767
915,1965,estimates,female,5yearly,15,55.9722822941897
915,1965,estimates,male,5yearly,15,53.4890562508766
915,1965,estimates,female,5yearly,20,51.4613233844355
915,1965,estimates,male,5yearly,20,49.0584977240327
915,1965,estimates,female,5yearly,25,47.0796025095813
915,1965,estimates,male,5yearly,25,44.8035979905271
