region,year,variant,gender,freq,age1yearinterval,lifeexpectancy
910,1950,estimates,female,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1950,estimates,male,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1950,estimates,female,5yearly,0,38.4082591999436
910,1950,estimates,male,5yearly,0,35.6350866875363
910,1950,estimates,female,5yearly,1,45.046100294677
910,1950,estimates,male,5yearly,1,43.0386235515233
910,1950,estimates,female,5yearly,5,48.4465962001391
910,1950,estimates,male,5yearly,5,46.3756185142699
910,1950,estimates,female,5yearly,10,46.7757579117761
910,1950,estimates,male,5yearly,10,44.5979839333109
910,1950,estimates,female,5yearly,15,43.1839703237048
910,1950,estimates,male,5yearly,15,40.8840523777752
910,1950,estimates,female,5yearly,20,39.607311853925
910,1950,estimates,male,5yearly,20,37.3216324380223
910,1950,estimates,female,5yearly,25,36.1661799469446
910,1950,estimates,male,5yearly,25,34.0808829398751
910,1950,estimates,female,5yearly,30,32.8242307595558
910,1950,estimates,male,5yearly,30,30.8799638619777
910,1950,estimates,female,5yearly,35,29.5652999617165
910,1950,estimates,male,5yearly,35,27.601266637555
910,1950,estimates,female,5yearly,40,26.3404727221624
910,1950,estimates,male,5yearly,40,24.3520084709151
910,1950,estimates,female,5yearly,45,23.0566488947987
910,1950,estimates,male,5yearly,45,21.1824799618304
910,1950,estimates,female,5yearly,50,19.6899987775512
910,1950,estimates,male,5yearly,50,18.090077757181
910,1950,estimates,female,5yearly,55,16.3627308439292
910,1950,estimates,male,5yearly,55,15.0912731555881
910,1950,estimates,female,5yearly,60,13.2334568229691
910,1950,estimates,male,5yearly,60,12.2520267253207
910,1950,estimates,female,5yearly,65,10.4164604950671
910,1950,estimates,male,5yearly,65,9.64171825907919
910,1950,estimates,female,5yearly,70,8.00992898353016
910,1950,estimates,male,5yearly,70,7.35783963277355
910,1950,estimates,female,5yearly,75,6.04949774619782
910,1950,estimates,male,5yearly,75,5.51227695445033
910,1950,estimates,female,5yearly,80,4.53024676438041
910,1950,estimates,male,5yearly,80,4.10590973083095
910,1950,estimates,female,5yearly,85,3.40154652083754
910,1950,estimates,male,5yearly,85,3.0799534449795
910,1950,estimates,female,5yearly,90,2.59579725281736
910,1950,estimates,male,5yearly,90,2.36113490673343
910,1950,estimates,female,5yearly,95,2.04050826490163
910,1950,estimates,male,5yearly,95,1.87472991261183
910,1950,estimates,female,5yearly,100plus,1.66876448568433
910,1950,estimates,male,5yearly,100plus,1.55463798538819
910,1955,estimates,female,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1955,estimates,male,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1955,estimates,female,5yearly,0,40.903958966677
910,1955,estimates,male,5yearly,0,38.0359498461287
910,1955,estimates,female,5yearly,1,47.2170555735678
910,1955,estimates,male,5yearly,1,45.1050917550876
910,1955,estimates,female,5yearly,5,50.1176585473878
910,1955,estimates,male,5yearly,5,47.9527048202596
910,1955,estimates,female,5yearly,10,48.1325482921038
910,1955,estimates,male,5yearly,10,45.8775875883956
910,1955,estimates,female,5yearly,15,44.4499081280976
