variant,country,year,totalpopulationannualdoubletime
Estimates,480,1950,26.292
Estimates,480,1951,25.164
Estimates,480,1952,23.617
Estimates,480,1953,22.964
Estimates,480,1954,22.846
Estimates,480,1955,23.045
Estimates,480,1956,23.394
Estimates,480,1957,23.759
Estimates,480,1958,24.038
Estimates,480,1959,24.199
Estimates,480,1960,24.324
Estimates,480,1961,24.587
Estimates,480,1962,25.222
Estimates,480,1963,26.466
Estimates,480,1964,28.412
Estimates,480,1965,30.962
Estimates,480,1966,33.848
Estimates,480,1967,36.751
Estimates,480,1968,39.313
Estimates,480,1969,41.258
Estimates,480,1970,42.968
Estimates,480,1971,44.84
Estimates,480,1972,46.204
Estimates,480,1973,46.212
Estimates,480,1974,45.054
Estimates,480,1975,43.308
Estimates,480,1976,41.758
Estimates,480,1977,41.385
Estimates,480,1978,42.941
Estimates,480,1979,46.766
Estimates,480,1980,52.518
Estimates,480,1981,59.289
Estimates,480,1982,66.645
Estimates,480,1983,74.343
Estimates,480,1984,81.47
Estimates,480,1985,89.23
Estimates,480,1986,98.398
Estimates,480,1987,102.148
Estimates,480,1988,93.349
Estimates,480,1989,77.979
Estimates,480,1990,64.134
Estimates,480,1991,54.717
Estimates,480,1992,49.795
Estimates,480,1993,48.836
Estimates,480,1994,51.324
Estimates,480,1995,56.231
Estimates,480,1996,62.144
Estimates,480,1997,68.521
Estimates,480,1998,75.317
Estimates,480,1999,82.053
Estimates,480,2000,89.392
Estimates,480,2001,98.556
Estimates,480,2002,109.355
Estimates,480,2003,120.53
Estimates,480,2004,131.406
Estimates,480,2005,142.582
Estimates,480,2006,154.824
Estimates,480,2007,165.948
Estimates,480,2008,172.36
Estimates,480,2009,173.388
Estimates,480,2010,170.707
Estimates,480,2011,167.297
Estimates,480,2012,166.593
Estimates,480,2013,171.179
Estimates,480,2014,182.174
Estimates,480,2015,198.466
Medium_variant,480,2015,198.466
Medium_variant,480,2016,217.502
Medium_variant,480,2017,237.797
Medium_variant,480,2018,258.281
Medium_variant,480,2019,277.591
Medium_variant,480,2020,297.747
Medium_variant,480,2021,322.267
Medium_variant,480,2022,352.364
Medium_variant,480,2023,388.009
Medium_variant,480,2024,431.317
Medium_variant,480,2025,485.736
Medium_variant,480,2026,557.752
Medium_variant,480,2027,663.762
Medium_variant,480,2028,843.688
Medium_variant,480,2029,1207.146
Medium_variant,480,2030,2219
Medium_variant,480,2031,14880.881
Medium_variant,480,2032,-3045.798
Medium_variant,480,2033,-1343.165
Medium_variant,480,2034,-849.767
Medium_variant,480,2035,-618.099
Medium_variant,480,2036,-485.86
Medium_variant,480,2037,-401.265
Medium_variant,480,2038,-343.124
Medium_variant,480,2039,-300.975
Medium_variant,480,2040,-268.931
Medium_variant,480,2041,-243.835
Medium_variant,480,2042,-224.265
Medium_variant,480,2043,-209.172
Medium_variant,480,2044,-197.412
Medium_variant,480,2045,-187.896
Medium_variant,480,2046,-179.936
Medium_variant,480,2047,-173.451
Medium_variant,480,2048,-168.483
Medium_variant,480,2049,-164.795
Medium_variant,480,2050,-161.979
Medium_variant,480,2051,-159.699
Medium_variant,480,2052,-157.864
Medium_variant,480,2053,-156.392
Medium_variant,480,2054,-155.187
Medium_variant,480,2055,-154.254
Medium_variant,480,2056,-153.477
Medium_variant,480,2057,-152.686
Medium_variant,480,2058,-151.703
Medium_variant,480,2059,-150.448
Medium_variant,480,2060,-149.065
Medium_variant,480,2061,-147.666
Medium_variant,480,2062,-146.08
Medium_variant,480,2063,-144.176
Medium_variant,480,2064,-141.962
Medium_variant,480,2065,-139.581
Medium_variant,480,2066,-137.189
Medium_variant,480,2067,-134.79
Medium_variant,480,2068,-132.353
Medium_variant,480,2069,-129.905
Medium_variant,480,2070,-127.492
Medium_variant,480,2071,-125.163
Medium_variant,480,2072,-122.982
Medium_variant,480,2073,-120.957
Medium_variant,480,2074,-119.107
Medium_variant,480,2075,-117.403
Medium_variant,480,2076,-115.846
Medium_variant,480,2077,-114.498
Medium_variant,480,2078,-113.417
Medium_variant,480,2079,-112.622
Medium_variant,480,2080,-112.048
Medium_variant,480,2081,-111.634
Medium_variant,480,2082,-111.329
Medium_variant,480,2083,-111.102
Medium_variant,480,2084,-110.977
Medium_variant,480,2085,-110.984
Medium_variant,480,2086,-111.142
Medium_variant,480,2087,-111.5
Medium_variant,480,2088,-112.095
Medium_variant,480,2089,-112.921
Medium_variant,480,2090,-113.975
Medium_variant,480,2091,-115.245
Medium_variant,480,2092,-116.751
Medium_variant,480,2093,-118.472
Medium_variant,480,2094,-120.43
Medium_variant,480,2095,-122.694
Medium_variant,480,2096,-125.3
Medium_variant,480,2097,-128.278
Medium_variant,480,2098,-131.732
Medium_variant,480,2099,-135.773
