variant,country,year,totalpopulationannualdoubletime
Estimates,84,1950,20.891
Estimates,84,1951,21.87
Estimates,84,1952,23.596
Estimates,84,1953,24.593
Estimates,84,1954,24.943
Estimates,84,1955,24.866
Estimates,84,1956,24.596
Estimates,84,1957,24.331
Estimates,84,1958,24.21
Estimates,84,1959,24.268
Estimates,84,1960,24.46
Estimates,84,1961,24.673
Estimates,84,1962,24.709
Estimates,84,1963,24.452
Estimates,84,1964,24.005
Estimates,84,1965,23.461
Estimates,84,1966,23.051
Estimates,84,1967,23.253
Estimates,84,1968,24.499
Estimates,84,1969,26.986
Estimates,84,1970,30.574
Estimates,84,1971,34.775
Estimates,84,1972,39.116
Estimates,84,1973,43.081
Estimates,84,1974,45.872
Estimates,84,1975,48.105
Estimates,84,1976,50.218
Estimates,84,1977,49.645
Estimates,84,1978,44.681
Estimates,84,1979,37.888
Estimates,84,1980,31.991
Estimates,84,1981,27.887
Estimates,84,1982,25.471
Estimates,84,1983,24.434
Estimates,84,1984,24.435
Estimates,84,1985,24.774
Estimates,84,1986,24.982
Estimates,84,1987,25.549
Estimates,84,1988,27.116
Estimates,84,1989,29.793
Estimates,84,1990,33.906
Estimates,84,1991,39.1
Estimates,84,1992,41.527
Estimates,84,1993,37.305
Estimates,84,1994,29.997
Estimates,84,1995,23.993
Estimates,84,1996,20.275
Estimates,84,1997,18.513
Estimates,84,1998,18.324
Estimates,84,1999,19.439
Estimates,84,2000,21.441
Estimates,84,2001,23.712
Estimates,84,2002,25.681
Estimates,84,2003,26.87
Estimates,84,2004,27.06
Estimates,84,2005,26.784
Estimates,84,2006,26.653
Estimates,84,2007,26.837
Estimates,84,2008,27.338
Estimates,84,2009,28.17
Estimates,84,2010,29.191
Estimates,84,2011,30.218
Estimates,84,2012,31.112
Estimates,84,2013,31.809
Estimates,84,2014,32.3
Estimates,84,2015,32.689
Medium_variant,84,2015,32.689
Medium_variant,84,2016,33.107
Medium_variant,84,2017,33.607
Medium_variant,84,2018,34.21
Medium_variant,84,2019,34.922
Medium_variant,84,2020,35.705
Medium_variant,84,2021,36.52
Medium_variant,84,2022,37.395
Medium_variant,84,2023,38.384
Medium_variant,84,2024,39.486
Medium_variant,84,2025,40.683
Medium_variant,84,2026,41.951
Medium_variant,84,2027,43.265
Medium_variant,84,2028,44.605
Medium_variant,84,2029,45.969
Medium_variant,84,2030,47.37
Medium_variant,84,2031,48.829
Medium_variant,84,2032,50.354
Medium_variant,84,2033,51.943
Medium_variant,84,2034,53.602
Medium_variant,84,2035,55.323
Medium_variant,84,2036,57.098
Medium_variant,84,2037,58.895
Medium_variant,84,2038,60.674
Medium_variant,84,2039,62.416
Medium_variant,84,2040,64.163
Medium_variant,84,2041,65.958
Medium_variant,84,2042,67.808
Medium_variant,84,2043,69.706
Medium_variant,84,2044,71.634
Medium_variant,84,2045,73.617
Medium_variant,84,2046,75.69
Medium_variant,84,2047,77.889
Medium_variant,84,2048,80.267
Medium_variant,84,2049,82.86
Medium_variant,84,2050,85.652
Medium_variant,84,2051,88.609
Medium_variant,84,2052,91.777
Medium_variant,84,2053,95.237
Medium_variant,84,2054,99.006
Medium_variant,84,2055,103.077
Medium_variant,84,2056,107.492
Medium_variant,84,2057,112.225
Medium_variant,84,2058,117.253
Medium_variant,84,2059,122.637
Medium_variant,84,2060,128.422
Medium_variant,84,2061,134.655
Medium_variant,84,2062,141.485
Medium_variant,84,2063,149.034
Medium_variant,84,2064,157.314
Medium_variant,84,2065,166.442
Medium_variant,84,2066,176.495
Medium_variant,84,2067,187.429
Medium_variant,84,2068,199.268
Medium_variant,84,2069,212.061
Medium_variant,84,2070,225.954
Medium_variant,84,2071,241.386
Medium_variant,84,2072,258.555
Medium_variant,84,2073,277.512
Medium_variant,84,2074,298.711
Medium_variant,84,2075,322.667
Medium_variant,84,2076,349.413
Medium_variant,84,2077,379.229
Medium_variant,84,2078,412.738
Medium_variant,84,2079,449.458
Medium_variant,84,2080,490.525
Medium_variant,84,2081,538.063
Medium_variant,84,2082,592.153
Medium_variant,84,2083,654.384
Medium_variant,84,2084,726.976
Medium_variant,84,2085,812.419
Medium_variant,84,2086,914.908
Medium_variant,84,2087,1038.517
Medium_variant,84,2088,1188.186
Medium_variant,84,2089,1373.608
Medium_variant,84,2090,1613.149
Medium_variant,84,2091,1941.218
Medium_variant,84,2092,2429.818
Medium_variant,84,2093,3246.171
Medium_variant,84,2094,4912.617
Medium_variant,84,2095,10200.083
Medium_variant,84,2096,-117304.59
Medium_variant,84,2097,-8609.136
Medium_variant,84,2098,-4425.869
Medium_variant,84,2099,-2968.675
