variant,country,year,potentialsupport1664_65
estimates,64,1950,21.164
estimates,64,1951,21.365
estimates,64,1952,21.703
estimates,64,1953,22.187
estimates,64,1954,22.791
estimates,64,1955,23.53
estimates,64,1956,23.416
estimates,64,1957,23.441
estimates,64,1958,23.588
estimates,64,1959,23.869
estimates,64,1960,24.283
estimates,64,1961,24.053
estimates,64,1962,23.96
estimates,64,1963,23.982
estimates,64,1964,24.076
estimates,64,1965,24.232
estimates,64,1966,23.915
estimates,64,1967,23.681
estimates,64,1968,23.524
estimates,64,1969,23.451
estimates,64,1970,23.471
estimates,64,1971,23.251
estimates,64,1972,23.113
estimates,64,1973,23.031
estimates,64,1974,22.992
estimates,64,1975,22.967
estimates,64,1976,22.606
estimates,64,1977,22.315
estimates,64,1978,22.077
estimates,64,1979,21.874
estimates,64,1980,21.699
estimates,64,1981,21.166
estimates,64,1982,20.712
estimates,64,1983,20.325
estimates,64,1984,19.995
estimates,64,1985,19.715
estimates,64,1986,19.267
estimates,64,1987,18.884
estimates,64,1988,18.559
estimates,64,1989,18.281
estimates,64,1990,18.041
estimates,64,1991,17.372
estimates,64,1992,16.802
estimates,64,1993,16.32
estimates,64,1994,15.913
estimates,64,1995,15.581
estimates,64,1996,15.281
estimates,64,1997,15.015
estimates,64,1998,14.794
estimates,64,1999,14.632
estimates,64,2000,14.534
estimates,64,2001,14.656
estimates,64,2002,14.805
estimates,64,2003,14.954
estimates,64,2004,15.086
estimates,64,2005,15.192
estimates,64,2006,15.086
estimates,64,2007,14.978
estimates,64,2008,14.863
estimates,64,2009,14.729
estimates,64,2010,14.574
estimates,64,2011,14.346
estimates,64,2012,14.106
estimates,64,2013,13.866
estimates,64,2014,13.644
estimates,64,2015,13.446
medium_variant,64,2015,13.446
medium_variant,64,2016,13.227
medium_variant,64,2017,13.032
medium_variant,64,2018,12.833
medium_variant,64,2019,12.591
medium_variant,64,2020,12.295
medium_variant,64,2021,11.951
medium_variant,64,2022,11.573
medium_variant,64,2023,11.194
medium_variant,64,2024,10.847
medium_variant,64,2025,10.544
medium_variant,64,2026,10.273
medium_variant,64,2027,10.03
medium_variant,64,2028,9.792
medium_variant,64,2029,9.529
medium_variant,64,2030,9.231
medium_variant,64,2031,8.909
medium_variant,64,2032,8.566
medium_variant,64,2033,8.225
medium_variant,64,2034,7.907
medium_variant,64,2035,7.619
medium_variant,64,2036,7.358
medium_variant,64,2037,7.117
medium_variant,64,2038,6.878
medium_variant,64,2039,6.626
medium_variant,64,2040,6.355
medium_variant,64,2041,6.08
medium_variant,64,2042,5.8
medium_variant,64,2043,5.519
medium_variant,64,2044,5.24
medium_variant,64,2045,4.966
medium_variant,64,2046,4.707
medium_variant,64,2047,4.458
medium_variant,64,2048,4.22
medium_variant,64,2049,4
medium_variant,64,2050,3.799
medium_variant,64,2051,3.622
medium_variant,64,2052,3.459
medium_variant,64,2053,3.311
medium_variant,64,2054,3.176
medium_variant,64,2055,3.053
medium_variant,64,2056,2.947
medium_variant,64,2057,2.851
medium_variant,64,2058,2.763
medium_variant,64,2059,2.681
medium_variant,64,2060,2.605
medium_variant,64,2061,2.542
