country,variant,freq,year,meanageforchildbearing
344,estimates,5yearly,1950,29.062
344,estimates,5yearly,1955,29.062
344,estimates,5yearly,1960,29.062
344,estimates,5yearly,1965,28.952
344,estimates,5yearly,1970,28.79
344,estimates,5yearly,1975,28.628
344,estimates,5yearly,1980,28.767
344,estimates,5yearly,1985,29.266
344,estimates,5yearly,1990,29.579
344,estimates,5yearly,1995,29.907
344,estimates,5yearly,2000,30.253
344,estimates,5yearly,2005,31.01
344,estimates,5yearly,2010,31.699
344,medium_variant,5yearly,2015,32.281
344,medium_variant,5yearly,2020,32.655
344,medium_variant,5yearly,2025,32.886
344,medium_variant,5yearly,2030,33.024
344,medium_variant,5yearly,2035,33.104
344,medium_variant,5yearly,2040,33.145
344,medium_variant,5yearly,2045,33.159
344,medium_variant,5yearly,2050,33.159
344,medium_variant,5yearly,2055,33.159
344,medium_variant,5yearly,2060,33.159
344,medium_variant,5yearly,2065,33.159
344,medium_variant,5yearly,2070,33.159
344,medium_variant,5yearly,2075,33.159
344,medium_variant,5yearly,2080,33.159
344,medium_variant,5yearly,2085,33.159
344,medium_variant,5yearly,2090,33.159
344,medium_variant,5yearly,2095,33.159
344,estimates,5yearly,Regi,"China, Hong Kong SAR"
344,medium_variant,5yearly,Regi,"China, Hong Kong SAR"
