country,variant,freq,year,meanageforchildbearing
268,estimates,5yearly,1950,28.924
268,estimates,5yearly,1955,28.924
268,estimates,5yearly,1960,28.924
268,estimates,5yearly,1965,28.115
268,estimates,5yearly,1970,27.312
268,estimates,5yearly,1975,26.264
268,estimates,5yearly,1980,25.369
268,estimates,5yearly,1985,25.163
268,estimates,5yearly,1990,25.333
268,estimates,5yearly,1995,25.543
268,estimates,5yearly,2000,25.926
268,estimates,5yearly,2005,26.186
268,estimates,5yearly,2010,26.435
268,medium_variant,5yearly,2015,26.735
268,medium_variant,5yearly,2020,27.117
268,medium_variant,5yearly,2025,27.559
268,medium_variant,5yearly,2030,27.966
268,medium_variant,5yearly,2035,28.321
268,medium_variant,5yearly,2040,28.629
268,medium_variant,5yearly,2045,28.896
268,medium_variant,5yearly,2050,29.128
268,medium_variant,5yearly,2055,29.328
268,medium_variant,5yearly,2060,29.501
268,medium_variant,5yearly,2065,29.65
268,medium_variant,5yearly,2070,29.782
268,medium_variant,5yearly,2075,29.897
268,medium_variant,5yearly,2080,29.999
268,medium_variant,5yearly,2085,30.09
268,medium_variant,5yearly,2090,30.17
268,medium_variant,5yearly,2095,30.243
268,estimates,5yearly,Regi,Georgia
268,medium_variant,5yearly,Regi,Georgia
