country,variant,freq,year,meanageforchildbearing
703,estimates,5yearly,1950,28.06
703,estimates,5yearly,1955,27.395
703,estimates,5yearly,1960,26.755
703,estimates,5yearly,1965,26.454
703,estimates,5yearly,1970,26.181
703,estimates,5yearly,1975,25.688
703,estimates,5yearly,1980,25.3
703,estimates,5yearly,1985,25.102
703,estimates,5yearly,1990,25.242
703,estimates,5yearly,1995,26.118
703,estimates,5yearly,2000,27.157
703,estimates,5yearly,2005,28.211
703,estimates,5yearly,2010,28.799
703,medium_variant,5yearly,2015,29.609
703,medium_variant,5yearly,2020,30.268
703,medium_variant,5yearly,2025,30.74
703,medium_variant,5yearly,2030,31.04
703,medium_variant,5yearly,2035,31.223
703,medium_variant,5yearly,2040,31.331
703,medium_variant,5yearly,2045,31.392
703,medium_variant,5yearly,2050,31.421
703,medium_variant,5yearly,2055,31.427
703,medium_variant,5yearly,2060,31.427
703,medium_variant,5yearly,2065,31.427
703,medium_variant,5yearly,2070,31.427
703,medium_variant,5yearly,2075,31.427
703,medium_variant,5yearly,2080,31.427
703,medium_variant,5yearly,2085,31.427
703,medium_variant,5yearly,2090,31.427
703,medium_variant,5yearly,2095,31.427
703,estimates,5yearly,Regi,Slovakia
703,medium_variant,5yearly,Regi,Slovakia
