country,variant,freq,year,meanageforchildbearing
446,estimates,5yearly,1950,30.322
446,estimates,5yearly,1955,30.322
446,estimates,5yearly,1960,31.377
446,estimates,5yearly,1965,31.378
446,estimates,5yearly,1970,31.01
446,estimates,5yearly,1975,29.752
446,estimates,5yearly,1980,28.022
446,estimates,5yearly,1985,29.222
446,estimates,5yearly,1990,29.315
446,estimates,5yearly,1995,29.749
446,estimates,5yearly,2000,29.638
446,estimates,5yearly,2005,30.04
446,estimates,5yearly,2010,30.434
446,medium_variant,5yearly,2015,30.877
446,medium_variant,5yearly,2020,31.241
446,medium_variant,5yearly,2025,31.506
446,medium_variant,5yearly,2030,31.684
446,medium_variant,5yearly,2035,31.794
446,medium_variant,5yearly,2040,31.848
446,medium_variant,5yearly,2045,31.862
446,medium_variant,5yearly,2050,31.862
446,medium_variant,5yearly,2055,31.862
446,medium_variant,5yearly,2060,31.862
446,medium_variant,5yearly,2065,31.862
446,medium_variant,5yearly,2070,31.862
446,medium_variant,5yearly,2075,31.862
446,medium_variant,5yearly,2080,31.862
446,medium_variant,5yearly,2085,31.862
446,medium_variant,5yearly,2090,31.862
446,medium_variant,5yearly,2095,31.862
446,estimates,5yearly,Regi,"China, Macao SAR"
446,medium_variant,5yearly,Regi,"China, Macao SAR"
