country,variant,freq,year,meanageforchildbearing
840,estimates,5yearly,1950,26.597
840,estimates,5yearly,1955,26.444
840,estimates,5yearly,1960,26.5
840,estimates,5yearly,1965,26.31
840,estimates,5yearly,1970,25.94
840,estimates,5yearly,1975,25.966
840,estimates,5yearly,1980,26.21
840,estimates,5yearly,1985,26.536
840,estimates,5yearly,1990,26.672
840,estimates,5yearly,1995,27.129
840,estimates,5yearly,2000,27.708
840,estimates,5yearly,2005,28.031
840,estimates,5yearly,2010,28.597
840,medium_variant,5yearly,2015,29.83
840,medium_variant,5yearly,2020,30.5
840,medium_variant,5yearly,2025,30.5
840,medium_variant,5yearly,2030,30.5
840,medium_variant,5yearly,2035,30.5
840,medium_variant,5yearly,2040,30.5
840,medium_variant,5yearly,2045,30.5
840,medium_variant,5yearly,2050,30.5
840,medium_variant,5yearly,2055,30.5
840,medium_variant,5yearly,2060,30.5
840,medium_variant,5yearly,2065,30.5
840,medium_variant,5yearly,2070,30.5
840,medium_variant,5yearly,2075,30.5
840,medium_variant,5yearly,2080,30.5
840,medium_variant,5yearly,2085,30.5
840,medium_variant,5yearly,2090,30.5
840,medium_variant,5yearly,2095,30.5
