country,variant,freq,year,meanageforchildbearing
706,estimates,5yearly,1950,32.158
706,estimates,5yearly,1955,32.158
706,estimates,5yearly,1960,32.158
706,estimates,5yearly,1965,32.158
706,estimates,5yearly,1970,32.158
706,estimates,5yearly,1975,32.158
706,estimates,5yearly,1980,32.158
706,estimates,5yearly,1985,31.895
706,estimates,5yearly,1990,31.632
706,estimates,5yearly,1995,31.369
706,estimates,5yearly,2000,31.239
706,estimates,5yearly,2005,30.419
706,estimates,5yearly,2010,30.13
706,medium_variant,5yearly,2015,29.679
706,medium_variant,5yearly,2020,29.314
706,medium_variant,5yearly,2025,29.02
706,medium_variant,5yearly,2030,28.79
706,medium_variant,5yearly,2035,28.611
706,medium_variant,5yearly,2040,28.479
706,medium_variant,5yearly,2045,28.384
706,medium_variant,5yearly,2050,28.323
706,medium_variant,5yearly,2055,28.29
706,medium_variant,5yearly,2060,28.28
706,medium_variant,5yearly,2065,28.294
706,medium_variant,5yearly,2070,28.327
706,medium_variant,5yearly,2075,28.379
706,medium_variant,5yearly,2080,28.447
706,medium_variant,5yearly,2085,28.531
706,medium_variant,5yearly,2090,28.631
706,medium_variant,5yearly,2095,28.744
