variant,country,year,under_five_mortality
estimates,608,1950,144.042
estimates,608,1951,142.331
estimates,608,1952,138.953
estimates,608,1953,135.664
estimates,608,1954,132.465
estimates,608,1955,129.354
estimates,608,1956,126.328
estimates,608,1957,123.381
estimates,608,1958,120.506
estimates,608,1959,117.685
estimates,608,1960,114.901
estimates,608,1961,112.133
estimates,608,1962,109.364
estimates,608,1963,106.584
estimates,608,1964,103.79
estimates,608,1965,100.947
estimates,608,1966,98.009
estimates,608,1967,95.006
estimates,608,1968,92.014
estimates,608,1969,89.133
estimates,608,1970,86.588
estimates,608,1971,84.638
estimates,608,1972,83.394
estimates,608,1973,82.855
estimates,608,1974,82.917
estimates,608,1975,83.365
estimates,608,1976,83.903
estimates,608,1977,84.199
estimates,608,1978,83.972
estimates,608,1979,83.065
estimates,608,1980,81.326
estimates,608,1981,78.69
estimates,608,1982,75.342
estimates,608,1983,71.516
estimates,608,1984,67.401
estimates,608,1985,63.273
estimates,608,1986,59.424
estimates,608,1987,56.049
estimates,608,1988,53.276
estimates,608,1989,51.158
estimates,608,1990,49.648
estimates,608,1991,48.599
estimates,608,1992,47.76
estimates,608,1993,46.927
estimates,608,1994,46.011
estimates,608,1995,44.971
estimates,608,1996,43.823
estimates,608,1997,42.656
estimates,608,1998,41.534
estimates,608,1999,40.468
estimates,608,2000,39.457
estimates,608,2001,38.497
estimates,608,2002,37.573
estimates,608,2003,36.672
estimates,608,2004,35.791
estimates,608,2005,34.927
estimates,608,2006,34.083
estimates,608,2007,33.262
estimates,608,2008,32.464
estimates,608,2009,31.688
estimates,608,2010,30.928
estimates,608,2011,30.179
estimates,608,2012,29.437
estimates,608,2013,28.701
estimates,608,2014,27.974
estimates,608,2015,27.261
medium_variant,608,2015,27.261
medium_variant,608,2016,26.569
medium_variant,608,2017,25.907
medium_variant,608,2018,25.279
medium_variant,608,2019,24.685
medium_variant,608,2020,24.123
medium_variant,608,2021,23.586
medium_variant,608,2022,23.067
medium_variant,608,2023,22.56
medium_variant,608,2024,22.062
medium_variant,608,2025,21.574
medium_variant,608,2026,21.098
medium_variant,608,2027,20.64
medium_variant,608,2028,20.2
medium_variant,608,2029,19.777
medium_variant,608,2030,19.37
medium_variant,608,2031,18.974
medium_variant,608,2032,18.586
medium_variant,608,2033,18.201
medium_variant,608,2034,17.819
medium_variant,608,2035,17.438
medium_variant,608,2036,17.059
medium_variant,608,2037,16.685
medium_variant,608,2038,16.315
medium_variant,608,2039,15.952
medium_variant,608,2040,15.593
medium_variant,608,2041,15.236
medium_variant,608,2042,14.881
medium_variant,608,2043,14.53
medium_variant,608,2044,14.184
medium_variant,608,2045,13.849
medium_variant,608,2046,13.53
medium_variant,608,2047,13.232
medium_variant,608,2048,12.956
medium_variant,608,2049,12.703
medium_variant,608,2050,12.471
medium_variant,608,2051,12.258
medium_variant,608,2052,12.058
medium_variant,608,2053,11.867
medium_variant,608,2054,11.68
medium_variant,608,2055,11.496
medium_variant,608,2056,11.313
medium_variant,608,2057,11.132
medium_variant,608,2058,10.953
medium_variant,608,2059,10.776
medium_variant,608,2060,10.599
medium_variant,608,2061,10.421
medium_variant,608,2062,10.245
medium_variant,608,2063,10.069
medium_variant,608,2064,9.897
medium_variant,608,2065,9.728
medium_variant,608,2066,9.566
medium_variant,608,2067,9.412
medium_variant,608,2068,9.266
medium_variant,608,2069,9.127
medium_variant,608,2070,8.996
medium_variant,608,2071,8.871
medium_variant,608,2072,8.749
medium_variant,608,2073,8.629
medium_variant,608,2074,8.51
medium_variant,608,2075,8.39
medium_variant,608,2076,8.268
medium_variant,608,2077,8.147
medium_variant,608,2078,8.026
medium_variant,608,2079,7.907
medium_variant,608,2080,7.791
medium_variant,608,2081,7.681
medium_variant,608,2082,7.578
medium_variant,608,2083,7.483
medium_variant,608,2084,7.395
medium_variant,608,2085,7.315
medium_variant,608,2086,7.24
medium_variant,608,2087,7.169
medium_variant,608,2088,7.1
medium_variant,608,2089,7.032
medium_variant,608,2090,6.964
medium_variant,608,2091,6.896
medium_variant,608,2092,6.829
medium_variant,608,2093,6.761
medium_variant,608,2094,6.693
medium_variant,608,2095,6.627
medium_variant,608,2096,6.56
medium_variant,608,2097,6.494
medium_variant,608,2098,6.429
medium_variant,608,2099,6.365
