variant,country,year,under_five_mortality
estimates,764,1950,202.036
estimates,764,1951,198.684
estimates,764,1952,192.065
estimates,764,1953,185.617
estimates,764,1954,179.34
estimates,764,1955,173.236
estimates,764,1956,167.302
estimates,764,1957,161.539
estimates,764,1958,155.943
estimates,764,1959,150.512
estimates,764,1960,145.239
estimates,764,1961,140.115
estimates,764,1962,135.125
estimates,764,1963,130.249
estimates,764,1964,125.462
estimates,764,1965,120.722
estimates,764,1966,115.987
estimates,764,1967,111.244
estimates,764,1968,106.494
estimates,764,1969,101.751
estimates,764,1970,97.04
estimates,764,1971,92.399
estimates,764,1972,87.88
estimates,764,1973,83.53
estimates,764,1974,79.381
estimates,764,1975,75.466
estimates,764,1976,71.804
estimates,764,1977,68.382
estimates,764,1978,65.177
estimates,764,1979,62.174
estimates,764,1980,59.352
estimates,764,1981,56.687
estimates,764,1982,54.147
estimates,764,1983,51.702
estimates,764,1984,49.327
estimates,764,1985,47
estimates,764,1986,44.702
estimates,764,1987,42.442
estimates,764,1988,40.232
estimates,764,1989,38.08
estimates,764,1990,36.008
estimates,764,1991,34.043
estimates,764,1992,32.205
estimates,764,1993,30.509
estimates,764,1994,28.955
estimates,764,1995,27.54
estimates,764,1996,26.25
estimates,764,1997,25.06
estimates,764,1998,23.944
estimates,764,1999,22.887
estimates,764,2000,21.876
estimates,764,2001,20.902
estimates,764,2002,19.966
estimates,764,2003,19.071
estimates,764,2004,18.215
estimates,764,2005,17.402
estimates,764,2006,16.641
estimates,764,2007,15.939
estimates,764,2008,15.297
estimates,764,2009,14.712
estimates,764,2010,14.176
estimates,764,2011,13.679
estimates,764,2012,13.209
estimates,764,2013,12.758
estimates,764,2014,12.32
estimates,764,2015,11.895
medium_variant,764,2015,11.895
medium_variant,764,2016,11.486
medium_variant,764,2017,11.098
medium_variant,764,2018,10.738
medium_variant,764,2019,10.403
medium_variant,764,2020,10.093
medium_variant,764,2021,9.806
medium_variant,764,2022,9.538
medium_variant,764,2023,9.286
medium_variant,764,2024,9.047
medium_variant,764,2025,8.82
medium_variant,764,2026,8.606
medium_variant,764,2027,8.404
medium_variant,764,2028,8.215
medium_variant,764,2029,8.037
medium_variant,764,2030,7.868
medium_variant,764,2031,7.708
medium_variant,764,2032,7.555
medium_variant,764,2033,7.408
medium_variant,764,2034,7.265
medium_variant,764,2035,7.125
medium_variant,764,2036,6.988
medium_variant,764,2037,6.855
medium_variant,764,2038,6.725
medium_variant,764,2039,6.598
medium_variant,764,2040,6.474
medium_variant,764,2041,6.354
medium_variant,764,2042,6.237
medium_variant,764,2043,6.123
medium_variant,764,2044,6.013
medium_variant,764,2045,5.906
medium_variant,764,2046,5.802
medium_variant,764,2047,5.699
medium_variant,764,2048,5.599
medium_variant,764,2049,5.501
medium_variant,764,2050,5.406
medium_variant,764,2051,5.314
medium_variant,764,2052,5.226
medium_variant,764,2053,5.142
medium_variant,764,2054,5.063
medium_variant,764,2055,4.986
medium_variant,764,2056,4.912
medium_variant,764,2057,4.841
medium_variant,764,2058,4.77
medium_variant,764,2059,4.701
medium_variant,764,2060,4.632
medium_variant,764,2061,4.564
medium_variant,764,2062,4.498
medium_variant,764,2063,4.434
medium_variant,764,2064,4.371
medium_variant,764,2065,4.31
medium_variant,764,2066,4.249
medium_variant,764,2067,4.189
medium_variant,764,2068,4.129
medium_variant,764,2069,4.07
medium_variant,764,2070,4.011
medium_variant,764,2071,3.953
medium_variant,764,2072,3.896
medium_variant,764,2073,3.841
medium_variant,764,2074,3.788
medium_variant,764,2075,3.736
medium_variant,764,2076,3.686
medium_variant,764,2077,3.637
medium_variant,764,2078,3.588
medium_variant,764,2079,3.539
medium_variant,764,2080,3.491
medium_variant,764,2081,3.443
medium_variant,764,2082,3.396
medium_variant,764,2083,3.349
medium_variant,764,2084,3.303
medium_variant,764,2085,3.257
medium_variant,764,2086,3.213
medium_variant,764,2087,3.169
medium_variant,764,2088,3.126
medium_variant,764,2089,3.084
medium_variant,764,2090,3.043
medium_variant,764,2091,3.002
medium_variant,764,2092,2.962
medium_variant,764,2093,2.923
medium_variant,764,2094,2.885
medium_variant,764,2095,2.847
medium_variant,764,2096,2.811
medium_variant,764,2097,2.774
medium_variant,764,2098,2.739
medium_variant,764,2099,2.704
