variant,country,year,under_five_mortality
estimates,12,1950,287.129
estimates,12,1951,284.907
estimates,12,1952,280.434
estimates,12,1953,275.909
estimates,12,1954,271.33
estimates,12,1955,266.698
estimates,12,1956,262.016
estimates,12,1957,257.288
estimates,12,1958,252.523
estimates,12,1959,247.735
estimates,12,1960,242.94
estimates,12,1961,238.161
estimates,12,1962,233.418
estimates,12,1963,228.733
estimates,12,1964,224.124
estimates,12,1965,219.641
estimates,12,1966,215.34
estimates,12,1967,211.211
estimates,12,1968,207.197
estimates,12,1969,203.219
estimates,12,1970,199.208
estimates,12,1971,195.094
estimates,12,1972,190.758
estimates,12,1973,186.055
estimates,12,1974,180.838
estimates,12,1975,174.832
estimates,12,1976,167.757
estimates,12,1977,159.58
estimates,12,1978,150.417
estimates,12,1979,140.468
estimates,12,1980,130.05
estimates,12,1981,119.547
estimates,12,1982,109.391
estimates,12,1983,99.967
estimates,12,1984,91.54
estimates,12,1985,84.322
estimates,12,1986,78.391
estimates,12,1987,73.556
estimates,12,1988,69.608
estimates,12,1989,66.436
estimates,12,1990,63.906
estimates,12,1991,61.875
estimates,12,1992,60.19
estimates,12,1993,58.701
estimates,12,1994,57.283
estimates,12,1995,55.853
estimates,12,1996,54.385
estimates,12,1997,52.927
estimates,12,1998,51.509
estimates,12,1999,50.111
estimates,12,2000,48.71
estimates,12,2001,47.296
estimates,12,2002,45.874
estimates,12,2003,44.448
estimates,12,2004,43.022
estimates,12,2005,41.599
estimates,12,2006,40.186
estimates,12,2007,38.797
estimates,12,2008,37.444
estimates,12,2009,36.136
estimates,12,2010,34.886
estimates,12,2011,33.704
estimates,12,2012,32.589
estimates,12,2013,31.535
estimates,12,2014,30.536
estimates,12,2015,29.578
medium_variant,12,2015,29.578
medium_variant,12,2016,28.644
medium_variant,12,2017,27.717
medium_variant,12,2018,26.789
medium_variant,12,2019,25.855
medium_variant,12,2020,24.919
medium_variant,12,2021,23.99
medium_variant,12,2022,23.082
medium_variant,12,2023,22.21
medium_variant,12,2024,21.378
medium_variant,12,2025,20.593
medium_variant,12,2026,19.857
medium_variant,12,2027,19.165
medium_variant,12,2028,18.513
medium_variant,12,2029,17.897
medium_variant,12,2030,17.314
medium_variant,12,2031,16.76
medium_variant,12,2032,16.23
medium_variant,12,2033,15.722
medium_variant,12,2034,15.23
medium_variant,12,2035,14.753
medium_variant,12,2036,14.29
medium_variant,12,2037,13.843
medium_variant,12,2038,13.411
medium_variant,12,2039,12.995
medium_variant,12,2040,12.595
medium_variant,12,2041,12.211
medium_variant,12,2042,11.843
medium_variant,12,2043,11.492
medium_variant,12,2044,11.158
medium_variant,12,2045,10.841
medium_variant,12,2046,10.543
medium_variant,12,2047,10.264
medium_variant,12,2048,10.003
medium_variant,12,2049,9.758
medium_variant,12,2050,9.529
medium_variant,12,2051,9.313
medium_variant,12,2052,9.109
medium_variant,12,2053,8.914
medium_variant,12,2054,8.727
medium_variant,12,2055,8.546
medium_variant,12,2056,8.372
medium_variant,12,2057,8.203
medium_variant,12,2058,8.04
medium_variant,12,2059,7.883
medium_variant,12,2060,7.731
medium_variant,12,2061,7.584
medium_variant,12,2062,7.442
medium_variant,12,2063,7.304
medium_variant,12,2064,7.172
medium_variant,12,2065,7.043
medium_variant,12,2066,6.92
medium_variant,12,2067,6.8
medium_variant,12,2068,6.685
medium_variant,12,2069,6.574
medium_variant,12,2070,6.466
medium_variant,12,2071,6.36
medium_variant,12,2072,6.257
medium_variant,12,2073,6.157
medium_variant,12,2074,6.058
medium_variant,12,2075,5.961
medium_variant,12,2076,5.867
medium_variant,12,2077,5.774
medium_variant,12,2078,5.684
medium_variant,12,2079,5.596
medium_variant,12,2080,5.511
medium_variant,12,2081,5.427
medium_variant,12,2082,5.346
medium_variant,12,2083,5.265
medium_variant,12,2084,5.187
medium_variant,12,2085,5.11
medium_variant,12,2086,5.034
medium_variant,12,2087,4.96
medium_variant,12,2088,4.888
medium_variant,12,2089,4.818
medium_variant,12,2090,4.752
medium_variant,12,2091,4.688
medium_variant,12,2092,4.629
medium_variant,12,2093,4.574
medium_variant,12,2094,4.523
medium_variant,12,2095,4.477
medium_variant,12,2096,4.435
medium_variant,12,2097,4.398
medium_variant,12,2098,4.366
medium_variant,12,2099,4.339
