variant,continent,year,gender,dependencyratio2069
estimates,903,1950,male,115.56
estimates,903,1951,male,116.449
estimates,903,1952,male,117.018
estimates,903,1953,male,117.353
estimates,903,1954,male,117.523
estimates,903,1955,male,117.576
estimates,903,1956,male,118.765
estimates,903,1957,male,119.667
estimates,903,1958,male,120.362
estimates,903,1959,male,120.915
estimates,903,1960,male,121.363
estimates,903,1961,male,122.814
estimates,903,1962,male,124.044
estimates,903,1963,male,125.064
estimates,903,1964,male,125.859
estimates,903,1965,male,126.429
estimates,903,1966,male,127.835
estimates,903,1967,male,128.863
estimates,903,1968,male,129.581
estimates,903,1969,male,130.048
estimates,903,1970,male,130.299
estimates,903,1971,male,131.252
estimates,903,1972,male,131.915
estimates,903,1973,male,132.342
estimates,903,1974,male,132.576
estimates,903,1975,male,132.651
estimates,903,1976,male,133.235
estimates,903,1977,male,133.569
estimates,903,1978,male,133.718
estimates,903,1979,male,133.725
estimates,903,1980,male,133.613
estimates,903,1981,male,134.325
estimates,903,1982,male,134.765
estimates,903,1983,male,134.984
estimates,903,1984,male,135.017
estimates,903,1985,male,134.88
estimates,903,1986,male,135.261
estimates,903,1987,male,135.39
estimates,903,1988,male,135.308
estimates,903,1989,male,135.018
estimates,903,1990,male,134.507
estimates,903,1991,male,134.355
estimates,903,1992,male,133.889
estimates,903,1993,male,133.166
estimates,903,1994,male,132.25
estimates,903,1995,male,131.186
estimates,903,1996,male,130.733
estimates,903,1997,male,130.097
estimates,903,1998,male,129.298
estimates,903,1999,male,128.338
estimates,903,2000,male,127.234
estimates,903,2001,male,126.595
estimates,903,2002,male,125.777
estimates,903,2003,male,124.844
estimates,903,2004,male,123.852
estimates,903,2005,male,122.836
estimates,903,2006,male,122.2
estimates,903,2007,male,121.483
estimates,903,2008,male,120.743
estimates,903,2009,male,120.029
estimates,903,2010,male,119.358
estimates,903,2011,male,118.874
estimates,903,2012,male,118.391
estimates,903,2013,male,117.888
estimates,903,2014,male,117.315
estimates,903,2015,male,116.636
medium_variant,903,2015,male,116.636
medium_variant,903,2016,male,116.221
medium_variant,903,2017,male,115.585
medium_variant,903,2018,male,114.801
medium_variant,903,2019,male,113.952
medium_variant,903,2020,male,113.07
medium_variant,903,2021,male,112.248
medium_variant,903,2022,male,111.414
medium_variant,903,2023,male,110.526
medium_variant,903,2024,male,109.529
medium_variant,903,2025,male,108.411
medium_variant,903,2026,male,107.488
medium_variant,903,2027,male,106.44
medium_variant,903,2028,male,105.285
medium_variant,903,2029,male,104.046
medium_variant,903,2030,male,102.738
medium_variant,903,2031,male,101.579
medium_variant,903,2032,male,100.335
medium_variant,903,2033,male,99.047
medium_variant,903,2034,male,97.756
medium_variant,903,2035,male,96.487
medium_variant,903,2036,male,95.438
medium_variant,903,2037,male,94.383
medium_variant,903,2038,male,93.333
medium_variant,903,2039,male,92.288
medium_variant,903,2040,male,91.249
medium_variant,903,2041,male,90.393
medium_variant,903,2042,male,89.519
medium_variant,903,2043,male,88.637
medium_variant,903,2044,male,87.753
medium_variant,903,2045,male,86.868
medium_variant,903,2046,male,86.142
medium_variant,903,2047,male,85.393
medium_variant,903,2048,male,84.626
medium_variant,903,2049,male,83.845
medium_variant,903,2050,male,83.054
medium_variant,903,2051,male,82.405
medium_variant,903,2052,male,81.724
medium_variant,903,2053,male,81.019
medium_variant,903,2054,male,80.291
medium_variant,903,2055,male,79.544
medium_variant,903,2056,male,78.925
medium_variant,903,2057,male,78.27
medium_variant,903,2058,male,77.588
medium_variant,903,2059,male,76.885
medium_variant,903,2060,male,76.169
medium_variant,903,2061,male,75.576
medium_variant,903,2062,male,74.955
medium_variant,903,2063,male,74.316
medium_variant,903,2064,male,73.667
medium_variant,903,2065,male,73.014
medium_variant,903,2066,male,72.494
medium_variant,903,2067,male,71.951
medium_variant,903,2068,male,71.396
medium_variant,903,2069,male,70.838
medium_variant,903,2070,male,70.284
medium_variant,903,2071,male,69.862
medium_variant,903,2072,male,69.423
medium_variant,903,2073,male,68.977
medium_variant,903,2074,male,68.531
medium_variant,903,2075,male,68.091
medium_variant,903,2076,male,67.781
medium_variant,903,2077,male,67.455
medium_variant,903,2078,male,67.121
medium_variant,903,2079,male,66.789
medium_variant,903,2080,male,66.465
medium_variant,903,2081,male,66.268
medium_variant,903,2082,male,66.056
medium_variant,903,2083,male,65.83
medium_variant,903,2084,male,65.587
medium_variant,903,2085,male,65.329
medium_variant,903,2086,male,65.171
medium_variant,903,2087,male,64.978
medium_variant,903,2088,male,64.761
medium_variant,903,2089,male,64.527
medium_variant,903,2090,male,64.285
medium_variant,903,2091,male,64.144
medium_variant,903,2092,male,63.974
medium_variant,903,2093,male,63.782
medium_variant,903,2094,male,63.579
medium_variant,903,2095,male,63.372
medium_variant,903,2096,male,63.266
medium_variant,903,2097,male,63.133
medium_variant,903,2098,male,62.984
medium_variant,903,2099,male,62.828
medium_variant,903,2100,male,62.67
estimates,903,1950,female,112.415
estimates,903,1951,female,113.228
estimates,903,1952,female,113.752
estimates,903,1953,female,114.023
estimates,903,1954,female,114.098
estimates,903,1955,female,114.037
estimates,903,1956,female,115.169
estimates,903,1957,female,115.976
estimates,903,1958,female,116.555
estimates,903,1959,female,116.993
estimates,903,1960,female,117.337
estimates,903,1961,female,118.627
estimates,903,1962,female,119.69
estimates,903,1963,female,120.551
estimates,903,1964,female,121.206
estimates,903,1965,female,121.666
estimates,903,1966,female,123.02
estimates,903,1967,female,124.028
estimates,903,1968,female,124.743
estimates,903,1969,female,125.208
estimates,903,1970,female,125.457
estimates,903,1971,female,126.414
estimates,903,1972,female,127.073
estimates,903,1973,female,127.495
estimates,903,1974,female,127.733
estimates,903,1975,female,127.825
estimates,903,1976,female,128.526
estimates,903,1977,female,128.954
estimates,903,1978,female,129.16
estimates,903,1979,female,129.188
estimates,903,1980,female,129.073
estimates,903,1981,female,129.704
estimates,903,1982,female,130.054
estimates,903,1983,female,130.182
estimates,903,1984,female,130.136
estimates,903,1985,female,129.942
estimates,903,1986,female,130.303
estimates,903,1987,female,130.397
estimates,903,1988,female,130.253
estimates,903,1989,female,129.876
estimates,903,1990,female,129.277
estimates,903,1991,female,129.09
estimates,903,1992,female,128.597
estimates,903,1993,female,127.851
estimates,903,1994,female,126.914
estimates,903,1995,female,125.833
estimates,903,1996,female,125.456
estimates,903,1997,female,124.898
estimates,903,1998,female,124.176
estimates,903,1999,female,123.294
estimates,903,2000,female,122.271
estimates,903,2001,female,121.715
estimates,903,2002,female,120.982
estimates,903,2003,female,120.126
estimates,903,2004,female,119.202
estimates,903,2005,female,118.247
estimates,903,2006,female,117.661
estimates,903,2007,female,116.978
estimates,903,2008,female,116.259
estimates,903,2009,female,115.557
estimates,903,2010,female,114.896
estimates,903,2011,female,114.436
estimates,903,2012,female,113.985
estimates,903,2013,female,113.523
estimates,903,2014,female,112.996
estimates,903,2015,female,112.377
medium_variant,903,2015,female,112.377
medium_variant,903,2016,female,111.997
medium_variant,903,2017,female,111.424
medium_variant,903,2018,female,110.719
medium_variant,903,2019,female,109.954
medium_variant,903,2020,female,109.16
medium_variant,903,2021,female,108.417
medium_variant,903,2022,female,107.653
medium_variant,903,2023,female,106.841
medium_variant,903,2024,female,105.938
medium_variant,903,2025,female,104.938
medium_variant,903,2026,female,104.11
medium_variant,903,2027,female,103.176
medium_variant,903,2028,female,102.15
medium_variant,903,2029,female,101.051
medium_variant,903,2030,female,99.891
medium_variant,903,2031,female,98.851
medium_variant,903,2032,female,97.733
medium_variant,903,2033,female,96.576
medium_variant,903,2034,female,95.419
medium_variant,903,2035,female,94.289
medium_variant,903,2036,female,93.338
medium_variant,903,2037,female,92.385
medium_variant,903,2038,female,91.437
medium_variant,903,2039,female,90.496
medium_variant,903,2040,female,89.563
medium_variant,903,2041,female,88.771
medium_variant,903,2042,female,87.965
medium_variant,903,2043,female,87.154
medium_variant,903,2044,female,86.345
medium_variant,903,2045,female,85.543
medium_variant,903,2046,female,84.863
medium_variant,903,2047,female,84.165
medium_variant,903,2048,female,83.457
medium_variant,903,2049,female,82.747
medium_variant,903,2050,female,82.038
medium_variant,903,2051,female,81.435
medium_variant,903,2052,female,80.813
medium_variant,903,2053,female,80.174
medium_variant,903,2054,female,79.522
medium_variant,903,2055,female,78.86
medium_variant,903,2056,female,78.285
medium_variant,903,2057,female,77.682
medium_variant,903,2058,female,77.06
medium_variant,903,2059,female,76.427
medium_variant,903,2060,female,75.789
medium_variant,903,2061,female,75.231
medium_variant,903,2062,female,74.654
medium_variant,903,2063,female,74.067
medium_variant,903,2064,female,73.48
medium_variant,903,2065,female,72.899
medium_variant,903,2066,female,72.404
medium_variant,903,2067,female,71.897
medium_variant,903,2068,female,71.388
medium_variant,903,2069,female,70.89
medium_variant,903,2070,female,70.411
medium_variant,903,2071,female,70.018
medium_variant,903,2072,female,69.622
medium_variant,903,2073,female,69.233
medium_variant,903,2074,female,68.856
medium_variant,903,2075,female,68.5
medium_variant,903,2076,female,68.223
medium_variant,903,2077,female,67.942
medium_variant,903,2078,female,67.668
medium_variant,903,2079,female,67.409
medium_variant,903,2080,female,67.175
medium_variant,903,2081,female,67.016
medium_variant,903,2082,female,66.856
medium_variant,903,2083,female,66.697
medium_variant,903,2084,female,66.538
medium_variant,903,2085,female,66.382
medium_variant,903,2086,female,66.268
medium_variant,903,2087,female,66.135
medium_variant,903,2088,female,65.992
medium_variant,903,2089,female,65.849
medium_variant,903,2090,female,65.717
medium_variant,903,2091,female,65.622
medium_variant,903,2092,female,65.512
medium_variant,903,2093,female,65.397
medium_variant,903,2094,female,65.288
medium_variant,903,2095,female,65.193
medium_variant,903,2096,female,65.131
medium_variant,903,2097,female,65.059
medium_variant,903,2098,female,64.986
medium_variant,903,2099,female,64.924
medium_variant,903,2100,female,64.879
