region,variant,gender,freq,year,under60mortalityper1000livebirth
5501,estimates,female,5yearly,1950,707.379519803685
5501,estimates,male,5yearly,1950,690.534915055684
5501,estimates,female,5yearly,1955,662.004003182637
5501,estimates,male,5yearly,1955,641.047982649361
5501,estimates,female,5yearly,1960,611.92017101786
5501,estimates,male,5yearly,1960,591.625929214973
5501,estimates,female,5yearly,1965,552.22659879198
5501,estimates,male,5yearly,1965,539.291083879481
5501,estimates,female,5yearly,1970,496.328801857372
5501,estimates,male,5yearly,1970,492.876993150473
5501,estimates,female,5yearly,1975,435.494097654343
5501,estimates,male,5yearly,1975,447.380610568898
5501,estimates,female,5yearly,1980,395.629087014166
5501,estimates,male,5yearly,1980,427.577024272009
5501,estimates,female,5yearly,1985,365.261657376901
5501,estimates,male,5yearly,1985,394.448808896861
5501,estimates,female,5yearly,1990,326.07168004218
5501,estimates,male,5yearly,1990,357.080504587296
5501,estimates,female,5yearly,1995,290.799025808455
5501,estimates,male,5yearly,1995,329.371088703133
5501,estimates,female,5yearly,2000,259.973420700825
5501,estimates,male,5yearly,2000,303.331232942056
5501,estimates,female,5yearly,2005,230.126546630341
5501,estimates,male,5yearly,2005,278.375171889794
5501,estimates,female,5yearly,2010,197.17616883556
5501,estimates,male,5yearly,2010,257.674933717849
5501,medium_variant,female,5yearly,2015,178.010072876324
5501,medium_variant,male,5yearly,2015,240.288337305577
5501,medium_variant,female,5yearly,2020,161.909486062857
5501,medium_variant,male,5yearly,2020,224.956929947609
5501,medium_variant,female,5yearly,2025,147.95236844239
5501,medium_variant,male,5yearly,2025,211.708745655554
5501,medium_variant,female,5yearly,2030,135.307816780452
5501,medium_variant,male,5yearly,2030,200.650592681919
5501,medium_variant,female,5yearly,2035,124.181297026809
5501,medium_variant,male,5yearly,2035,190.554794762291
5501,medium_variant,female,5yearly,2040,115.760536070525
5501,medium_variant,male,5yearly,2040,180.898151702511
5501,medium_variant,female,5yearly,2045,108.496373862303
5501,medium_variant,male,5yearly,2045,171.670092577678
5501,medium_variant,female,5yearly,2050,101.350468468196
5501,medium_variant,male,5yearly,2050,162.353744882456
5501,medium_variant,female,5yearly,2055,94.5281367755644
5501,medium_variant,male,5yearly,2055,153.197450841374
5501,medium_variant,female,5yearly,2060,88.3222997861337
5501,medium_variant,male,5yearly,2060,143.736562018515
5501,medium_variant,female,5yearly,2065,82.7468862841384
5501,medium_variant,male,5yearly,2065,134.716919986973
5501,medium_variant,female,5yearly,2070,77.8393705239224
5501,medium_variant,male,5yearly,2070,125.450752087725
5501,medium_variant,female,5yearly,2075,72.9969666153832
5501,medium_variant,male,5yearly,2075,116.456059044842
5501,medium_variant,female,5yearly,2080,68.4384274772377
5501,medium_variant,male,5yearly,2080,107.663493685439
5501,medium_variant,female,5yearly,2085,64.1042501769212
5501,medium_variant,male,5yearly,2085,98.9537654704198
5501,medium_variant,female,5yearly,2090,59.9795989713121
5501,medium_variant,male,5yearly,2090,90.6869832564576
5501,medium_variant,female,5yearly,2095,55.8747194232153
5501,medium_variant,male,5yearly,2095,82.4453548761421
