region,variant,gender,freq,year,under60mortalityper1000livebirth
947,estimates,female,5yearly,1950,657.135317823282
947,estimates,male,5yearly,1950,708.203342015037
947,estimates,female,5yearly,1955,627.425327714167
947,estimates,male,5yearly,1955,679.041970397063
947,estimates,female,5yearly,1960,596.178441765145
947,estimates,male,5yearly,1960,648.886499907226
947,estimates,female,5yearly,1965,568.540019000413
947,estimates,male,5yearly,1965,621.286947925719
947,estimates,female,5yearly,1970,537.679967505623
947,estimates,male,5yearly,1970,594.068666568357
947,estimates,female,5yearly,1975,508.721729905813
947,estimates,male,5yearly,1975,567.452702844976
947,estimates,female,5yearly,1980,487.934597397365
947,estimates,male,5yearly,1980,548.111948172392
947,estimates,female,5yearly,1985,474.154889637492
947,estimates,male,5yearly,1985,538.436392544249
947,estimates,female,5yearly,1990,482.694492733454
947,estimates,male,5yearly,1990,551.567975488253
947,estimates,female,5yearly,1995,494.268699417953
947,estimates,male,5yearly,1995,556.382704096538
947,estimates,female,5yearly,2000,492.991733197117
947,estimates,male,5yearly,2000,547.456385395983
947,estimates,female,5yearly,2005,437.196970060191
947,estimates,male,5yearly,2005,488.827867766836
947,estimates,female,5yearly,2010,367.905728027205
947,estimates,male,5yearly,2010,429.486856699801
947,medium_variant,female,5yearly,2015,325.589292420296
947,medium_variant,male,5yearly,2015,386.893141131606
947,medium_variant,female,5yearly,2020,296.836475669016
947,medium_variant,male,5yearly,2020,357.855561982387
947,medium_variant,female,5yearly,2025,268.571164958915
947,medium_variant,male,5yearly,2025,329.057867509469
947,medium_variant,female,5yearly,2030,241.78412235058
947,medium_variant,male,5yearly,2030,302.1564398037
947,medium_variant,female,5yearly,2035,217.424571294906
947,medium_variant,male,5yearly,2035,278.452401152851
947,medium_variant,female,5yearly,2040,195.962326150922
947,medium_variant,male,5yearly,2040,257.624770003201
947,medium_variant,female,5yearly,2045,177.077051982373
947,medium_variant,male,5yearly,2045,239.046653850258
947,medium_variant,female,5yearly,2050,160.633546911622
947,medium_variant,male,5yearly,2050,222.845110633591
947,medium_variant,female,5yearly,2055,146.924565294972
947,medium_variant,male,5yearly,2055,208.815375002274
947,medium_variant,female,5yearly,2060,135.274415176287
947,medium_variant,male,5yearly,2060,196.381410216118
947,medium_variant,female,5yearly,2065,124.88345721621
947,medium_variant,male,5yearly,2065,185.177683358054
947,medium_variant,female,5yearly,2070,115.996208867967
947,medium_variant,male,5yearly,2070,175.026967361313
947,medium_variant,female,5yearly,2075,108.040605513839
947,medium_variant,male,5yearly,2075,165.747060918233
947,medium_variant,female,5yearly,2080,101.135167649565
947,medium_variant,male,5yearly,2080,157.19794207355
947,medium_variant,female,5yearly,2085,94.9824126361373
947,medium_variant,male,5yearly,2085,149.072550591487
947,medium_variant,female,5yearly,2090,89.3254369335569
947,medium_variant,male,5yearly,2090,141.119554934578
947,medium_variant,female,5yearly,2095,84.114169790008
947,medium_variant,male,5yearly,2095,133.468556904719
947,estimates,female,5yearly,Regi,Sub-Saharan Africa
947,estimates,male,5yearly,Regi,Sub-Saharan Africa
947,medium_variant,female,5yearly,Regi,Sub-Saharan Africa
947,medium_variant,male,5yearly,Regi,Sub-Saharan Africa
