region,variant,gender,freq,year,under60mortalityper1000livebirth
924,estimates,female,5yearly,1950,167.220809816386
924,estimates,male,5yearly,1950,243.827520794655
924,estimates,female,5yearly,1955,141.879324235693
924,estimates,male,5yearly,1955,221.285891998791
924,estimates,female,5yearly,1960,130.671298156808
924,estimates,male,5yearly,1960,213.15137421323
924,estimates,female,5yearly,1965,123.459012650107
924,estimates,male,5yearly,1965,206.31159006699
924,estimates,female,5yearly,1970,118.849074184353
924,estimates,male,5yearly,1970,203.93036698324
924,estimates,female,5yearly,1975,112.126654219884
924,estimates,male,5yearly,1975,196.691566658445
924,estimates,female,5yearly,1980,102.340253584403
924,estimates,male,5yearly,1980,181.979698351126
924,estimates,female,5yearly,1985,93.8244640884505
924,estimates,male,5yearly,1985,164.781714009001
924,estimates,female,5yearly,1990,87.1453600736774
924,estimates,male,5yearly,1990,157.477309838712
924,estimates,female,5yearly,1995,80.3657946399986
924,estimates,male,5yearly,1995,143.168951730997
924,estimates,female,5yearly,2000,73.1812942913583
924,estimates,male,5yearly,2000,127.908058612304
924,estimates,female,5yearly,2005,67.366791568815
924,estimates,male,5yearly,2005,117.889927408501
924,estimates,female,5yearly,2010,59.3713468177104
924,estimates,male,5yearly,2010,100.995927505027
924,medium_variant,female,5yearly,2015,54.1273385126005
924,medium_variant,male,5yearly,2015,91.1907975915521
924,medium_variant,female,5yearly,2020,50.1591175928479
924,medium_variant,male,5yearly,2020,82.0957936474057
924,medium_variant,female,5yearly,2025,46.2165238921217
924,medium_variant,male,5yearly,2025,73.9222451907472
924,medium_variant,female,5yearly,2030,42.6582546840678
924,medium_variant,male,5yearly,2030,66.8166236680462
924,medium_variant,female,5yearly,2035,39.2803638241411
924,medium_variant,male,5yearly,2035,60.6444784309373
924,medium_variant,female,5yearly,2040,36.1646254615197
924,medium_variant,male,5yearly,2040,55.7536364899015
924,medium_variant,female,5yearly,2045,33.2224113526722
924,medium_variant,male,5yearly,2045,51.2203889862363
924,medium_variant,female,5yearly,2050,30.3884794887922
924,medium_variant,male,5yearly,2050,46.9124244500502
924,medium_variant,female,5yearly,2055,27.6706870104046
924,medium_variant,male,5yearly,2055,43.1820806417975
924,medium_variant,female,5yearly,2060,25.2114988663905
924,medium_variant,male,5yearly,2060,39.7026517314104
924,medium_variant,female,5yearly,2065,22.8767629306428
924,medium_variant,male,5yearly,2065,36.4291064617733
924,medium_variant,female,5yearly,2070,20.6993883261004
924,medium_variant,male,5yearly,2070,33.389982903112
924,medium_variant,female,5yearly,2075,18.6055154992896
924,medium_variant,male,5yearly,2075,30.4934129371698
924,medium_variant,female,5yearly,2080,16.6261023862888
924,medium_variant,male,5yearly,2080,27.7234322299337
924,medium_variant,female,5yearly,2085,14.8740706364745
924,medium_variant,male,5yearly,2085,25.1605432806787
924,medium_variant,female,5yearly,2090,13.1815443949922
924,medium_variant,male,5yearly,2090,22.7875636764071
924,medium_variant,female,5yearly,2095,11.5016380611911
924,medium_variant,male,5yearly,2095,20.5110857750052
