variant,region,year,totalsurvivors_under_one_yearage
estimates,934,1950,57713.34
estimates,934,1951,57710.757
estimates,934,1952,57812.283
estimates,934,1953,58124.581
estimates,934,1954,58648.477
estimates,934,1955,59383.913
estimates,934,1956,60328.589
estimates,934,1957,61473.44
estimates,934,1958,62805.277
estimates,934,1959,64306.168
estimates,934,1960,65951.283
estimates,934,1961,67709.828
estimates,934,1962,69541.664
estimates,934,1963,71397.494
estimates,934,1964,73222.27
estimates,934,1965,74953.332
estimates,934,1966,76534.05
estimates,934,1967,77934.171
estimates,934,1968,79128.019
estimates,934,1969,80090.266
estimates,934,1970,80780.447
estimates,934,1971,81168.981
estimates,934,1972,81297.981
estimates,934,1973,81239.937
estimates,934,1974,81073.039
estimates,934,1975,80906.965
estimates,934,1976,80857.964
estimates,934,1977,81013.931
estimates,934,1978,81442.034
estimates,934,1979,82183.804
estimates,934,1980,83295.333
estimates,934,1981,84806.913
estimates,934,1982,86628.807
estimates,934,1983,88628.909
estimates,934,1984,90678.821
estimates,934,1985,92590.748
estimates,934,1986,94169.019
estimates,934,1987,95292.932
estimates,934,1988,95891.512
estimates,934,1989,95940.494
estimates,934,1990,95456.449
estimates,934,1991,94512.774
estimates,934,1992,93284.811
estimates,934,1993,91947.738
estimates,934,1994,90619.395
estimates,934,1995,89414.023
estimates,934,1996,88413.412
estimates,934,1997,87629.333
estimates,934,1998,87067.758
estimates,934,1999,86750.805
estimates,934,2000,86682.008
estimates,934,2001,86839.335
estimates,934,2002,87159.841
estimates,934,2003,87583.265
estimates,934,2004,88074.6
estimates,934,2005,88615.827
estimates,934,2006,89204.053
estimates,934,2007,89836.676
estimates,934,2008,90495.937
estimates,934,2009,91146.506
estimates,934,2010,91745.229
estimates,934,2011,92251.3
estimates,934,2012,92640.043
estimates,934,2013,92893.315
estimates,934,2014,92997.959
estimates,934,2015,92944.405
medium_variant,934,2015,92944.405
medium_variant,934,2016,92734.524
medium_variant,934,2017,92399.122
medium_variant,934,2018,91973.755
medium_variant,934,2019,91485.665
medium_variant,934,2020,90962.025
medium_variant,934,2021,90426.006
medium_variant,934,2022,89895.523
medium_variant,934,2023,89389.717
medium_variant,934,2024,88928.658
medium_variant,934,2025,88529.308
medium_variant,934,2026,88200.144
medium_variant,934,2027,87933.422
medium_variant,934,2028,87720.791
medium_variant,934,2029,87559.786
medium_variant,934,2030,87447.336
medium_variant,934,2031,87378.76
medium_variant,934,2032,87344.268
medium_variant,934,2033,87332.715
medium_variant,934,2034,87334.417
medium_variant,934,2035,87341.953
medium_variant,934,2036,87350.896
medium_variant,934,2037,87358.559
medium_variant,934,2038,87360.364
medium_variant,934,2039,87349.042
medium_variant,934,2040,87317.915
medium_variant,934,2041,87262.272
medium_variant,934,2042,87180.859
medium_variant,934,2043,87072.343
medium_variant,934,2044,86934.335
medium_variant,934,2045,86764.384
medium_variant,934,2046,86561.335
medium_variant,934,2047,86328.014
medium_variant,934,2048,86068.09
medium_variant,934,2049,85784.645
medium_variant,934,2050,85479.033
medium_variant,934,2051,85151.882
medium_variant,934,2052,84806.71
medium_variant,934,2053,84449.345
medium_variant,934,2054,84086.842
medium_variant,934,2055,83727.01
medium_variant,934,2056,83376.838
medium_variant,934,2057,83041.06
medium_variant,934,2058,82723.967
medium_variant,934,2059,82429.507
medium_variant,934,2060,82160.995
medium_variant,934,2061,81919.586
medium_variant,934,2062,81701.28
medium_variant,934,2063,81501.395
medium_variant,934,2064,81316.722
medium_variant,934,2065,81144.331
medium_variant,934,2066,80981.546
medium_variant,934,2067,80824.915
medium_variant,934,2068,80670.282
medium_variant,934,2069,80513.407
medium_variant,934,2070,80350.68
medium_variant,934,2071,80179.802
medium_variant,934,2072,80000.21
medium_variant,934,2073,79810.876
medium_variant,934,2074,79609.861
medium_variant,934,2075,79395.039
medium_variant,934,2076,79164.894
medium_variant,934,2077,78920.171
medium_variant,934,2078,78662.256
medium_variant,934,2079,78392.323
medium_variant,934,2080,78111.596
medium_variant,934,2081,77821.465
medium_variant,934,2082,77524.292
medium_variant,934,2083,77222.869
medium_variant,934,2084,76919.766
medium_variant,934,2085,76617.069
medium_variant,934,2086,76316.052
medium_variant,934,2087,76017.331
medium_variant,934,2088,75721.88
medium_variant,934,2089,75431.333
medium_variant,934,2090,75146.954
medium_variant,934,2091,74869.519
medium_variant,934,2092,74599.451
medium_variant,934,2093,74336.99
medium_variant,934,2094,74082.164
medium_variant,934,2095,73835.068
medium_variant,934,2096,73595.777
medium_variant,934,2097,73364.259
medium_variant,934,2098,73140.468
medium_variant,934,2099,72924.437
