variant,region,year,totalsurvivors_under_one_yearage
estimates,915,1950,618.346
estimates,915,1951,616.411
estimates,915,1952,614.526
estimates,915,1953,616.687
estimates,915,1954,622.917
estimates,915,1955,633.182
estimates,915,1956,647.274
estimates,915,1957,664.833
estimates,915,1958,685.169
estimates,915,1959,707.075
estimates,915,1960,729.089
estimates,915,1961,749.655
estimates,915,1962,767.152
estimates,915,1963,780.379
estimates,915,1964,788.827
estimates,915,1965,792.634
estimates,915,1966,792.633
estimates,915,1967,790.415
estimates,915,1968,787.315
estimates,915,1969,783.893
estimates,915,1970,780.115
estimates,915,1971,775.458
estimates,915,1972,769.466
estimates,915,1973,762.149
estimates,915,1974,754.126
estimates,915,1975,746.625
estimates,915,1976,741.122
estimates,915,1977,738.662
estimates,915,1978,739.815
estimates,915,1979,744.624
estimates,915,1980,752.707
estimates,915,1981,763.196
estimates,915,1982,774.601
estimates,915,1983,785.547
estimates,915,1984,795.196
estimates,915,1985,802.809
estimates,915,1986,807.992
estimates,915,1987,811.033
estimates,915,1988,812.252
estimates,915,1989,811.749
estimates,915,1990,809.722
estimates,915,1991,806.455
estimates,915,1992,802.379
estimates,915,1993,797.903
estimates,915,1994,793.311
estimates,915,1995,788.814
estimates,915,1996,784.492
estimates,915,1997,780.275
estimates,915,1998,776.121
estimates,915,1999,772.116
estimates,915,2000,768.368
estimates,915,2001,764.964
estimates,915,2002,761.897
estimates,915,2003,759.14
estimates,915,2004,756.627
estimates,915,2005,754.279
estimates,915,2006,751.999
estimates,915,2007,749.656
estimates,915,2008,747.129
estimates,915,2009,744.356
estimates,915,2010,741.28
estimates,915,2011,737.908
estimates,915,2012,734.29
estimates,915,2013,730.468
estimates,915,2014,726.443
estimates,915,2015,722.205
medium_variant,915,2015,722.205
medium_variant,915,2016,717.729
medium_variant,915,2017,713.022
medium_variant,915,2018,708.097
medium_variant,915,2019,702.997
medium_variant,915,2020,697.747
medium_variant,915,2021,692.401
medium_variant,915,2022,686.986
medium_variant,915,2023,681.566
medium_variant,915,2024,676.164
medium_variant,915,2025,670.819
medium_variant,915,2026,665.526
medium_variant,915,2027,660.279
medium_variant,915,2028,655.067
medium_variant,915,2029,649.909
medium_variant,915,2030,644.829
medium_variant,915,2031,639.836
medium_variant,915,2032,634.934
medium_variant,915,2033,630.126
medium_variant,915,2034,625.41
medium_variant,915,2035,620.779
medium_variant,915,2036,616.23
medium_variant,915,2037,611.742
medium_variant,915,2038,607.305
medium_variant,915,2039,602.889
medium_variant,915,2040,598.47
medium_variant,915,2041,594.037
medium_variant,915,2042,589.584
medium_variant,915,2043,585.094
medium_variant,915,2044,580.569
medium_variant,915,2045,576.008
medium_variant,915,2046,571.41
medium_variant,915,2047,566.797
medium_variant,915,2048,562.177
medium_variant,915,2049,557.564
medium_variant,915,2050,552.944
medium_variant,915,2051,548.329
medium_variant,915,2052,543.708
medium_variant,915,2053,539.098
medium_variant,915,2054,534.499
medium_variant,915,2055,529.942
medium_variant,915,2056,525.437
medium_variant,915,2057,521.005
medium_variant,915,2058,516.644
medium_variant,915,2059,512.372
medium_variant,915,2060,508.177
medium_variant,915,2061,504.071
medium_variant,915,2062,500.026
medium_variant,915,2063,496.034
medium_variant,915,2064,492.104
medium_variant,915,2065,488.228
medium_variant,915,2066,484.438
medium_variant,915,2067,480.724
medium_variant,915,2068,477.086
medium_variant,915,2069,473.534
medium_variant,915,2070,470.05
medium_variant,915,2071,466.621
medium_variant,915,2072,463.252
medium_variant,915,2073,459.912
medium_variant,915,2074,456.597
medium_variant,915,2075,453.309
medium_variant,915,2076,450.022
medium_variant,915,2077,446.762
medium_variant,915,2078,443.521
medium_variant,915,2079,440.297
medium_variant,915,2080,437.112
medium_variant,915,2081,433.952
medium_variant,915,2082,430.828
medium_variant,915,2083,427.748
medium_variant,915,2084,424.711
medium_variant,915,2085,421.712
medium_variant,915,2086,418.747
medium_variant,915,2087,415.815
medium_variant,915,2088,412.914
medium_variant,915,2089,410.045
medium_variant,915,2090,407.212
medium_variant,915,2091,404.416
medium_variant,915,2092,401.669
medium_variant,915,2093,398.973
medium_variant,915,2094,396.337
medium_variant,915,2095,393.75
medium_variant,915,2096,391.223
medium_variant,915,2097,388.764
medium_variant,915,2098,386.362
medium_variant,915,2099,384.019
