variant,region,year,totalsurvivors_under_one_yearage
Estimates,913,1950,617.388
Estimates,913,1951,622.527
Estimates,913,1952,633.303
Estimates,913,1953,645.034
Estimates,913,1954,657.723
Estimates,913,1955,671.351
Estimates,913,1956,685.827
Estimates,913,1957,701.052
Estimates,913,1958,716.819
Estimates,913,1959,732.751
Estimates,913,1960,748.447
Estimates,913,1961,763.517
Estimates,913,1962,777.663
Estimates,913,1963,790.836
Estimates,913,1964,803.298
Estimates,913,1965,815.804
Estimates,913,1966,829.37
Estimates,913,1967,844.802
Estimates,913,1968,862.534
Estimates,913,1969,882.551
Estimates,913,1970,904.398
Estimates,913,1971,927.274
Estimates,913,1972,950.132
Estimates,913,1973,972.157
Estimates,913,1974,993.006
Estimates,913,1975,1012.719
Estimates,913,1976,1031.684
Estimates,913,1977,1050.47
Estimates,913,1978,1069.413
Estimates,913,1979,1088.428
Estimates,913,1980,1107.316
Estimates,913,1981,1125.771
Estimates,913,1982,1143.302
Estimates,913,1983,1159.421
Estimates,913,1984,1173.778
Estimates,913,1985,1185.919
Estimates,913,1986,1195.481
Estimates,913,1987,1202.522
Estimates,913,1988,1207.255
Estimates,913,1989,1209.914
Estimates,913,1990,1210.777
Estimates,913,1991,1210.173
Estimates,913,1992,1208.643
Estimates,913,1993,1206.791
Estimates,913,1994,1205.153
Estimates,913,1995,1204.384
Estimates,913,1996,1205.025
Estimates,913,1997,1207.129
Estimates,913,1998,1210.569
Estimates,913,1999,1215.196
Estimates,913,2000,1220.451
Estimates,913,2001,1225.569
Estimates,913,2002,1229.921
Estimates,913,2003,1233.189
Estimates,913,2004,1235.429
Estimates,913,2005,1237.253
Estimates,913,2006,1239.62
Estimates,913,2007,1243.331
Estimates,913,2008,1248.773
Estimates,913,2009,1255.792
Estimates,913,2010,1263.847
Estimates,913,2011,1272.071
Estimates,913,2012,1279.374
Estimates,913,2013,1284.834
Estimates,913,2014,1287.969
Estimates,913,2015,1288.403
Medium_variant,913,2015,1288.403
Medium_variant,913,2016,1286.045
Medium_variant,913,2017,1281.434
Medium_variant,913,2018,1275.16
Medium_variant,913,2019,1267.604
Medium_variant,913,2020,1259.19
Medium_variant,913,2021,1250.302
Medium_variant,913,2022,1241.302
Medium_variant,913,2023,1232.548
Medium_variant,913,2024,1224.368
Medium_variant,913,2025,1217.041
Medium_variant,913,2026,1210.688
Medium_variant,913,2027,1205.175
Medium_variant,913,2028,1200.351
Medium_variant,913,2029,1196.185
Medium_variant,913,2030,1192.637
Medium_variant,913,2031,1189.644
Medium_variant,913,2032,1187.062
Medium_variant,913,2033,1184.728
Medium_variant,913,2034,1182.483
Medium_variant,913,2035,1180.19
Medium_variant,913,2036,1177.752
Medium_variant,913,2037,1175.11
Medium_variant,913,2038,1172.204
Medium_variant,913,2039,1168.94
Medium_variant,913,2040,1165.236
Medium_variant,913,2041,1161.044
Medium_variant,913,2042,1156.396
Medium_variant,913,2043,1151.329
Medium_variant,913,2044,1145.875
Medium_variant,913,2045,1140.041
Medium_variant,913,2046,1133.853
Medium_variant,913,2047,1127.374
Medium_variant,913,2048,1120.69
Medium_variant,913,2049,1113.887
Medium_variant,913,2050,1107.056
Medium_variant,913,2051,1100.259
Medium_variant,913,2052,1093.544
Medium_variant,913,2053,1086.962
Medium_variant,913,2054,1080.57
Medium_variant,913,2055,1074.412
Medium_variant,913,2056,1068.51
Medium_variant,913,2057,1062.839
Medium_variant,913,2058,1057.377
Medium_variant,913,2059,1052.12
Medium_variant,913,2060,1047.07
Medium_variant,913,2061,1042.223
Medium_variant,913,2062,1037.565
Medium_variant,913,2063,1033.055
Medium_variant,913,2064,1028.667
Medium_variant,913,2065,1024.359
Medium_variant,913,2066,1020.115
Medium_variant,913,2067,1015.902
Medium_variant,913,2068,1011.69
Medium_variant,913,2069,1007.446
Medium_variant,913,2070,1003.141
Medium_variant,913,2071,998.747
Medium_variant,913,2072,994.266
Medium_variant,913,2073,989.705
Medium_variant,913,2074,985.064
Medium_variant,913,2075,980.346
Medium_variant,913,2076,975.557
Medium_variant,913,2077,970.724
Medium_variant,913,2078,965.871
Medium_variant,913,2079,961.021
Medium_variant,913,2080,956.193
Medium_variant,913,2081,951.398
Medium_variant,913,2082,946.647
Medium_variant,913,2083,941.95
Medium_variant,913,2084,937.321
Medium_variant,913,2085,932.775
Medium_variant,913,2086,928.31
Medium_variant,913,2087,923.928
Medium_variant,913,2088,919.634
Medium_variant,913,2089,915.437
Medium_variant,913,2090,911.35
Medium_variant,913,2091,907.378
Medium_variant,913,2092,903.527
Medium_variant,913,2093,899.804
Medium_variant,913,2094,896.212
Medium_variant,913,2095,892.752
Medium_variant,913,2096,889.426
Medium_variant,913,2097,886.234
Medium_variant,913,2098,883.175
Medium_variant,913,2099,880.254
