country,variant,freq,year,populationgrowthrate
678,estimates,5yearly,1950,-0.41
678,estimates,5yearly,1955,1.78
678,estimates,5yearly,1960,0.168
678,estimates,5yearly,1965,2.724
678,estimates,5yearly,1970,2.133
678,estimates,5yearly,1975,2.786
678,estimates,5yearly,1980,1.749
678,estimates,5yearly,1985,1.888
678,estimates,5yearly,1990,2.093
678,estimates,5yearly,1995,1.835
678,estimates,5yearly,2000,2.316
678,estimates,5yearly,2005,2.321
678,estimates,5yearly,2010,2.247
678,constant_fertility,5yearly,2015,2.395
678,constant_mortality,5yearly,2015,2.147
678,high_variant,5yearly,2015,2.346
678,instant_replacement,5yearly,2015,0.654
678,low_variant,5yearly,2015,2.003
678,medium_variant,5yearly,2015,2.175
678,momentum,5yearly,2015,1.17
678,no_change,5yearly,2015,2.366
678,zero_migration,5yearly,2015,2.697
678,constant_fertility,5yearly,2020,2.507
678,constant_mortality,5yearly,2020,2.06
678,high_variant,5yearly,2020,2.366
678,instant_replacement,5yearly,2020,0.845
678,low_variant,5yearly,2020,1.847
678,medium_variant,5yearly,2020,2.111
678,momentum,5yearly,2020,1.333
678,no_change,5yearly,2020,2.455
678,zero_migration,5yearly,2020,2.592
678,constant_fertility,5yearly,2025,2.597
678,constant_mortality,5yearly,2025,1.983
678,high_variant,5yearly,2025,2.354
678,instant_replacement,5yearly,2025,1.01
678,low_variant,5yearly,2025,1.733
678,medium_variant,5yearly,2025,2.053
678,momentum,5yearly,2025,1.441
678,no_change,5yearly,2025,2.525
678,zero_migration,5yearly,2025,2.464
678,constant_fertility,5yearly,2030,2.616
678,constant_mortality,5yearly,2030,1.855
678,high_variant,5yearly,2030,2.23
678,instant_replacement,5yearly,2030,1.034
678,low_variant,5yearly,2030,1.633
678,medium_variant,5yearly,2030,1.943
678,momentum,5yearly,2030,1.422
678,no_change,5yearly,2030,2.524
678,zero_migration,5yearly,2030,2.297
678,constant_fertility,5yearly,2035,2.613
678,constant_mortality,5yearly,2035,1.697
678,high_variant,5yearly,2035,2.109
678,instant_replacement,5yearly,2035,0.867
678,low_variant,5yearly,2035,1.477
678,medium_variant,5yearly,2035,1.805
678,momentum,5yearly,2035,1.226
678,no_change,5yearly,2035,2.501
678,zero_migration,5yearly,2035,2.118
678,constant_fertility,5yearly,2040,2.618
678,constant_mortality,5yearly,2040,1.536
678,high_variant,5yearly,2040,2.006
678,instant_replacement,5yearly,2040,0.642
678,low_variant,5yearly,2040,1.299
678,medium_variant,5yearly,2040,1.664
678,momentum,5yearly,2040,0.99
678,no_change,5yearly,2040,2.485
678,zero_migration,5yearly,2040,1.951
678,constant_fertility,5yearly,2045,2.632
678,constant_mortality,5yearly,2045,1.376
678,high_variant,5yearly,2045,1.904
678,instant_replacement,5yearly,2045,0.464
678,low_variant,5yearly,2045,1.118
678,medium_variant,5yearly,2045,1.523
678,momentum,5yearly,2045,0.804
678,no_change,5yearly,2045,2.48
678,zero_migration,5yearly,2045,1.792
678,constant_fertility,5yearly,2050,2.664
678,constant_mortality,5yearly,2050,1.236
678,high_variant,5yearly,2050,1.813
678,instant_replacement,5yearly,2050,0.321
678,low_variant,5yearly,2050,0.962
678,medium_variant,5yearly,2050,1.402
678,momentum,5yearly,2050,0.641
678,no_change,5yearly,2050,2.495
678,zero_migration,5yearly,2050,1.643
678,constant_fertility,5yearly,2055,2.698
678,constant_mortality,5yearly,2055,1.102
678,high_variant,5yearly,2055,1.722
678,instant_replacement,5yearly,2055,0.183
678,low_variant,5yearly,2055,0.811
678,medium_variant,5yearly,2055,1.284
678,momentum,5yearly,2055,0.489
678,no_change,5yearly,2055,2.515
678,zero_migration,5yearly,2055,1.502
678,constant_fertility,5yearly,2060,2.732
678,constant_mortality,5yearly,2060,0.98
678,high_variant,5yearly,2060,1.64
678,instant_replacement,5yearly,2060,0.087
678,low_variant,5yearly,2060,0.674
678,medium_variant,5yearly,2060,1.179
678,momentum,5yearly,2060,0.374
678,no_change,5yearly,2060,2.535
678,zero_migration,5yearly,2060,1.374
678,constant_fertility,5yearly,2065,2.762
678,constant_mortality,5yearly,2065,0.865
678,high_variant,5yearly,2065,1.563
678,instant_replacement,5yearly,2065,0.028
678,low_variant,5yearly,2065,0.55
678,medium_variant,5yearly,2065,1.082
678,momentum,5yearly,2065,0.288
678,no_change,5yearly,2065,2.552
678,zero_migration,5yearly,2065,1.253
678,constant_fertility,5yearly,2070,2.789
678,constant_mortality,5yearly,2070,0.749
678,high_variant,5yearly,2070,1.485
678,instant_replacement,5yearly,2070,-0.057
678,low_variant,5yearly,2070,0.425
678,medium_variant,5yearly,2070,0.985
678,momentum,5yearly,2070,0.181
678,no_change,5yearly,2070,2.566
678,zero_migration,5yearly,2070,1.137
678,constant_fertility,5yearly,2075,2.814
678,constant_mortality,5yearly,2075,0.626
678,high_variant,5yearly,2075,1.406
678,instant_replacement,5yearly,2075,-0.163
678,low_variant,5yearly,2075,0.293
678,medium_variant,5yearly,2075,0.884
678,momentum,5yearly,2075,0.066
678,no_change,5yearly,2075,2.579
678,zero_migration,5yearly,2075,1.02
678,constant_fertility,5yearly,2080,2.836
678,constant_mortality,5yearly,2080,0.506
678,high_variant,5yearly,2080,1.329
678,instant_replacement,5yearly,2080,-0.262
678,low_variant,5yearly,2080,0.158
678,medium_variant,5yearly,2080,0.784
678,momentum,5yearly,2080,-0.027
678,no_change,5yearly,2080,2.591
678,zero_migration,5yearly,2080,0.91
678,constant_fertility,5yearly,2085,2.856
678,constant_mortality,5yearly,2085,0.388
678,high_variant,5yearly,2085,1.25
678,instant_replacement,5yearly,2085,-0.322
678,low_variant,5yearly,2085,0.024
678,medium_variant,5yearly,2085,0.684
678,momentum,5yearly,2085,-0.071
678,no_change,5yearly,2085,2.601
678,zero_migration,5yearly,2085,0.803
678,constant_fertility,5yearly,2090,2.874
678,constant_mortality,5yearly,2090,0.283
678,high_variant,5yearly,2090,1.177
678,instant_replacement,5yearly,2090,-0.322
678,low_variant,5yearly,2090,-0.097
678,medium_variant,5yearly,2090,0.593
678,momentum,5yearly,2090,-0.058
678,no_change,5yearly,2090,2.61
678,zero_migration,5yearly,2090,0.706
678,constant_fertility,5yearly,2095,2.89
678,constant_mortality,5yearly,2095,0.187
678,high_variant,5yearly,2095,1.109
678,instant_replacement,5yearly,2095,-0.257
678,low_variant,5yearly,2095,-0.199
678,medium_variant,5yearly,2095,0.513
678,momentum,5yearly,2095,-0.009
678,no_change,5yearly,2095,2.618
678,zero_migration,5yearly,2095,0.619
