country,variant,freq,year,populationgrowthrate
762,estimates,5Yearly,1950,2.945
762,estimates,5Yearly,1955,3.023
762,estimates,5Yearly,1960,3.75
762,estimates,5Yearly,1965,3.186
762,estimates,5Yearly,1970,3.122
762,estimates,5Yearly,1975,2.759
762,estimates,5Yearly,1980,2.952
762,estimates,5Yearly,1985,3.082
762,estimates,5Yearly,1990,1.759
762,estimates,5Yearly,1995,1.343
762,estimates,5Yearly,2000,1.909
762,estimates,5Yearly,2005,2.16
762,estimates,5Yearly,2010,2.244
762,constant-fertility,5Yearly,2015,2.253
762,constant-mortality,5Yearly,2015,2.068
762,high variant,5Yearly,2015,2.292
762,instant-replacement,5Yearly,2015,1.17
762,low variant,5Yearly,2015,1.898
762,medium variant,5Yearly,2015,2.096
762,no change,5Yearly,2015,2.224
762,zero-migration,5Yearly,2015,2.33
762,constant-fertility,5Yearly,2020,2.073
762,constant-mortality,5Yearly,2020,1.738
762,high variant,5Yearly,2020,2.064
762,instant-replacement,5Yearly,2020,1.111
762,low variant,5Yearly,2020,1.501
762,medium variant,5Yearly,2020,1.787
762,no change,5Yearly,2020,2.023
762,zero-migration,5Yearly,2020,2.012
762,constant-fertility,5Yearly,2025,1.883
762,constant-mortality,5Yearly,2025,1.434
762,high variant,5Yearly,2025,1.808
762,instant-replacement,5Yearly,2025,1.01
762,low variant,5Yearly,2025,1.173
762,medium variant,5Yearly,2025,1.501
762,no change,5Yearly,2025,1.813
762,zero-migration,5Yearly,2025,1.713
762,constant-fertility,5Yearly,2030,1.822
762,constant-mortality,5Yearly,2030,1.268
762,high variant,5Yearly,2030,1.642
762,instant-replacement,5Yearly,2030,0.957
762,low variant,5Yearly,2030,1.035
762,medium variant,5Yearly,2030,1.351
762,no change,5Yearly,2030,1.736
762,zero-migration,5Yearly,2030,1.544
762,constant-fertility,5Yearly,2035,1.877
762,constant-mortality,5Yearly,2035,1.21
762,high variant,5Yearly,2035,1.633
762,instant-replacement,5Yearly,2035,0.893
762,low variant,5Yearly,2035,0.967
762,medium variant,5Yearly,2035,1.314
762,no change,5Yearly,2035,1.771
762,zero-migration,5Yearly,2035,1.484
762,constant-fertility,5Yearly,2040,1.924
762,constant-mortality,5Yearly,2040,1.136
762,high variant,5Yearly,2040,1.644
762,instant-replacement,5Yearly,2040,0.721
762,low variant,5Yearly,2040,0.856
762,medium variant,5Yearly,2040,1.262
762,no change,5Yearly,2040,1.797
762,zero-migration,5Yearly,2040,1.417
762,constant-fertility,5Yearly,2045,1.902
762,constant-mortality,5Yearly,2045,0.97
762,high variant,5Yearly,2045,1.561
762,instant-replacement,5Yearly,2045,0.502
762,low variant,5Yearly,2045,0.651
762,medium variant,5Yearly,2045,1.117
762,no change,5Yearly,2045,1.757
762,zero-migration,5Yearly,2045,1.269
762,constant-fertility,5Yearly,2050,1.85
762,constant-mortality,5Yearly,2050,0.772
762,high variant,5Yearly,2050,1.416
762,instant-replacement,5Yearly,2050,0.374
762,low variant,5Yearly,2050,0.432
762,medium variant,5Yearly,2050,0.937
762,no change,5Yearly,2050,1.691
762,zero-migration,5Yearly,2050,1.083
762,constant-fertility,5Yearly,2055,1.827
762,constant-mortality,5Yearly,2055,0.604
762,high variant,5Yearly,2055,1.284
762,instant-replacement,5Yearly,2055,0.324
762,low variant,5Yearly,2055,0.26
762,medium variant,5Yearly,2055,0.791
762,no change,5Yearly,2055,1.653
762,zero-migration,5Yearly,2055,0.927
762,constant-fertility,5Yearly,2060,1.851
762,constant-mortality,5Yearly,2060,0.492
762,high variant,5Yearly,2060,1.212
762,instant-replacement,5Yearly,2060,0.287
762,low variant,5Yearly,2060,0.14
762,medium variant,5Yearly,2060,0.701
762,no change,5Yearly,2060,1.664
762,zero-migration,5Yearly,2060,0.822
762,constant-fertility,5Yearly,2065,1.894
762,constant-mortality,5Yearly,2065,0.411
762,high variant,5Yearly,2065,1.184
762,instant-replacement,5Yearly,2065,0.222
762,low variant,5Yearly,2065,0.036
762,medium variant,5Yearly,2065,0.64
762,no change,5Yearly,2065,1.697
762,zero-migration,5Yearly,2065,0.745
762,constant-fertility,5Yearly,2070,1.921
762,constant-mortality,5Yearly,2070,0.321
762,high variant,5Yearly,2070,1.151
762,instant-replacement,5Yearly,2070,0.128
762,low variant,5Yearly,2070,-0.085
762,medium variant,5Yearly,2070,0.567
762,no change,5Yearly,2070,1.718
762,zero-migration,5Yearly,2070,0.661
762,constant-fertility,5Yearly,2075,1.929
762,constant-mortality,5Yearly,2075,0.21
762,high variant,5Yearly,2075,1.088
762,instant-replacement,5Yearly,2075,0.042
762,low variant,5Yearly,2075,-0.223
762,medium variant,5Yearly,2075,0.473
762,no change,5Yearly,2075,1.72
762,zero-migration,5Yearly,2075,0.561
762,constant-fertility,5Yearly,2080,1.938
762,constant-mortality,5Yearly,2080,0.095
762,high variant,5Yearly,2080,1.015
762,instant-replacement,5Yearly,2080,0.007
762,low variant,5Yearly,2080,-0.348
762,medium variant,5Yearly,2080,0.381
762,no change,5Yearly,2080,1.719
762,zero-migration,5Yearly,2080,0.465
762,constant-fertility,5Yearly,2085,1.955
762,constant-mortality,5Yearly,2085,-0.008
762,high variant,5Yearly,2085,0.949
762,instant-replacement,5Yearly,2085,0.01
762,low variant,5Yearly,2085,-0.458
762,medium variant,5Yearly,2085,0.303
762,no change,5Yearly,2085,1.725
762,zero-migration,5Yearly,2085,0.381
762,constant-fertility,5Yearly,2090,1.978
762,constant-mortality,5Yearly,2090,-0.089
762,high variant,5Yearly,2090,0.906
762,instant-replacement,5Yearly,2090,0.029
762,low variant,5Yearly,2090,-0.549
762,medium variant,5Yearly,2090,0.246
762,no change,5Yearly,2090,1.738
762,zero-migration,5Yearly,2090,0.317
762,constant-fertility,5Yearly,2095,1.994
762,constant-mortality,5Yearly,2095,-0.158
762,high variant,5Yearly,2095,0.871
762,instant-replacement,5Yearly,2095,0.039
762,low variant,5Yearly,2095,-0.639
762,medium variant,5Yearly,2095,0.192
762,no change,5Yearly,2095,1.749
762,zero-migration,5Yearly,2095,0.258
