region,year,variant,age5yearinterval,population
1502,1950,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1950,estimates,0_4,132117.208
1502,1950,estimates,5_9,99759.999
1502,1950,estimates,10_14,101110.63
1502,1950,estimates,15_19,92644.089
1502,1950,estimates,20_24,85917.098
1502,1950,estimates,25_29,72563.704
1502,1950,estimates,30_34,65311.391
1502,1950,estimates,35_39,62462.249
1502,1950,estimates,40_44,54802.296
1502,1950,estimates,45_49,48094.909
1502,1950,estimates,50_54,39266.514
1502,1950,estimates,55_59,33428.608
1502,1950,estimates,60_64,26625.518
1502,1950,estimates,65_69,19919.501
1502,1950,estimates,70_74,12013.493
1502,1950,estimates,75_79,6544.833
1502,1950,estimates,80plus,3621.616
1502,1955,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1955,estimates,0_4,170443.864
1502,1955,estimates,5_9,123599.187
1502,1955,estimates,10_14,97110.312
1502,1955,estimates,15_19,99215.393
1502,1955,estimates,20_24,90399.917
1502,1955,estimates,25_29,83498.241
1502,1955,estimates,30_34,70232.557
1502,1955,estimates,35_39,62875.611
1502,1955,estimates,40_44,59481.579
1502,1955,estimates,45_49,51282.761
1502,1955,estimates,50_54,44246.071
1502,1955,estimates,55_59,35173.425
1502,1955,estimates,60_64,28019.458
1502,1955,estimates,65_69,20390.485
1502,1955,estimates,70_74,13623.75
1502,1955,estimates,75_79,6834.579
1502,1955,estimates,80plus,4038.26
1502,1960,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1960,estimates,0_4,171256.37
1502,1960,estimates,5_9,160562.895
1502,1960,estimates,10_14,120792.978
1502,1960,estimates,15_19,95311.193
1502,1960,estimates,20_24,96884.498
1502,1960,estimates,25_29,88012.544
1502,1960,estimates,30_34,81115.037
1502,1960,estimates,35_39,67635.188
1502,1960,estimates,40_44,59878.253
1502,1960,estimates,45_49,56282.861
1502,1960,estimates,50_54,47464.744
1502,1960,estimates,55_59,39515.071
1502,1960,estimates,60_64,29550.301
1502,1960,estimates,65_69,21535.81
1502,1960,estimates,70_74,13947.399
1502,1960,estimates,75_79,7629.945
1502,1960,estimates,80plus,4177.852
1502,1965,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1965,estimates,0_4,196036.109
1502,1965,estimates,5_9,161928.465
1502,1965,estimates,10_14,156802.375
1502,1965,estimates,15_19,118406.568
1502,1965,estimates,20_24,92935.639
1502,1965,estimates,25_29,94252.722
1502,1965,estimates,30_34,85291.127
1502,1965,estimates,35_39,78346.265
1502,1965,estimates,40_44,64725.458
1502,1965,estimates,45_49,56459.006
1502,1965,estimates,50_54,52262.963
1502,1965,estimates,55_59,42657.779
1502,1965,estimates,60_64,33561.07
1502,1965,estimates,65_69,23199.22
1502,1965,estimates,70_74,14997.218
1502,1965,estimates,75_79,8366.563
1502,1965,estimates,80plus,5141.832
1502,1970,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1970,estimates,0_4,219642.553
1502,1970,estimates,5_9,189088.913
1502,1970,estimates,10_14,160027.143
1502,1970,estimates,15_19,154947.797
1502,1970,estimates,20_24,116529.379
1502,1970,estimates,25_29,91167.832
1502,1970,estimates,30_34,92264.745
1502,1970,estimates,35_39,83106.923
1502,1970,estimates,40_44,75939.415
1502,1970,estimates,45_49,62344.944
1502,1970,estimates,50_54,53469.087
1502,1970,estimates,55_59,48544.129
1502,1970,estimates,60_64,38146.335
1502,1970,estimates,65_69,28222.841
1502,1970,estimates,70_74,17920.176
1502,1970,estimates,75_79,10020.214
1502,1970,estimates,80plus,6571.842
1502,1975,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1975,estimates,0_4,217209.801
1502,1975,estimates,5_9,214210.038
1502,1975,estimates,10_14,187073.217
1502,1975,estimates,15_19,158310.948
1502,1975,estimates,20_24,153062.138
1502,1975,estimates,25_29,114839.764
1502,1975,estimates,30_34,89693.17
1502,1975,estimates,35_39,90609.694
1502,1975,estimates,40_44,81240.691
1502,1975,estimates,45_49,73652.615
1502,1975,estimates,50_54,59826.668
1502,1975,estimates,55_59,50115.674
1502,1975,estimates,60_64,43895.113
1502,1975,estimates,65_69,32705.203
1502,1975,estimates,70_74,22295.398
1502,1975,estimates,75_79,12295.867
1502,1975,estimates,80plus,8131.237
1502,1980,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1980,estimates,0_4,198634.697
1502,1980,estimates,5_9,213347.755
1502,1980,estimates,10_14,212508.222
1502,1980,estimates,15_19,185582.607
1502,1980,estimates,20_24,156779.113
1502,1980,estimates,25_29,151366.046
1502,1980,estimates,30_34,113329.864
1502,1980,estimates,35_39,88200.445
1502,1980,estimates,40_44,88841.705
1502,1980,estimates,45_49,79130.014
1502,1980,estimates,50_54,70904.26
1502,1980,estimates,55_59,56592.751
1502,1980,estimates,60_64,45948.81
1502,1980,estimates,65_69,38256.41
1502,1980,estimates,70_74,26274.914
1502,1980,estimates,75_79,15655.578
1502,1980,estimates,80plus,10072.183
1502,1985,estimates,"Region, subregion, country or area *",Upper-middle-income countries
1502,1985,estimates,0_4,210561.598
1502,1985,estimates,5_9,196255.415
1502,1985,estimates,10_14,212156.943
1502,1985,estimates,15_19,211170.131
