country,variant,freq,year,crudedeathrateper1000population
826,estimates,5yearly,1950,11.741
826,estimates,5yearly,1955,11.608
826,estimates,5yearly,1960,11.818
826,estimates,5yearly,1965,11.756
826,estimates,5yearly,1970,11.846
826,estimates,5yearly,1975,11.928
826,estimates,5yearly,1980,11.74
826,estimates,5yearly,1985,11.558
826,estimates,5yearly,1990,11.197
826,estimates,5yearly,1995,10.863
826,estimates,5yearly,2000,10.191
826,estimates,5yearly,2005,9.383
826,estimates,5yearly,2010,9.011
826,constant_fertility,5yearly,2015,9.015
826,constant_mortality,5yearly,2015,9.613
826,high_variant,5yearly,2015,8.985
826,instant_replacement,5yearly,2015,8.991
826,low_variant,5yearly,2015,9.045
826,medium_variant,5yearly,2015,9.015
826,momentum,5yearly,2015,9.657
826,no_change,5yearly,2015,9.613
826,zero_migration,5yearly,2015,9.08
826,constant_fertility,5yearly,2020,9.073
826,constant_mortality,5yearly,2020,10.136
826,high_variant,5yearly,2020,8.955
826,instant_replacement,5yearly,2020,8.993
826,low_variant,5yearly,2020,9.192
826,medium_variant,5yearly,2020,9.072
826,momentum,5yearly,2020,10.247
826,no_change,5yearly,2020,10.138
826,zero_migration,5yearly,2020,9.251
826,constant_fertility,5yearly,2025,9.199
826,constant_mortality,5yearly,2025,10.681
826,high_variant,5yearly,2025,8.965
826,instant_replacement,5yearly,2025,9.065
826,low_variant,5yearly,2025,9.445
826,medium_variant,5yearly,2025,9.198
826,momentum,5yearly,2025,10.874
826,no_change,5yearly,2025,10.682
826,zero_migration,5yearly,2025,9.505
826,constant_fertility,5yearly,2030,9.426
826,constant_mortality,5yearly,2030,11.275
826,high_variant,5yearly,2030,9.067
826,instant_replacement,5yearly,2030,9.243
826,low_variant,5yearly,2030,9.825
826,medium_variant,5yearly,2030,9.43
826,momentum,5yearly,2030,11.572
826,no_change,5yearly,2030,11.27
826,zero_migration,5yearly,2030,9.882
826,constant_fertility,5yearly,2035,9.747
826,constant_mortality,5yearly,2035,11.819
826,high_variant,5yearly,2035,9.258
826,instant_replacement,5yearly,2035,9.51
826,low_variant,5yearly,2035,10.314
826,medium_variant,5yearly,2035,9.758
826,momentum,5yearly,2035,12.226
826,no_change,5yearly,2035,11.806
826,zero_migration,5yearly,2035,10.372
826,constant_fertility,5yearly,2040,10.048
826,constant_mortality,5yearly,2040,12.239
826,high_variant,5yearly,2040,9.412
826,instant_replacement,5yearly,2040,9.747
826,low_variant,5yearly,2040,10.802
826,medium_variant,5yearly,2040,10.063
826,momentum,5yearly,2040,12.742
826,no_change,5yearly,2040,12.221
826,zero_migration,5yearly,2040,10.848
826,constant_fertility,5yearly,2045,10.292
826,constant_mortality,5yearly,2045,12.567
826,high_variant,5yearly,2045,9.484
826,instant_replacement,5yearly,2045,9.91
826,low_variant,5yearly,2045,11.259
826,medium_variant,5yearly,2045,10.309
826,momentum,5yearly,2045,13.13
826,no_change,5yearly,2045,12.545
826,zero_migration,5yearly,2045,11.266
826,constant_fertility,5yearly,2050,10.497
826,constant_mortality,5yearly,2050,12.793
826,high_variant,5yearly,2050,9.487
826,instant_replacement,5yearly,2050,10.02
826,low_variant,5yearly,2050,11.718
826,medium_variant,5yearly,2050,10.517
826,momentum,5yearly,2050,13.37
826,no_change,5yearly,2050,12.767
826,zero_migration,5yearly,2050,11.646
826,constant_fertility,5yearly,2055,10.64
826,constant_mortality,5yearly,2055,12.853
826,high_variant,5yearly,2055,9.411
826,instant_replacement,5yearly,2055,10.065
826,low_variant,5yearly,2055,12.151
826,medium_variant,5yearly,2055,10.666
826,momentum,5yearly,2055,13.388
826,no_change,5yearly,2055,12.821
826,zero_migration,5yearly,2055,11.953
826,constant_fertility,5yearly,2060,10.565
826,constant_mortality,5yearly,2060,12.802
826,high_variant,5yearly,2060,9.138
826,instant_replacement,5yearly,2060,9.905
826,low_variant,5yearly,2060,12.364
826,medium_variant,5yearly,2060,10.598
826,momentum,5yearly,2060,13.24
826,no_change,5yearly,2060,12.761
826,zero_migration,5yearly,2060,11.99
826,constant_fertility,5yearly,2065,10.399
826,constant_mortality,5yearly,2065,12.798
826,high_variant,5yearly,2065,8.794
826,instant_replacement,5yearly,2065,9.663
826,low_variant,5yearly,2065,12.484
826,medium_variant,5yearly,2065,10.439
826,momentum,5yearly,2065,13.086
826,no_change,5yearly,2065,12.746
826,zero_migration,5yearly,2065,11.88
826,constant_fertility,5yearly,2070,10.339
826,constant_mortality,5yearly,2070,12.866
826,high_variant,5yearly,2070,8.543
826,instant_replacement,5yearly,2070,9.519
826,low_variant,5yearly,2070,12.745
826,medium_variant,5yearly,2070,10.387
826,momentum,5yearly,2070,12.95
826,no_change,5yearly,2070,12.804
826,zero_migration,5yearly,2070,11.841
826,constant_fertility,5yearly,2075,10.366
826,constant_mortality,5yearly,2075,12.897
826,high_variant,5yearly,2075,8.358
826,instant_replacement,5yearly,2075,9.449
826,low_variant,5yearly,2075,13.139
826,medium_variant,5yearly,2075,10.42
826,momentum,5yearly,2075,12.727
826,no_change,5yearly,2075,12.826
826,zero_migration,5yearly,2075,11.851
826,constant_fertility,5yearly,2080,10.34
826,constant_mortality,5yearly,2080,12.841
826,high_variant,5yearly,2080,8.126
826,instant_replacement,5yearly,2080,9.326
826,low_variant,5yearly,2080,13.497
826,medium_variant,5yearly,2080,10.401
826,momentum,5yearly,2080,12.4
826,no_change,5yearly,2080,12.763
826,zero_migration,5yearly,2080,11.746
826,constant_fertility,5yearly,2085,10.179
826,constant_mortality,5yearly,2085,12.794
826,high_variant,5yearly,2085,7.793
826,instant_replacement,5yearly,2085,9.086
826,low_variant,5yearly,2085,13.699
826,medium_variant,5yearly,2085,10.246
826,momentum,5yearly,2085,12.132
826,no_change,5yearly,2085,12.708
826,zero_migration,5yearly,2085,11.439
826,constant_fertility,5yearly,2090,9.985
826,constant_mortality,5yearly,2090,12.874
826,high_variant,5yearly,2090,7.457
826,instant_replacement,5yearly,2090,8.829
826,low_variant,5yearly,2090,13.855
826,medium_variant,5yearly,2090,10.06
826,momentum,5yearly,2090,12.095
826,no_change,5yearly,2090,12.778
826,zero_migration,5yearly,2090,11.1
826,constant_fertility,5yearly,2095,9.917
826,constant_mortality,5yearly,2095,13.071
826,high_variant,5yearly,2095,7.246
826,instant_replacement,5yearly,2095,8.706
826,low_variant,5yearly,2095,14.159
826,medium_variant,5yearly,2095,10.001
826,momentum,5yearly,2095,12.272
826,no_change,5yearly,2095,12.963
826,zero_migration,5yearly,2095,10.976
826,constant_fertility,5yearly,Regi,United Kingdom
826,constant_mortality,5yearly,Regi,United Kingdom
826,estimates,5yearly,Regi,United Kingdom
826,high_variant,5yearly,Regi,United Kingdom
826,instant_replacement,5yearly,Regi,United Kingdom
826,low_variant,5yearly,Regi,United Kingdom
826,medium_variant,5yearly,Regi,United Kingdom
826,momentum,5yearly,Regi,United Kingdom
826,no_change,5yearly,Regi,United Kingdom
826,zero_migration,5yearly,Regi,United Kingdom
