country,variant,freq,year,crudedeathrateper1000population
108,estimates,5yearly,1950,25.259
108,estimates,5yearly,1955,23.86
108,estimates,5yearly,1960,22.472
108,estimates,5yearly,1965,21.087
108,estimates,5yearly,1970,20.474
108,estimates,5yearly,1975,19.188
108,estimates,5yearly,1980,18.261
108,estimates,5yearly,1985,17.503
108,estimates,5yearly,1990,18.328
108,estimates,5yearly,1995,14.962
108,estimates,5yearly,2000,13.796
108,estimates,5yearly,2005,12.938
108,estimates,5yearly,2010,11.648
108,constant_fertility,5yearly,2015,10.593
108,constant_mortality,5yearly,2015,11.5
108,high_variant,5yearly,2015,10.553
108,instant_replacement,5yearly,2015,8.91
108,low_variant,5yearly,2015,10.321
108,medium_variant,5yearly,2015,10.437
108,momentum,5yearly,2015,9.795
108,no_change,5yearly,2015,11.678
108,zero_migration,5yearly,2015,10.436
108,constant_fertility,5yearly,2020,9.539
108,constant_mortality,5yearly,2020,11.27
108,high_variant,5yearly,2020,9.427
108,instant_replacement,5yearly,2020,8.308
108,low_variant,5yearly,2020,9.148
108,medium_variant,5yearly,2020,9.289
108,momentum,5yearly,2020,9.956
108,no_change,5yearly,2020,11.607
108,zero_migration,5yearly,2020,9.287
108,constant_fertility,5yearly,2025,8.619
108,constant_mortality,5yearly,2025,11.119
108,high_variant,5yearly,2025,8.467
108,instant_replacement,5yearly,2025,8.153
108,low_variant,5yearly,2025,8.259
108,medium_variant,5yearly,2025,8.366
108,momentum,5yearly,2025,10.577
108,no_change,5yearly,2025,11.548
108,zero_migration,5yearly,2025,8.364
108,constant_fertility,5yearly,2030,7.849
108,constant_mortality,5yearly,2030,11.129
108,high_variant,5yearly,2030,7.699
108,instant_replacement,5yearly,2030,8.114
108,low_variant,5yearly,2030,7.655
108,medium_variant,5yearly,2030,7.678
108,momentum,5yearly,2030,11.309
108,no_change,5yearly,2030,11.565
108,zero_migration,5yearly,2030,7.678
108,constant_fertility,5yearly,2035,7.216
108,constant_mortality,5yearly,2035,11.226
108,high_variant,5yearly,2035,7.122
108,instant_replacement,5yearly,2035,8.025
108,low_variant,5yearly,2035,7.213
108,medium_variant,5yearly,2035,7.164
108,momentum,5yearly,2035,11.845
108,no_change,5yearly,2035,11.629
108,zero_migration,5yearly,2035,7.165
108,constant_fertility,5yearly,2040,6.646
108,constant_mortality,5yearly,2040,11.309
108,high_variant,5yearly,2040,6.634
108,instant_replacement,5yearly,2040,7.877
108,low_variant,5yearly,2040,6.831
108,medium_variant,5yearly,2040,6.723
108,momentum,5yearly,2040,12.083
108,no_change,5yearly,2040,11.691
108,zero_migration,5yearly,2040,6.722
108,constant_fertility,5yearly,2045,6.139
108,constant_mortality,5yearly,2045,11.378
108,high_variant,5yearly,2045,6.231
108,instant_replacement,5yearly,2045,7.898
108,low_variant,5yearly,2045,6.546
108,medium_variant,5yearly,2045,6.372
108,momentum,5yearly,2045,12.353
108,no_change,5yearly,2045,11.729
108,zero_migration,5yearly,2045,6.369
108,constant_fertility,5yearly,2050,5.696
108,constant_mortality,5yearly,2050,11.504
108,high_variant,5yearly,2050,5.93
108,instant_replacement,5yearly,2050,8.211
108,low_variant,5yearly,2050,6.41
108,medium_variant,5yearly,2050,6.146
108,momentum,5yearly,2050,12.96
108,no_change,5yearly,2050,11.759
108,zero_migration,5yearly,2050,6.14
108,constant_fertility,5yearly,2055,5.345
108,constant_mortality,5yearly,2055,11.742
108,high_variant,5yearly,2055,5.762
108,instant_replacement,5yearly,2055,8.772
108,low_variant,5yearly,2055,6.454
108,medium_variant,5yearly,2055,6.073
108,momentum,5yearly,2055,13.879
108,no_change,5yearly,2055,11.807
108,zero_migration,5yearly,2055,6.066
108,constant_fertility,5yearly,2060,5.059
108,constant_mortality,5yearly,2060,12.079
108,high_variant,5yearly,2060,5.699
108,instant_replacement,5yearly,2060,9.474
108,low_variant,5yearly,2060,6.636
108,medium_variant,5yearly,2060,6.117
108,momentum,5yearly,2060,14.932
108,no_change,5yearly,2060,11.87
108,zero_migration,5yearly,2060,6.109
108,constant_fertility,5yearly,2065,4.794
108,constant_mortality,5yearly,2065,12.456
108,high_variant,5yearly,2065,5.684
108,instant_replacement,5yearly,2065,10.193
108,low_variant,5yearly,2065,6.882
108,medium_variant,5yearly,2065,6.214
108,momentum,5yearly,2065,15.886
108,no_change,5yearly,2065,11.919
108,zero_migration,5yearly,2065,6.205
108,constant_fertility,5yearly,2070,4.536
108,constant_mortality,5yearly,2070,12.823
108,high_variant,5yearly,2070,5.682
108,instant_replacement,5yearly,2070,10.856
108,low_variant,5yearly,2070,7.148
108,medium_variant,5yearly,2070,6.323
108,momentum,5yearly,2070,16.663
108,no_change,5yearly,2070,11.937
108,zero_migration,5yearly,2070,6.314
108,constant_fertility,5yearly,2075,4.273
108,constant_mortality,5yearly,2075,13.197
108,high_variant,5yearly,2075,5.682
108,instant_replacement,5yearly,2075,11.461
108,low_variant,5yearly,2075,7.428
