continent,year,variant,gender,agebroad,percentagetotalpopulation
903,1955,Estimates,male,0_14,42.5974699101447
903,1955,Estimates,female,0_17,47.5366488927283
903,1955,Estimates,male,0_17,48.7455870539602
903,1955,Estimates,female,0_19,51.3284862418041
903,1955,Estimates,male,0_19,52.6018674213844
903,1955,Estimates,female,0_24,60.0231509731191
903,1955,Estimates,male,0_24,61.4388360998914
903,1955,Estimates,female,3_4,6.2212965867457
903,1955,Estimates,male,3_4,6.41818295051146
903,1955,Estimates,female,3_5,9.09620781128576
903,1955,Estimates,male,3_5,9.38165821410257
903,1955,Estimates,female,3_6,11.8394400507061
903,1955,Estimates,male,3_6,12.2062519792803
903,1955,Estimates,female,4_5,5.900128483049
903,1955,Estimates,male,4_5,6.08404627843631
903,1955,Estimates,female,4_6,8.64336072246937
903,1955,Estimates,male,4_6,8.90864004361403
903,1955,Estimates,female,5_10,15.5804984823021
903,1955,Estimates,male,5_10,16.0021087701413
903,1955,Estimates,female,5_11,17.8822188764712
903,1955,Estimates,male,5_11,18.3484424769057
903,1955,Estimates,female,5_14,24.4216363153815
903,1955,Estimates,male,5_14,24.9987798780677
903,1955,Estimates,female,6_9,10.3401555170376
903,1955,Estimates,male,6_9,10.6212006516553
903,1955,Estimates,female,6_10,12.705587257762
903,1955,Estimates,male,6_10,13.0386335065502
903,1955,Estimates,female,6_11,15.0073076519311
903,1955,Estimates,male,6_11,15.3849672133146
903,1955,Estimates,female,6_12,17.2485807175573
903,1955,Estimates,male,6_12,17.6653073422555
903,1955,Estimates,female,7_10,9.96235501834161
903,1955,Estimates,male,7_10,10.2140397413725
903,1955,Estimates,female,7_12,14.5053484781369
903,1955,Estimates,male,7_12,14.8407135770778
903,1955,Estimates,female,11_16,12.9200522571553
903,1955,Estimates,male,11_16,13.1443200799798
903,1955,Estimates,female,11_17,14.8869733009822
903,1955,Estimates,male,11_17,15.1447882517419
903,1955,Estimates,female,11_18,16.8063770976901
903,1955,Estimates,male,11_18,17.0969199398865
903,1955,Estimates,female,12_14,6.5394174389103
903,1955,Estimates,male,12_14,6.650337401162
903,1955,Estimates,female,12_16,10.6183318629862
903,1955,Estimates,male,12_16,10.7979863732154
