agebroad,gender,percentagetotalpopulation,continent,variant,year
15_24,female,18.41,935,estimates,1951
15_49,female,49.115,935,estimates,1951
15_59,female,56.187,935,estimates,1951
15_64,female,58.841,935,estimates,1951
20_64,female,49.084,935,estimates,1951
20_69,female,51.058,935,estimates,1951
25_49,female,30.705,935,estimates,1951
25_64,female,40.431,935,estimates,1951
25_69,female,42.406,935,estimates,1951
15plus,female,63.357,935,estimates,1951
16plus,female,61.34,935,estimates,1951
17plus,female,59.355,935,estimates,1951
18plus,female,57.399,935,estimates,1951
20plus,female,53.599,935,estimates,1951
21plus,female,51.771,935,estimates,1951
25plus,female,44.947,935,estimates,1951
50plus,female,14.241,935,estimates,1951
60plus,female,7.169,935,estimates,1951
65plus,female,4.515,935,estimates,1951
70plus,female,2.541,935,estimates,1951
75plus,female,1.235,935,estimates,1951
80plus,female,0.479,935,estimates,1951
85plus,female,0.14,935,estimates,1951
90plus,female,0.032,935,estimates,1951
total,female,100,935,estimates,1951
0_1,male,6.633,935,estimates,1951
0_4,male,14.815,935,estimates,1951
0_14,male,36.977,935,estimates,1951
0_17,male,43.051,935,estimates,1951
0_19,male,46.916,935,estimates,1951
0_24,male,55.839,935,estimates,1951
3_4,male,5.284,935,estimates,1951
3_5,male,7.73,935,estimates,1951
3_6,male,10.08,935,estimates,1951
4_5,male,5.013,935,estimates,1951
4_6,male,7.364,935,estimates,1951
5_14,male,22.162,935,estimates,1951
5_10,male,13.636,935,estimates,1951
5_11,male,15.781,935,estimates,1951
6_9,male,9.032,935,estimates,1951
6_10,male,11.19,935,estimates,1951
6_11,male,13.335,935,estimates,1951
6_12,male,15.479,935,estimates,1951
7_10,male,8.84,935,estimates,1951
7_12,male,13.129,935,estimates,1951
11_16,male,12.611,935,estimates,1951
11_17,male,14.6,935,estimates,1951
11_18,male,16.552,935,estimates,1951
12_14,male,6.38,935,estimates,1951
12_16,male,10.465,935,estimates,1951
12_17,male,12.455,935,estimates,1951
12_18,male,14.406,935,estimates,1951
13_17,male,10.311,935,estimates,1951
13_18,male,12.263,935,estimates,1951
