agebroad,gender,percentagetotalpopulation,continent,variant,year
0_1,female,4.08,908,estimates,1950
0_4,female,8.66,908,estimates,1950
0_14,female,24.353,908,estimates,1950
0_17,female,29.136,908,estimates,1950
0_19,female,32.35,908,estimates,1950
0_24,female,41.002,908,estimates,1950
3_4,female,2.916,908,estimates,1950
3_5,female,4.278,908,estimates,1950
3_6,female,5.636,908,estimates,1950
4_5,female,2.771,908,estimates,1950
4_6,female,4.13,908,estimates,1950
5_14,female,15.693,908,estimates,1950
5_10,female,8.673,908,estimates,1950
5_11,female,10.402,908,estimates,1950
6_9,female,5.702,908,estimates,1950
6_10,female,7.31,908,estimates,1950
6_11,female,9.04,908,estimates,1950
6_12,female,10.839,908,estimates,1950
7_10,female,5.952,908,estimates,1950
7_12,female,9.481,908,estimates,1950
11_16,female,10.253,908,estimates,1950
11_17,female,11.803,908,estimates,1950
11_18,female,13.38,908,estimates,1950
12_14,female,5.291,908,estimates,1950
12_16,female,8.523,908,estimates,1950
12_17,female,10.074,908,estimates,1950
12_18,female,11.65,908,estimates,1950
13_17,female,8.274,908,estimates,1950
13_18,female,9.851,908,estimates,1950
13_19,female,11.488,908,estimates,1950
15_17,female,4.783,908,estimates,1950
18_23,female,10.136,908,estimates,1950
15_24,female,16.649,908,estimates,1950
15_49,female,52.087,908,estimates,1950
15_59,female,62.566,908,estimates,1950
15_64,female,66.779,908,estimates,1950
20_64,female,58.781,908,estimates,1950
20_69,female,62.208,908,estimates,1950
25_49,female,35.438,908,estimates,1950
25_64,female,50.13,908,estimates,1950
25_69,female,53.556,908,estimates,1950
15plus,female,75.647,908,estimates,1950
16plus,female,73.998,908,estimates,1950
17plus,female,72.415,908,estimates,1950
18plus,female,70.864,908,estimates,1950
20plus,female,67.65,908,estimates,1950
21plus,female,65.965,908,estimates,1950
25plus,female,58.998,908,estimates,1950
50plus,female,23.56,908,estimates,1950
60plus,female,13.081,908,estimates,1950
65plus,female,8.869,908,estimates,1950
70plus,female,5.442,908,estimates,1950
75plus,female,2.874,908,estimates,1950
80plus,female,1.229,908,estimates,1950
85plus,female,0.433,908,estimates,1950
90plus,female,0.108,908,estimates,1950
total,female,100,908,estimates,1950
0_1,male,4.856,908,estimates,1950
0_4,male,10.274,908,estimates,1950
0_14,male,28.577,908,estimates,1950
0_17,male,34.039,908,estimates,1950
0_19,male,37.646,908,estimates,1950
0_24,male,46.996,908,estimates,1950
3_4,male,3.445,908,estimates,1950
3_5,male,5.048,908,estimates,1950
3_6,male,6.642,908,estimates,1950
4_5,male,3.265,908,estimates,1950
4_6,male,4.86,908,estimates,1950
5_14,male,18.303,908,estimates,1950
5_10,male,10.155,908,estimates,1950
5_11,male,12.17,908,estimates,1950
6_9,male,6.676,908,estimates,1950
6_10,male,8.552,908,estimates,1950
6_11,male,10.566,908,estimates,1950
6_12,male,12.659,908,estimates,1950
7_10,male,6.957,908,estimates,1950
7_12,male,11.065,908,estimates,1950
11_16,male,11.852,908,estimates,1950
11_17,male,13.611,908,estimates,1950
11_18,male,15.386,908,estimates,1950
12_14,male,6.133,908,estimates,1950
12_16,male,9.838,908,estimates,1950
12_17,male,11.596,908,estimates,1950
12_18,male,13.371,908,estimates,1950
13_17,male,9.503,908,estimates,1950
13_18,male,11.279,908,estimates,1950
13_19,male,13.11,908,estimates,1950
15_17,male,5.462,908,estimates,1950
18_23,male,11.171,908,estimates,1950
15_24,male,18.419,908,estimates,1950
15_49,male,51.829,908,estimates,1950
15_59,male,61.008,908,estimates,1950
15_64,male,64.496,908,estimates,1950
20_64,male,55.427,908,estimates,1950
20_69,male,58.234,908,estimates,1950
25_49,male,33.41,908,estimates,1950
25_64,male,46.077,908,estimates,1950
25_69,male,48.884,908,estimates,1950
15plus,male,71.423,908,estimates,1950
16plus,male,69.527,908,estimates,1950
17plus,male,67.719,908,estimates,1950
18plus,male,65.961,908,estimates,1950
20plus,male,62.354,908,estimates,1950
21plus,male,60.483,908,estimates,1950
25plus,male,53.004,908,estimates,1950
50plus,male,19.595,908,estimates,1950
60plus,male,10.416,908,estimates,1950
65plus,male,6.927,908,estimates,1950
70plus,male,4.121,908,estimates,1950
75plus,male,2.049,908,estimates,1950
80plus,male,0.796,908,estimates,1950
85plus,male,0.247,908,estimates,1950
90plus,male,0.053,908,estimates,1950
total,male,100,908,estimates,1950
0_1,female,4.086,908,estimates,1951
0_4,female,9.104,908,estimates,1951
0_14,female,24.359,908,estimates,1951
0_17,female,29.24,908,estimates,1951
0_19,female,32.326,908,estimates,1951
0_24,female,40.764,908,estimates,1951
3_4,female,3.171,908,estimates,1951
3_5,female,4.594,908,estimates,1951
3_6,female,5.963,908,estimates,1951
4_5,female,2.939,908,estimates,1951
4_6,female,4.308,908,estimates,1951
5_14,female,15.255,908,estimates,1951
5_10,female,8.412,908,estimates,1951
5_11,female,10.002,908,estimates,1951
6_9,female,5.493,908,estimates,1951
6_10,female,6.988,908,estimates,1951
6_11,female,8.579,908,estimates,1951
6_12,female,10.29,908,estimates,1951
7_10,female,5.619,908,estimates,1951
7_12,female,8.92,908,estimates,1951
11_16,female,10.161,908,estimates,1951
11_17,female,11.724,908,estimates,1951
11_18,female,13.255,908,estimates,1951
12_14,female,5.252,908,estimates,1951
12_16,female,8.571,908,estimates,1951
