agebroad,gender,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",female,NORTHERN AMERICA,905,estimates,1950
0_1,female,4.567,905,estimates,1950
0_4,female,10.686,905,estimates,1950
0_14,female,26.468,905,estimates,1950
0_17,female,30.641,905,estimates,1950
0_19,female,33.515,905,estimates,1950
0_24,female,41.279,905,estimates,1950
3_4,female,3.986,905,estimates,1950
3_5,female,5.846,905,estimates,1950
3_6,female,7.626,905,estimates,1950
4_5,female,3.808,905,estimates,1950
4_6,female,5.588,905,estimates,1950
5_14,female,15.782,905,estimates,1950
5_10,female,10.074,905,estimates,1950
5_11,female,11.544,905,estimates,1950
6_9,female,6.695,905,estimates,1950
6_10,female,8.213,905,estimates,1950
6_11,female,9.683,905,estimates,1950
6_12,female,11.116,905,estimates,1950
7_10,female,6.434,905,estimates,1950
7_12,female,9.336,905,estimates,1950
11_16,female,8.484,905,estimates,1950
11_17,female,9.88,905,estimates,1950
11_18,female,11.3,905,estimates,1950
12_14,female,4.238,905,estimates,1950
12_16,female,7.014,905,estimates,1950
12_17,female,8.41,905,estimates,1950
12_18,female,9.83,905,estimates,1950
13_17,female,6.978,905,estimates,1950
13_18,female,8.398,905,estimates,1950
13_19,female,9.852,905,estimates,1950
15_17,female,4.172,905,estimates,1950
18_23,female,9.036,905,estimates,1950
15_24,female,14.811,905,estimates,1950
15_49,female,50.495,905,estimates,1950
15_59,female,60.683,905,estimates,1950
15_64,female,64.875,905,estimates,1950
20_64,female,57.828,905,estimates,1950
20_69,female,61.382,905,estimates,1950
25_49,female,35.685,905,estimates,1950
25_64,female,50.065,905,estimates,1950
25_69,female,53.618,905,estimates,1950
15plus,female,73.532,905,estimates,1950
16plus,female,72.142,905,estimates,1950
17plus,female,70.755,905,estimates,1950
18plus,female,69.359,905,estimates,1950
20plus,female,66.485,905,estimates,1950
21plus,female,64.995,905,estimates,1950
25plus,female,58.721,905,estimates,1950
50plus,female,23.036,905,estimates,1950
60plus,female,12.849,905,estimates,1950
65plus,female,8.656,905,estimates,1950
70plus,female,5.103,905,estimates,1950
75plus,female,2.77,905,estimates,1950
80plus,female,1.281,905,estimates,1950
85plus,female,0.568,905,estimates,1950
90plus,female,0.191,905,estimates,1950
total,female,100,905,estimates,1950
"Region, subregion, country or area *",male,NORTHERN AMERICA,905,estimates,1950
0_1,male,4.781,905,estimates,1950
0_4,male,11.193,905,estimates,1950
0_14,male,27.641,905,estimates,1950
0_17,male,31.932,905,estimates,1950
0_19,male,34.848,905,estimates,1950
0_24,male,42.571,905,estimates,1950
3_4,male,4.177,905,estimates,1950
3_5,male,6.127,905,estimates,1950
3_6,male,7.991,905,estimates,1950
4_5,male,3.991,905,estimates,1950
4_6,male,5.855,905,estimates,1950
5_14,male,16.448,905,estimates,1950
5_10,male,10.534,905,estimates,1950
5_11,male,12.062,905,estimates,1950
6_9,male,7.002,905,estimates,1950
6_10,male,8.584,905,estimates,1950
6_11,male,10.112,905,estimates,1950
6_12,male,11.597,905,estimates,1950
7_10,male,6.72,905,estimates,1950
7_12,male,9.733,905,estimates,1950
11_16,male,8.773,905,estimates,1950
11_17,male,10.204,905,estimates,1950
11_18,male,11.651,905,estimates,1950
12_14,male,4.386,905,estimates,1950
12_16,male,7.245,905,estimates,1950
12_17,male,8.676,905,estimates,1950
12_18,male,10.123,905,estimates,1950
13_17,male,7.191,905,estimates,1950
13_18,male,8.638,905,estimates,1950
13_19,male,10.108,905,estimates,1950
15_17,male,4.291,905,estimates,1950
18_23,male,9.052,905,estimates,1950
15_24,male,14.93,905,estimates,1950
15_49,male,50.451,905,estimates,1950
15_59,male,60.545,905,estimates,1950
15_64,male,64.682,905,estimates,1950
20_64,male,57.475,905,estimates,1950
20_69,male,60.763,905,estimates,1950
25_49,male,35.521,905,estimates,1950
25_64,male,49.752,905,estimates,1950
25_69,male,53.04,905,estimates,1950
15plus,male,72.359,905,estimates,1950
16plus,male,70.926,905,estimates,1950
17plus,male,69.499,905,estimates,1950
18plus,male,68.068,905,estimates,1950
20plus,male,65.152,905,estimates,1950
21plus,male,63.656,905,estimates,1950
25plus,male,57.429,905,estimates,1950
50plus,male,21.908,905,estimates,1950
60plus,male,11.814,905,estimates,1950
65plus,male,7.676,905,estimates,1950
70plus,male,4.389,905,estimates,1950
75plus,male,2.267,905,estimates,1950
80plus,male,0.974,905,estimates,1950
85plus,male,0.357,905,estimates,1950
90plus,male,0.094,905,estimates,1950
total,male,100,905,estimates,1950
"Region, subregion, country or area *",female,NORTHERN AMERICA,905,estimates,1951
0_1,female,4.553,905,estimates,1951
0_4,female,10.858,905,estimates,1951
0_14,female,26.944,905,estimates,1951
0_17,female,31.051,905,estimates,1951
0_19,female,33.824,905,estimates,1951
0_24,female,41.318,905,estimates,1951
3_4,female,4.111,905,estimates,1951
3_5,female,6.032,905,estimates,1951
3_6,female,7.869,905,estimates,1951
4_5,female,3.932,905,estimates,1951
4_6,female,5.768,905,estimates,1951
5_14,female,16.087,905,estimates,1951
5_10,female,10.354,905,estimates,1951
5_11,female,11.849,905,estimates,1951
6_9,female,6.883,905,estimates,1951
6_10,female,8.433,905,estimates,1951
6_11,female,9.928,905,estimates,1951
6_12,female,11.373,905,estimates,1951
7_10,female,6.596,905,estimates,1951
7_12,female,9.537,905,estimates,1951
11_16,female,8.474,905,estimates,1951
11_17,female,9.839,905,estimates,1951
11_18,female,11.214,905,estimates,1951
12_14,female,4.237,905,estimates,1951
12_16,female,6.979,905,estimates,1951
12_17,female,8.344,905,estimates,1951
12_18,female,9.719,905,estimates,1951
13_17,female,6.899,905,estimates,1951
13_18,female,8.273,905,estimates,1951
13_19,female,9.672,905,estimates,1951
15_17,female,4.107,905,estimates,1951
18_23,female,8.708,905,estimates,1951
15_24,female,14.374,905,estimates,1951
15_49,female,49.888,905,estimates,1951
15_59,female,60.063,905,estimates,1951
15_64,female,64.245,905,estimates,1951
20_64,female,57.365,905,estimates,1951
20_69,female,60.913,905,estimates,1951
25_49,female,35.514,905,estimates,1951
25_64,female,49.871,905,estimates,1951
25_69,female,53.419,905,estimates,1951
15plus,female,73.056,905,estimates,1951
16plus,female,71.682,905,estimates,1951
17plus,female,70.314,905,estimates,1951
18plus,female,68.949,905,estimates,1951
20plus,female,66.176,905,estimates,1951
21plus,female,64.744,905,estimates,1951
25plus,female,58.682,905,estimates,1951
50plus,female,23.168,905,estimates,1951
60plus,female,12.993,905,estimates,1951
65plus,female,8.81,905,estimates,1951
70plus,female,5.263,905,estimates,1951
75plus,female,2.851,905,estimates,1951
80plus,female,1.322,905,estimates,1951
85plus,female,0.571,905,estimates,1951
90plus,female,0.2,905,estimates,1951
total,female,100,905,estimates,1951
"Region, subregion, country or area *",male,NORTHERN AMERICA,905,estimates,1951
0_1,male,4.771,905,estimates,1951
0_4,male,11.388,905,estimates,1951
0_14,male,28.188,905,estimates,1951
0_17,male,32.382,905,estimates,1951
0_19,male,35.186,905,estimates,1951
0_24,male,42.677,905,estimates,1951
3_4,male,4.316,905,estimates,1951
3_5,male,6.335,905,estimates,1951
3_6,male,8.264,905,estimates,1951
4_5,male,4.13,905,estimates,1951
4_6,male,6.059,905,estimates,1951
5_14,male,16.801,905,estimates,1951
5_10,male,10.864,905,estimates,1951
5_11,male,12.421,905,estimates,1951
6_9,male,7.226,905,estimates,1951
6_10,male,8.845,905,estimates,1951
6_11,male,10.402,905,estimates,1951
6_12,male,11.902,905,estimates,1951
7_10,male,6.916,905,estimates,1951
7_12,male,9.973,905,estimates,1951
11_16,male,8.742,905,estimates,1951
11_17,male,10.13,905,estimates,1951
11_18,male,11.523,905,estimates,1951
12_14,male,4.379,905,estimates,1951
12_16,male,7.184,905,estimates,1951
12_17,male,8.573,905,estimates,1951
12_18,male,9.966,905,estimates,1951
13_17,male,7.074,905,estimates,1951
13_18,male,8.466,905,estimates,1951
13_19,male,9.878,905,estimates,1951
15_17,male,4.194,905,estimates,1951
18_23,male,8.743,905,estimates,1951
15_24,male,14.489,905,estimates,1951
15_49,male,49.878,905,estimates,1951
15_59,male,59.918,905,estimates,1951
15_64,male,64.022,905,estimates,1951
20_64,male,57.024,905,estimates,1951
20_69,male,60.301,905,estimates,1951
25_49,male,35.389,905,estimates,1951
25_64,male,49.533,905,estimates,1951
25_69,male,52.81,905,estimates,1951
15plus,male,71.812,905,estimates,1951
16plus,male,70.403,905,estimates,1951
17plus,male,69.007,905,estimates,1951
18plus,male,67.618,905,estimates,1951
20plus,male,64.814,905,estimates,1951
21plus,male,63.375,905,estimates,1951
25plus,male,57.323,905,estimates,1951
50plus,male,21.934,905,estimates,1951
60plus,male,11.894,905,estimates,1951
65plus,male,7.79,905,estimates,1951
70plus,male,4.513,905,estimates,1951
75plus,male,2.338,905,estimates,1951
80plus,male,1.018,905,estimates,1951
85plus,male,0.375,905,estimates,1951
90plus,male,0.104,905,estimates,1951
total,male,100,905,estimates,1951
"Region, subregion, country or area *",female,NORTHERN AMERICA,905,estimates,1952
0_1,female,4.431,905,estimates,1952
0_4,female,10.898,905,estimates,1952
0_14,female,27.373,905,estimates,1952
0_17,female,31.433,905,estimates,1952
0_19,female,34.133,905,estimates,1952
0_24,female,41.354,905,estimates,1952
3_4,female,4.226,905,estimates,1952
3_5,female,6.209,905,estimates,1952
3_6,female,8.106,905,estimates,1952
4_5,female,4.053,905,estimates,1952
4_6,female,5.95,905,estimates,1952
5_14,female,16.475,905,estimates,1952
5_10,female,10.669,905,estimates,1952
5_11,female,12.197,905,estimates,1952
6_9,female,7.098,905,estimates,1952
6_10,female,8.686,905,estimates,1952
6_11,female,10.214,905,estimates,1952
6_12,female,11.686,905,estimates,1952
7_10,female,6.789,905,estimates,1952
7_12,female,9.789,905,estimates,1952
11_16,female,8.519,905,estimates,1952
11_17,female,9.866,905,estimates,1952
11_18,female,11.211,905,estimates,1952
12_14,female,4.278,905,estimates,1952
12_16,female,6.992,905,estimates,1952
12_17,female,8.338,905,estimates,1952
12_18,female,9.683,905,estimates,1952
13_17,female,6.866,905,estimates,1952
13_18,female,8.211,905,estimates,1952
13_19,female,9.565,905,estimates,1952
15_17,female,4.06,905,estimates,1952
18_23,female,8.41,905,estimates,1952
15_24,female,13.981,905,estimates,1952
15_49,female,49.285,905,estimates,1952
15_59,female,59.479,905,estimates,1952
15_64,female,63.674,905,estimates,1952
20_64,female,56.914,905,estimates,1952
20_69,female,60.444,905,estimates,1952
25_49,female,35.304,905,estimates,1952
25_64,female,49.693,905,estimates,1952
25_69,female,53.223,905,estimates,1952
15plus,female,72.627,905,estimates,1952
16plus,female,71.265,905,estimates,1952
17plus,female,69.914,905,estimates,1952
18plus,female,68.567,905,estimates,1952
20plus,female,65.867,905,estimates,1952
21plus,female,64.489,905,estimates,1952
25plus,female,58.646,905,estimates,1952
50plus,female,23.342,905,estimates,1952
60plus,female,13.148,905,estimates,1952
65plus,female,8.953,905,estimates,1952
70plus,female,5.423,905,estimates,1952
75plus,female,2.922,905,estimates,1952
80plus,female,1.365,905,estimates,1952
85plus,female,0.561,905,estimates,1952
90plus,female,0.205,905,estimates,1952
total,female,100,905,estimates,1952
