agebroad,gender,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",female,OCEANIA,909,estimates,1950
0_1,female,5.161,909,estimates,1950
0_4,female,12.008,909,estimates,1950
0_14,female,29.633,909,estimates,1950
0_17,female,34.065,909,estimates,1950
0_19,female,37.036,909,estimates,1950
0_24,female,44.882,909,estimates,1950
3_4,female,4.454,909,estimates,1950
3_5,female,6.531,909,estimates,1950
3_6,female,8.518,909,estimates,1950
4_5,female,4.251,909,estimates,1950
4_6,female,6.238,909,estimates,1950
5_14,female,17.625,909,estimates,1950
5_10,female,11.268,909,estimates,1950
5_11,female,12.922,909,estimates,1950
6_9,female,7.487,909,estimates,1950
6_10,female,9.192,909,estimates,1950
6_11,female,10.845,909,estimates,1950
6_12,female,12.453,909,estimates,1950
7_10,female,7.204,909,estimates,1950
7_12,female,10.465,909,estimates,1950
11_16,female,9.327,909,estimates,1950
11_17,female,10.788,909,estimates,1950
11_18,female,12.261,909,estimates,1950
12_14,female,4.703,909,estimates,1950
12_16,female,7.674,909,estimates,1950
12_17,female,9.135,909,estimates,1950
12_18,female,10.608,909,estimates,1950
13_17,female,7.527,909,estimates,1950
13_18,female,9.0,909,estimates,1950
13_19,female,10.498,909,estimates,1950
15_17,female,4.432,909,estimates,1950
18_23,female,9.219,909,estimates,1950
15_24,female,15.25,909,estimates,1950
15_49,female,49.079,909,estimates,1950
15_59,female,58.484,909,estimates,1950
15_64,female,62.405,909,estimates,1950
20_64,female,55.002,909,estimates,1950
20_69,female,58.115,909,estimates,1950
25_49,female,33.83,909,estimates,1950
25_64,female,47.156,909,estimates,1950
25_69,female,50.268,909,estimates,1950
15plus,female,70.367,909,estimates,1950
16plus,female,68.868,909,estimates,1950
17plus,female,67.396,909,estimates,1950
18plus,female,65.935,909,estimates,1950
20plus,female,62.964,909,estimates,1950
21plus,female,61.439,909,estimates,1950
25plus,female,55.118,909,estimates,1950
50plus,female,21.288,909,estimates,1950
60plus,female,11.883,909,estimates,1950
65plus,female,7.962,909,estimates,1950
70plus,female,4.849,909,estimates,1950
75plus,female,2.592,909,estimates,1950
80plus,female,1.205,909,estimates,1950
85plus,female,0.443,909,estimates,1950
90plus,female,0.118,909,estimates,1950
total,female,100,909,estimates,1950
"Region, subregion, country or area *",male,OCEANIA,909,estimates,1950
0_1,male,5.241,909,estimates,1950
0_4,male,12.186,909,estimates,1950
0_14,male,30.026,909,estimates,1950
0_17,male,34.562,909,estimates,1950
0_19,male,37.636,909,estimates,1950
0_24,male,45.819,909,estimates,1950
3_4,male,4.515,909,estimates,1950
3_5,male,6.619,909,estimates,1950
