variant,country,year,oldagedependencyratio2569
estimates,360,1950,6.013
estimates,360,1951,6.056
estimates,360,1952,6.044
estimates,360,1953,5.983
estimates,360,1954,5.878
estimates,360,1955,5.738
estimates,360,1956,5.769
estimates,360,1957,5.755
estimates,360,1958,5.698
estimates,360,1959,5.601
estimates,360,1960,5.469
estimates,360,1961,5.487
estimates,360,1962,5.468
estimates,360,1963,5.413
estimates,360,1964,5.323
estimates,360,1965,5.201
estimates,360,1966,5.21
estimates,360,1967,5.184
estimates,360,1968,5.137
estimates,360,1969,5.082
estimates,360,1970,5.025
estimates,360,1971,5.109
estimates,360,1972,5.176
estimates,360,1973,5.228
estimates,360,1974,5.265
estimates,360,1975,5.29
estimates,360,1976,5.429
estimates,360,1977,5.54
estimates,360,1978,5.62
estimates,360,1979,5.666
estimates,360,1980,5.681
estimates,360,1981,5.782
estimates,360,1982,5.845
estimates,360,1983,5.869
estimates,360,1984,5.852
estimates,360,1985,5.8
estimates,360,1986,5.822
estimates,360,1987,5.808
estimates,360,1988,5.766
estimates,360,1989,5.706
estimates,360,1990,5.634
estimates,360,1991,5.655
estimates,360,1992,5.655
estimates,360,1993,5.641
estimates,360,1994,5.627
estimates,360,1995,5.617
estimates,360,1996,5.726
estimates,360,1997,5.827
estimates,360,1998,5.921
estimates,360,1999,6.005
estimates,360,2000,6.081
estimates,360,2001,6.151
estimates,360,2002,6.18
estimates,360,2003,6.174
estimates,360,2004,6.135
estimates,360,2005,6.064
estimates,360,2006,6.125
estimates,360,2007,6.154
estimates,360,2008,6.153
estimates,360,2009,6.125
estimates,360,2010,6.069
estimates,360,2011,6.129
estimates,360,2012,6.17
estimates,360,2013,6.193
estimates,360,2014,6.199
estimates,360,2015,6.19
medium_variant,360,2015,6.19
medium_variant,360,2016,6.274
medium_variant,360,2017,6.339
medium_variant,360,2018,6.396
medium_variant,360,2019,6.457
medium_variant,360,2020,6.53
medium_variant,360,2021,6.71
medium_variant,360,2022,6.886
medium_variant,360,2023,7.068
medium_variant,360,2024,7.266
medium_variant,360,2025,7.489
medium_variant,360,2026,7.823
medium_variant,360,2027,8.164
medium_variant,360,2028,8.508
medium_variant,360,2029,8.851
medium_variant,360,2030,9.194
medium_variant,360,2031,9.619
medium_variant,360,2032,10.032
medium_variant,360,2033,10.435
medium_variant,360,2034,10.829
