variant,country,year,oldagedependencyratio2569
estimates,31,1950,9.927
estimates,31,1951,10.327
estimates,31,1952,10.634
estimates,31,1953,10.886
estimates,31,1954,11.133
estimates,31,1955,11.387
estimates,31,1956,11.732
estimates,31,1957,12.071
estimates,31,1958,12.311
estimates,31,1959,12.336
estimates,31,1960,12.109
estimates,31,1961,11.817
estimates,31,1962,11.344
estimates,31,1963,10.813
estimates,31,1964,10.354
estimates,31,1965,10.02
estimates,31,1966,9.907
estimates,31,1967,9.871
estimates,31,1968,9.89
estimates,31,1969,9.927
estimates,31,1970,9.96
estimates,31,1971,10.202
estimates,31,1972,10.39
estimates,31,1973,10.508
estimates,31,1974,10.554
estimates,31,1975,10.535
estimates,31,1976,10.571
estimates,31,1977,10.548
estimates,31,1978,10.468
estimates,31,1979,10.315
estimates,31,1980,10.075
estimates,31,1981,9.876
estimates,31,1982,9.643
estimates,31,1983,9.373
estimates,31,1984,9.049
estimates,31,1985,8.673
estimates,31,1986,8.079
estimates,31,1987,7.488
estimates,31,1988,6.931
estimates,31,1989,6.434
estimates,31,1990,5.991
estimates,31,1991,5.796
estimates,31,1992,5.577
estimates,31,1993,5.375
estimates,31,1994,5.235
estimates,31,1995,5.173
estimates,31,1996,5.4
estimates,31,1997,5.688
estimates,31,1998,5.993
estimates,31,1999,6.278
estimates,31,2000,6.536
estimates,31,2001,6.889
estimates,31,2002,7.204
estimates,31,2003,7.51
estimates,31,2004,7.814
estimates,31,2005,8.08
estimates,31,2006,8.335
estimates,31,2007,8.543
estimates,31,2008,8.683
estimates,31,2009,8.707
estimates,31,2010,8.579
estimates,31,2011,8.471
estimates,31,2012,8.29
estimates,31,2013,8.087
estimates,31,2014,7.877
estimates,31,2015,7.641
medium_variant,31,2015,7.641
medium_variant,31,2016,7.275
medium_variant,31,2017,6.856
medium_variant,31,2018,6.482
medium_variant,31,2019,6.284
medium_variant,31,2020,6.327
medium_variant,31,2021,6.691
medium_variant,31,2022,7.247
medium_variant,31,2023,7.915
medium_variant,31,2024,8.59
medium_variant,31,2025,9.226
medium_variant,31,2026,9.929
medium_variant,31,2027,10.583
medium_variant,31,2028,11.257
medium_variant,31,2029,12.039
medium_variant,31,2030,12.963
medium_variant,31,2031,14.053
medium_variant,31,2032,15.239
medium_variant,31,2033,16.406
medium_variant,31,2034,17.391
medium_variant,31,2035,18.109
medium_variant,31,2036,18.625
medium_variant,31,2037,18.887
medium_variant,31,2038,18.974
medium_variant,31,2039,18.998
medium_variant,31,2040,19.036
medium_variant,31,2041,19.16
medium_variant,31,2042,19.266
medium_variant,31,2043,19.359
medium_variant,31,2044,19.418
medium_variant,31,2045,19.437
medium_variant,31,2046,19.584
medium_variant,31,2047,19.672
medium_variant,31,2048,19.79
medium_variant,31,2049,20.006
medium_variant,31,2050,20.369
medium_variant,31,2051,21.072
medium_variant,31,2052,21.878
medium_variant,31,2053,22.769
medium_variant,31,2054,23.705
medium_variant,31,2055,24.641
medium_variant,31,2056,25.744
medium_variant,31,2057,26.834
medium_variant,31,2058,27.869
medium_variant,31,2059,28.8
medium_variant,31,2060,29.603
medium_variant,31,2061,30.432
medium_variant,31,2062,31.101
medium_variant,31,2063,31.596
medium_variant,31,2064,31.895
medium_variant,31,2065,31.98
medium_variant,31,2066,31.981
medium_variant,31,2067,31.794
medium_variant,31,2068,31.441
medium_variant,31,2069,30.959
medium_variant,31,2070,30.384
medium_variant,31,2071,29.892
medium_variant,31,2072,29.315
medium_variant,31,2073,28.71
medium_variant,31,2074,28.134
medium_variant,31,2075,27.614
medium_variant,31,2076,27.335
medium_variant,31,2077,27.096
medium_variant,31,2078,26.957
medium_variant,31,2079,27.007
medium_variant,31,2080,27.295
medium_variant,31,2081,28.063
medium_variant,31,2082,29.068
medium_variant,31,2083,30.204
medium_variant,31,2084,31.304
medium_variant,31,2085,32.264
medium_variant,31,2086,33.278
medium_variant,31,2087,34.179
medium_variant,31,2088,34.954
medium_variant,31,2089,35.596
medium_variant,31,2090,36.109
medium_variant,31,2091,36.567
medium_variant,31,2092,36.891
medium_variant,31,2093,37.107
medium_variant,31,2094,37.251
medium_variant,31,2095,37.351
medium_variant,31,2096,37.396
medium_variant,31,2097,37.397
medium_variant,31,2098,37.375
medium_variant,31,2099,37.364
medium_variant,31,2100,37.391
high_variant,31,2015,7.46039974965282
low_variant,31,2015,7.46039974965282
constant_fertility,31,2015,7.46039974965282
instant_replacement,31,2015,7.46039974965282
zero_migration,31,2015,7.46039974965282
