variant,country,year,oldagedependencyratio2569
estimates,191,1950,10.701
estimates,191,1951,10.529
estimates,191,1952,10.276
estimates,191,1953,9.949
estimates,191,1954,9.558
estimates,191,1955,9.116
estimates,191,1956,9.04
estimates,191,1957,8.918
estimates,191,1958,8.753
estimates,191,1959,8.542
estimates,191,1960,8.291
estimates,191,1961,8.332
estimates,191,1962,8.332
estimates,191,1963,8.327
estimates,191,1964,8.363
estimates,191,1965,8.461
estimates,191,1966,8.856
estimates,191,1967,9.286
estimates,191,1968,9.726
estimates,191,1969,10.143
estimates,191,1970,10.518
estimates,191,1971,10.998
estimates,191,1972,11.408
estimates,191,1973,11.771
estimates,191,1974,12.125
estimates,191,1975,12.494
estimates,191,1976,13.007
estimates,191,1977,13.494
estimates,191,1978,13.927
estimates,191,1979,14.265
estimates,191,1980,14.489
estimates,191,1981,14.69
estimates,191,1982,14.782
estimates,191,1983,14.752
estimates,191,1984,14.576
estimates,191,1985,14.252
estimates,191,1986,14.043
estimates,191,1987,13.699
estimates,191,1988,13.318
estimates,191,1989,13.027
estimates,191,1990,12.894
estimates,191,1991,13.205
estimates,191,1992,13.639
estimates,191,1993,14.158
estimates,191,1994,14.71
estimates,191,1995,15.265
estimates,191,1996,15.93
estimates,191,1997,16.535
estimates,191,1998,17.087
estimates,191,1999,17.602
estimates,191,2000,18.092
estimates,191,2001,18.875
estimates,191,2002,19.634
estimates,191,2003,20.35
estimates,191,2004,20.987
estimates,191,2005,21.519
estimates,191,2006,22.117
estimates,191,2007,22.648
estimates,191,2008,23.084
estimates,191,2009,23.387
estimates,191,2010,23.562
estimates,191,2011,23.714
estimates,191,2012,23.696
estimates,191,2013,23.617
estimates,191,2014,23.618
estimates,191,2015,23.768
medium_variant,191,2015,23.768
medium_variant,191,2016,24.172
medium_variant,191,2017,24.7
medium_variant,191,2018,25.312
medium_variant,191,2019,25.942
medium_variant,191,2020,26.561
medium_variant,191,2021,27.355
medium_variant,191,2022,28.132
medium_variant,191,2023,28.897
medium_variant,191,2024,29.661
medium_variant,191,2025,30.427
medium_variant,191,2026,31.335
medium_variant,191,2027,32.241
medium_variant,191,2028,33.139
medium_variant,191,2029,33.994
