variant,region,year,dependencyratio2064
estimates,1517,1950,103.143
estimates,1517,1951,104.546
estimates,1517,1952,106.132
estimates,1517,1953,107.345
estimates,1517,1954,107.971
estimates,1517,1955,108.128
estimates,1517,1956,109.658
estimates,1517,1957,110.333
estimates,1517,1958,110.695
estimates,1517,1959,111.236
estimates,1517,1960,112.134
estimates,1517,1961,113.284
estimates,1517,1962,114.998
estimates,1517,1963,116.944
estimates,1517,1964,118.655
estimates,1517,1965,119.936
estimates,1517,1966,122.032
estimates,1517,1967,123.609
estimates,1517,1968,124.676
estimates,1517,1969,125.256
estimates,1517,1970,125.336
estimates,1517,1971,125.385
estimates,1517,1972,124.754
estimates,1517,1973,123.707
estimates,1517,1974,122.528
estimates,1517,1975,121.364
estimates,1517,1976,120.519
estimates,1517,1977,119.613
estimates,1517,1978,118.599
estimates,1517,1979,117.41
estimates,1517,1980,116.037
estimates,1517,1981,114.705
estimates,1517,1982,113.35
estimates,1517,1983,111.921
estimates,1517,1984,110.371
estimates,1517,1985,108.71
estimates,1517,1986,107.459
estimates,1517,1987,106.064
estimates,1517,1988,104.588
estimates,1517,1989,103.057
estimates,1517,1990,101.464
estimates,1517,1991,100.316
estimates,1517,1992,98.845
estimates,1517,1993,97.244
estimates,1517,1994,95.736
estimates,1517,1995,94.406
estimates,1517,1996,92.984
estimates,1517,1997,91.835
estimates,1517,1998,90.801
estimates,1517,1999,89.685
estimates,1517,2000,88.417
estimates,1517,2001,87.353
estimates,1517,2002,86.218
estimates,1517,2003,84.978
estimates,1517,2004,83.599
estimates,1517,2005,82.075
estimates,1517,2006,80.579
estimates,1517,2007,78.911
estimates,1517,2008,77.222
estimates,1517,2009,75.682
estimates,1517,2010,74.376
estimates,1517,2011,73.321
estimates,1517,2012,72.436
estimates,1517,2013,71.727
estimates,1517,2014,71.18
estimates,1517,2015,70.783
medium_variant,1517,2015,70.783
medium_variant,1517,2016,70.645
medium_variant,1517,2017,70.615
medium_variant,1517,2018,70.651
medium_variant,1517,2019,70.695
medium_variant,1517,2020,70.707
medium_variant,1517,2021,70.712
medium_variant,1517,2022,70.685
medium_variant,1517,2023,70.639
medium_variant,1517,2024,70.599
medium_variant,1517,2025,70.582
medium_variant,1517,2026,70.642
medium_variant,1517,2027,70.71
medium_variant,1517,2028,70.785
medium_variant,1517,2029,70.864
medium_variant,1517,2030,70.95
medium_variant,1517,2031,71.108
medium_variant,1517,2032,71.256
medium_variant,1517,2033,71.399
medium_variant,1517,2034,71.542
medium_variant,1517,2035,71.688
medium_variant,1517,2036,71.885
medium_variant,1517,2037,72.071
medium_variant,1517,2038,72.249
medium_variant,1517,2039,72.416
medium_variant,1517,2040,72.57
medium_variant,1517,2041,72.741
medium_variant,1517,2042,72.889
medium_variant,1517,2043,73.042
medium_variant,1517,2044,73.23
medium_variant,1517,2045,73.468
medium_variant,1517,2046,73.774
medium_variant,1517,2047,74.109
medium_variant,1517,2048,74.488
medium_variant,1517,2049,74.934
medium_variant,1517,2050,75.459
medium_variant,1517,2051,76.078
medium_variant,1517,2052,76.76
medium_variant,1517,2053,77.469
medium_variant,1517,2054,78.142
medium_variant,1517,2055,78.737
medium_variant,1517,2056,79.258
medium_variant,1517,2057,79.694
medium_variant,1517,2058,80.052
medium_variant,1517,2059,80.343
medium_variant,1517,2060,80.572
medium_variant,1517,2061,80.735
medium_variant,1517,2062,80.833
medium_variant,1517,2063,80.888
medium_variant,1517,2064,80.925
medium_variant,1517,2065,80.964
medium_variant,1517,2066,81.009
medium_variant,1517,2067,81.061
medium_variant,1517,2068,81.126
medium_variant,1517,2069,81.209
medium_variant,1517,2070,81.317
medium_variant,1517,2071,81.435
medium_variant,1517,2072,81.572
medium_variant,1517,2073,81.741
medium_variant,1517,2074,81.955
medium_variant,1517,2075,82.219
medium_variant,1517,2076,82.49
medium_variant,1517,2077,82.801
