region,variant,freq,year,mortality15to60per1000aliveat15
901,estimates,5yearly,1950,199.793076761121
901,estimates,5yearly,1955,176.838783791839
901,estimates,5yearly,1960,164.502551813547
901,estimates,5yearly,1965,162.151649988894
901,estimates,5yearly,1970,159.358581214788
901,estimates,5yearly,1975,155.558817257822
901,estimates,5yearly,1980,151.346782912966
901,estimates,5yearly,1985,138.179177861414
901,estimates,5yearly,1990,144.809651027162
901,estimates,5yearly,1995,140.28373655531
901,estimates,5yearly,2000,137.405780631569
901,estimates,5yearly,2005,128.417712982011
901,estimates,5yearly,2010,110.423182871485
901,medium_variant,5yearly,2015,101.901043036687
901,medium_variant,5yearly,2020,93.9300279287825
901,medium_variant,5yearly,2025,87.3652423511369
901,medium_variant,5yearly,2030,81.9578070458566
901,medium_variant,5yearly,2035,76.0107029982554
901,medium_variant,5yearly,2040,69.9939175911145
901,medium_variant,5yearly,2045,63.9043507683895
901,medium_variant,5yearly,2050,58.1110614981334
901,medium_variant,5yearly,2055,53.8373378694554
901,medium_variant,5yearly,2060,50.1386441833661
901,medium_variant,5yearly,2065,46.2416114665297
901,medium_variant,5yearly,2070,42.3789246204757
901,medium_variant,5yearly,2075,38.6318746193364
901,medium_variant,5yearly,2080,35.3217615082482
901,medium_variant,5yearly,2085,32.3956239976617
901,medium_variant,5yearly,2090,29.5317697591383
901,medium_variant,5yearly,2095,26.9403740096787
901,estimates,5yearly,Regi,More developed regions
901,medium_variant,5yearly,Regi,More developed regions
