region,variant,freq,year,mortality15to60per1000aliveat15
925,estimates,5yearly,1950,189.209315410137
925,estimates,5yearly,1955,168.85037771942
925,estimates,5yearly,1960,154.374281213819
925,estimates,5yearly,1965,145.648978213483
925,estimates,5yearly,1970,137.114380481056
925,estimates,5yearly,1975,129.387158916767
925,estimates,5yearly,1980,120.073400972981
925,estimates,5yearly,1985,111.776334508024
925,estimates,5yearly,1990,106.684927471971
925,estimates,5yearly,1995,95.8873107759516
925,estimates,5yearly,2000,86.2793695546035
925,estimates,5yearly,2005,76.853561901186
925,estimates,5yearly,2010,67.8349788250708
925,medium_variant,5yearly,2015,60.5903660123239
925,medium_variant,5yearly,2020,55.4859024867833
925,medium_variant,5yearly,2025,51.2518155976761
925,medium_variant,5yearly,2030,47.3935314417754
925,medium_variant,5yearly,2035,43.7077607574118
925,medium_variant,5yearly,2040,40.0974511458996
925,medium_variant,5yearly,2045,36.6076819227705
925,medium_variant,5yearly,2050,33.2427454586479
925,medium_variant,5yearly,2055,30.1587930596757
925,medium_variant,5yearly,2060,27.3238978103998
925,medium_variant,5yearly,2065,24.7129749682867
925,medium_variant,5yearly,2070,22.3935246221657
925,medium_variant,5yearly,2075,20.1453859812525
925,medium_variant,5yearly,2080,18.0668932751978
925,medium_variant,5yearly,2085,16.2369035078395
925,medium_variant,5yearly,2090,14.4727321528251
925,medium_variant,5yearly,2095,12.8577302843763
925,estimates,5yearly,Regi,Southern Europe
925,medium_variant,5yearly,Regi,Southern Europe
