region,variant,freq,year,mortality15to60per1000aliveat15
924,estimates,5yearly,1950,165.829539213162
924,estimates,5yearly,1955,150.968799355957
924,estimates,5yearly,1960,146.121719933843
924,estimates,5yearly,1965,143.080696444244
924,estimates,5yearly,1970,142.302917283004
924,estimates,5yearly,1975,138.487469556579
924,estimates,5yearly,1980,129.361320497364
924,estimates,5yearly,1985,118.244623419369
924,estimates,5yearly,1990,113.48604057045
924,estimates,5yearly,1995,104.358642670526
924,estimates,5yearly,2000,94.0543460321296
924,estimates,5yearly,2005,86.9271801446158
924,estimates,5yearly,2010,75.4058250809637
924,medium_variant,5yearly,2015,68.4539280387124
924,medium_variant,5yearly,2020,62.3397117140037
924,medium_variant,5yearly,2025,56.8533417361334
924,medium_variant,5yearly,2030,51.7918061631991
924,medium_variant,5yearly,2035,47.4548214878995
924,medium_variant,5yearly,2040,43.6632613774905
924,medium_variant,5yearly,2045,40.1485578951269
924,medium_variant,5yearly,2050,36.7962571230307
924,medium_variant,5yearly,2055,33.7647691026242
924,medium_variant,5yearly,2060,30.8657929971803
924,medium_variant,5yearly,2065,28.2282912910822
924,medium_variant,5yearly,2070,25.7628010328574
924,medium_variant,5yearly,2075,23.3879327851074
924,medium_variant,5yearly,2080,21.1907463586765
924,medium_variant,5yearly,2085,19.0265469001352
924,medium_variant,5yearly,2090,17.0502733148212
924,medium_variant,5yearly,2095,15.2545515276606
924,estimates,5yearly,Regi,Northern Europe
924,medium_variant,5yearly,Regi,Northern Europe
