region,variant,freq,year,mortality15to60per1000aliveat15
934,estimates,5yearly,1950,459.439869166554
934,estimates,5yearly,1955,430.576898135466
934,estimates,5yearly,1960,402.334540399328
934,estimates,5yearly,1965,319.065984765918
934,estimates,5yearly,1970,268.112693778094
934,estimates,5yearly,1975,233.28942369113
934,estimates,5yearly,1980,218.719289271939
934,estimates,5yearly,1985,202.571869691149
934,estimates,5yearly,1990,190.979622658201
934,estimates,5yearly,1995,183.988192668288
934,estimates,5yearly,2000,172.888721624996
934,estimates,5yearly,2005,160.024303845473
934,estimates,5yearly,2010,147.058365505548
934,medium_variant,5yearly,2015,138.167279252386
934,medium_variant,5yearly,2020,130.534467511576
934,medium_variant,5yearly,2025,124.49262590837
934,medium_variant,5yearly,2030,119.317581453479
934,medium_variant,5yearly,2035,113.709108264025
934,medium_variant,5yearly,2040,107.887533405388
934,medium_variant,5yearly,2045,103.102421565291
934,medium_variant,5yearly,2050,99.0235292519677
934,medium_variant,5yearly,2055,94.2321989197496
934,medium_variant,5yearly,2060,89.0387668354234
934,medium_variant,5yearly,2065,84.0979357311836
934,medium_variant,5yearly,2070,79.7787766163654
934,medium_variant,5yearly,2075,75.6303988408197
934,medium_variant,5yearly,2080,71.4969025353263
934,medium_variant,5yearly,2085,67.3189483237795
934,medium_variant,5yearly,2090,63.2783119512452
934,medium_variant,5yearly,2095,59.24139523463
934,estimates,5yearly,Regi,"Less developed regions, excluding least developed countries"
934,medium_variant,5yearly,Regi,"Less developed regions, excluding least developed countries"
