region,variant,freq,year,mortality15to60per1000aliveat15
922,estimates,5yearly,1950,368.558383926797
922,estimates,5yearly,1955,330.410651846375
922,estimates,5yearly,1960,297.584614801239
922,estimates,5yearly,1965,267.623775438272
922,estimates,5yearly,1970,242.281279634799
922,estimates,5yearly,1975,218.605057571433
922,estimates,5yearly,1980,211.118368181598
922,estimates,5yearly,1985,184.42558648951
922,estimates,5yearly,1990,168.353494762371
922,estimates,5yearly,1995,153.609948323094
922,estimates,5yearly,2000,138.573856252305
922,estimates,5yearly,2005,131.649999712622
922,estimates,5yearly,2010,127.711214173505
922,medium_variant,5yearly,2015,116.642708261956
922,medium_variant,5yearly,2020,104.722293418014
922,medium_variant,5yearly,2025,98.0359908891246
922,medium_variant,5yearly,2030,92.8451552982436
922,medium_variant,5yearly,2035,88.3367625088432
922,medium_variant,5yearly,2040,84.0092062173176
922,medium_variant,5yearly,2045,79.9753229746122
922,medium_variant,5yearly,2050,75.7686728814063
922,medium_variant,5yearly,2055,71.7829705104861
922,medium_variant,5yearly,2060,68.5755185978922
922,medium_variant,5yearly,2065,65.384953923227
922,medium_variant,5yearly,2070,62.0007882263549
922,medium_variant,5yearly,2075,58.4722846447202
922,medium_variant,5yearly,2080,54.963150892397
922,medium_variant,5yearly,2085,51.368762024783
922,medium_variant,5yearly,2090,47.7281906243339
922,medium_variant,5yearly,2095,44.0347073058659
