region,variant,freq,year,mortality15to60per1000aliveat15
957,estimates,5yearly,1950,455.28253919041
957,estimates,5yearly,1955,401.586805812299
957,estimates,5yearly,1960,369.170704524268
957,estimates,5yearly,1965,335.538071650563
957,estimates,5yearly,1970,305.676372758632
957,estimates,5yearly,1975,278.307787626713
957,estimates,5yearly,1980,244.932816653096
957,estimates,5yearly,1985,222.959955291159
957,estimates,5yearly,1990,196.280672637946
957,estimates,5yearly,1995,174.546568123924
957,estimates,5yearly,2000,153.379610848669
957,estimates,5yearly,2005,131.077837994201
957,estimates,5yearly,2010,117.541017170452
957,medium_variant,5yearly,2015,107.875935733781
957,medium_variant,5yearly,2020,98.4288925158611
957,medium_variant,5yearly,2025,89.9574741597254
957,medium_variant,5yearly,2030,81.8729012251456
957,medium_variant,5yearly,2035,74.4073490612442
957,medium_variant,5yearly,2040,68.2231447372534
957,medium_variant,5yearly,2045,62.6680642556255
957,medium_variant,5yearly,2050,57.7447667817956
957,medium_variant,5yearly,2055,52.9653154159035
957,medium_variant,5yearly,2060,48.537067332075
957,medium_variant,5yearly,2065,44.5896994748978
957,medium_variant,5yearly,2070,41.0816200437585
957,medium_variant,5yearly,2075,38.0508063078196
957,medium_variant,5yearly,2080,35.2870056508464
957,medium_variant,5yearly,2085,32.6222425033735
957,medium_variant,5yearly,2090,30.0852788670348
957,medium_variant,5yearly,2095,27.7730781312179
957,estimates,5yearly,Regi,Polynesia
957,medium_variant,5yearly,Regi,Polynesia
