variant,country,year,crudedeathrateper1000population
estimates,116,1950,23.705
estimates,116,1951,23.554
estimates,116,1952,23.265
estimates,116,1953,23.003
estimates,116,1954,22.768
estimates,116,1955,22.559
estimates,116,1956,22.374
estimates,116,1957,22.21
estimates,116,1958,22.061
estimates,116,1959,21.918
estimates,116,1960,21.77
estimates,116,1961,21.61
estimates,116,1962,21.436
estimates,116,1963,21.255
estimates,116,1964,21.087
estimates,116,1965,20.86
estimates,116,1966,20.473
estimates,116,1967,19.967
estimates,116,1968,19.487
estimates,116,1969,19.247
estimates,116,1970,19.886
estimates,116,1971,22.165
estimates,116,1972,26.32
estimates,116,1973,32.166
estimates,116,1974,39.185
estimates,116,1975,46.18
estimates,116,1976,51.642
estimates,116,1977,54.444
estimates,116,1978,53.981
estimates,116,1979,50.262
estimates,116,1980,43.92
estimates,116,1981,36.102
estimates,116,1982,28.323
estimates,116,1983,21.785
estimates,116,1984,17.007
estimates,116,1985,14.164
estimates,116,1986,13.009
estimates,116,1987,12.757
estimates,116,1988,12.753
estimates,116,1989,12.775
estimates,116,1990,12.678
estimates,116,1991,12.43
estimates,116,1992,12.139
estimates,116,1993,11.88
estimates,116,1994,11.625
estimates,116,1995,11.346
estimates,116,1996,11.026
estimates,116,1997,10.669
estimates,116,1998,10.28
estimates,116,1999,9.863
estimates,116,2000,9.426
estimates,116,2001,8.983
estimates,116,2002,8.553
estimates,116,2003,8.153
estimates,116,2004,7.792
estimates,116,2005,7.478
estimates,116,2006,7.213
estimates,116,2007,6.99
estimates,116,2008,6.801
estimates,116,2009,6.643
estimates,116,2010,6.512
estimates,116,2011,6.404
estimates,116,2012,6.313
estimates,116,2013,6.236
estimates,116,2014,6.169
estimates,116,2015,6.109
medium_variant,116,2015,6.109
medium_variant,116,2016,6.055
medium_variant,116,2017,6.007
medium_variant,116,2018,5.968
medium_variant,116,2019,5.935
medium_variant,116,2020,5.91
medium_variant,116,2021,5.893
medium_variant,116,2022,5.884
medium_variant,116,2023,5.883
medium_variant,116,2024,5.89
medium_variant,116,2025,5.903
medium_variant,116,2026,5.922
medium_variant,116,2027,5.946
medium_variant,116,2028,5.973
medium_variant,116,2029,6.004
medium_variant,116,2030,6.037
medium_variant,116,2031,6.073
medium_variant,116,2032,6.112
medium_variant,116,2033,6.154
medium_variant,116,2034,6.2
medium_variant,116,2035,6.249
medium_variant,116,2036,6.301
medium_variant,116,2037,6.357
medium_variant,116,2038,6.416
medium_variant,116,2039,6.478
medium_variant,116,2040,6.542
medium_variant,116,2041,6.61
medium_variant,116,2042,6.681
medium_variant,116,2043,6.753
medium_variant,116,2044,6.829
medium_variant,116,2045,6.906
medium_variant,116,2046,6.985
medium_variant,116,2047,7.066
medium_variant,116,2048,7.148
medium_variant,116,2049,7.233
medium_variant,116,2050,7.319
medium_variant,116,2051,7.408
medium_variant,116,2052,7.5
medium_variant,116,2053,7.594
medium_variant,116,2054,7.692
medium_variant,116,2055,7.793
medium_variant,116,2056,7.897
medium_variant,116,2057,8.004
medium_variant,116,2058,8.114
medium_variant,116,2059,8.227
medium_variant,116,2060,8.343
medium_variant,116,2061,8.463
medium_variant,116,2062,8.588
medium_variant,116,2063,8.716
medium_variant,116,2064,8.847
medium_variant,116,2065,8.981
medium_variant,116,2066,9.117
medium_variant,116,2067,9.253
medium_variant,116,2068,9.387
medium_variant,116,2069,9.519
medium_variant,116,2070,9.647
medium_variant,116,2071,9.768
medium_variant,116,2072,9.884
medium_variant,116,2073,9.993
medium_variant,116,2074,10.095
medium_variant,116,2075,10.188
medium_variant,116,2076,10.274
medium_variant,116,2077,10.352
medium_variant,116,2078,10.423
medium_variant,116,2079,10.487
medium_variant,116,2080,10.545
medium_variant,116,2081,10.595
medium_variant,116,2082,10.639
medium_variant,116,2083,10.676
medium_variant,116,2084,10.71
medium_variant,116,2085,10.741
medium_variant,116,2086,10.773
medium_variant,116,2087,10.806
medium_variant,116,2088,10.843
medium_variant,116,2089,10.884
medium_variant,116,2090,10.929
medium_variant,116,2091,10.98
medium_variant,116,2092,11.034
medium_variant,116,2093,11.091
medium_variant,116,2094,11.151
medium_variant,116,2095,11.214
medium_variant,116,2096,11.278
medium_variant,116,2097,11.345
medium_variant,116,2098,11.413
medium_variant,116,2099,11.483
