variant,country,year,crudedeathrateper1000population
estimates,242,1950,15.828
estimates,242,1951,15.592
estimates,242,1952,15.123
estimates,242,1953,14.658
estimates,242,1954,14.198
estimates,242,1955,13.741
estimates,242,1956,13.289
estimates,242,1957,12.842
estimates,242,1958,12.401
estimates,242,1959,11.966
estimates,242,1960,11.54
estimates,242,1961,11.125
estimates,242,1962,10.723
estimates,242,1963,10.339
estimates,242,1964,9.976
estimates,242,1965,9.639
estimates,242,1966,9.331
estimates,242,1967,9.054
estimates,242,1968,8.807
estimates,242,1969,8.59
estimates,242,1970,8.401
estimates,242,1971,8.241
estimates,242,1972,8.103
estimates,242,1973,7.983
estimates,242,1974,7.875
estimates,242,1975,7.773
estimates,242,1976,7.673
estimates,242,1977,7.57
estimates,242,1978,7.464
estimates,242,1979,7.353
estimates,242,1980,7.238
estimates,242,1981,7.119
estimates,242,1982,7.001
estimates,242,1983,6.887
estimates,242,1984,6.78
estimates,242,1985,6.68
estimates,242,1986,6.588
estimates,242,1987,6.503
estimates,242,1988,6.426
estimates,242,1989,6.355
estimates,242,1990,6.29
estimates,242,1991,6.229
estimates,242,1992,6.172
estimates,242,1993,6.119
estimates,242,1994,6.071
estimates,242,1995,6.032
estimates,242,1996,6.008
estimates,242,1997,5.999
estimates,242,1998,6.009
estimates,242,1999,6.035
estimates,242,2000,6.077
estimates,242,2001,6.131
estimates,242,2002,6.193
estimates,242,2003,6.257
estimates,242,2004,6.321
estimates,242,2005,6.382
estimates,242,2006,6.437
estimates,242,2007,6.488
estimates,242,2008,6.536
estimates,242,2009,6.583
estimates,242,2010,6.632
estimates,242,2011,6.685
estimates,242,2012,6.747
estimates,242,2013,6.818
estimates,242,2014,6.9
estimates,242,2015,6.992
medium_variant,242,2015,6.992
medium_variant,242,2016,7.091
medium_variant,242,2017,7.194
medium_variant,242,2018,7.3
medium_variant,242,2019,7.405
medium_variant,242,2020,7.51
medium_variant,242,2021,7.615
medium_variant,242,2022,7.72
medium_variant,242,2023,7.826
medium_variant,242,2024,7.932
medium_variant,242,2025,8.039
medium_variant,242,2026,8.146
medium_variant,242,2027,8.253
medium_variant,242,2028,8.359
medium_variant,242,2029,8.464
medium_variant,242,2030,8.567
medium_variant,242,2031,8.667
medium_variant,242,2032,8.765
medium_variant,242,2033,8.86
medium_variant,242,2034,8.951
medium_variant,242,2035,9.04
medium_variant,242,2036,9.126
medium_variant,242,2037,9.209
medium_variant,242,2038,9.29
medium_variant,242,2039,9.369
medium_variant,242,2040,9.446
medium_variant,242,2041,9.521
medium_variant,242,2042,9.594
medium_variant,242,2043,9.666
medium_variant,242,2044,9.736
medium_variant,242,2045,9.804
medium_variant,242,2046,9.87
medium_variant,242,2047,9.935
medium_variant,242,2048,9.999
medium_variant,242,2049,10.061
medium_variant,242,2050,10.122
medium_variant,242,2051,10.183
medium_variant,242,2052,10.243
medium_variant,242,2053,10.304
medium_variant,242,2054,10.365
medium_variant,242,2055,10.426
medium_variant,242,2056,10.489
medium_variant,242,2057,10.552
medium_variant,242,2058,10.616
medium_variant,242,2059,10.682
medium_variant,242,2060,10.748
medium_variant,242,2061,10.815
medium_variant,242,2062,10.882
medium_variant,242,2063,10.95
medium_variant,242,2064,11.018
medium_variant,242,2065,11.085
medium_variant,242,2066,11.15
medium_variant,242,2067,11.213
medium_variant,242,2068,11.274
medium_variant,242,2069,11.333
medium_variant,242,2070,11.389
medium_variant,242,2071,11.443
medium_variant,242,2072,11.495
medium_variant,242,2073,11.546
medium_variant,242,2074,11.595
medium_variant,242,2075,11.643
medium_variant,242,2076,11.688
medium_variant,242,2077,11.732
medium_variant,242,2078,11.774
medium_variant,242,2079,11.815
medium_variant,242,2080,11.856
medium_variant,242,2081,11.898
medium_variant,242,2082,11.943
medium_variant,242,2083,11.99
medium_variant,242,2084,12.04
medium_variant,242,2085,12.094
medium_variant,242,2086,12.151
medium_variant,242,2087,12.21
medium_variant,242,2088,12.271
medium_variant,242,2089,12.332
medium_variant,242,2090,12.394
medium_variant,242,2091,12.455
medium_variant,242,2092,12.516
medium_variant,242,2093,12.577
medium_variant,242,2094,12.636
medium_variant,242,2095,12.694
medium_variant,242,2096,12.75
medium_variant,242,2097,12.806
medium_variant,242,2098,12.86
medium_variant,242,2099,12.913
