variant,country,year,crudedeathrateper1000population
estimates,554,1950,9.268
estimates,554,1951,9.235
estimates,554,1952,9.17
estimates,554,1953,9.11
estimates,554,1954,9.053
estimates,554,1955,9.001
estimates,554,1956,8.953
estimates,554,1957,8.908
estimates,554,1958,8.866
estimates,554,1959,8.826
estimates,554,1960,8.786
estimates,554,1961,8.745
estimates,554,1962,8.703
estimates,554,1963,8.658
estimates,554,1964,8.61
estimates,554,1965,8.562
estimates,554,1966,8.515
estimates,554,1967,8.471
estimates,554,1968,8.431
estimates,554,1969,8.395
estimates,554,1970,8.362
estimates,554,1971,8.329
estimates,554,1972,8.294
estimates,554,1973,8.256
estimates,554,1974,8.216
estimates,554,1975,8.174
estimates,554,1976,8.136
estimates,554,1977,8.102
estimates,554,1978,8.076
estimates,554,1979,8.06
estimates,554,1980,8.056
estimates,554,1981,8.068
estimates,554,1982,8.093
estimates,554,1983,8.128
estimates,554,1984,8.166
estimates,554,1985,8.195
estimates,554,1986,8.202
estimates,554,1987,8.179
estimates,554,1988,8.123
estimates,554,1989,8.036
estimates,554,1990,7.928
estimates,554,1991,7.811
estimates,554,1992,7.7
estimates,554,1993,7.606
estimates,554,1994,7.533
estimates,554,1995,7.48
estimates,554,1996,7.44
estimates,554,1997,7.404
estimates,554,1998,7.363
estimates,554,1999,7.314
estimates,554,2000,7.257
estimates,554,2001,7.191
estimates,554,2002,7.122
estimates,554,2003,7.055
estimates,554,2004,6.991
estimates,554,2005,6.935
estimates,554,2006,6.889
estimates,554,2007,6.855
estimates,554,2008,6.833
estimates,554,2009,6.822
estimates,554,2010,6.821
estimates,554,2011,6.829
estimates,554,2012,6.842
estimates,554,2013,6.857
estimates,554,2014,6.875
estimates,554,2015,6.893
medium_variant,554,2015,6.893
medium_variant,554,2016,6.913
medium_variant,554,2017,6.937
medium_variant,554,2018,6.965
medium_variant,554,2019,6.998
medium_variant,554,2020,7.037
medium_variant,554,2021,7.08
medium_variant,554,2022,7.128
medium_variant,554,2023,7.18
medium_variant,554,2024,7.238
medium_variant,554,2025,7.301
medium_variant,554,2026,7.371
medium_variant,554,2027,7.449
medium_variant,554,2028,7.534
medium_variant,554,2029,7.626
medium_variant,554,2030,7.726
medium_variant,554,2031,7.833
medium_variant,554,2032,7.947
medium_variant,554,2033,8.067
medium_variant,554,2034,8.19
medium_variant,554,2035,8.316
medium_variant,554,2036,8.442
medium_variant,554,2037,8.568
medium_variant,554,2038,8.693
medium_variant,554,2039,8.814
medium_variant,554,2040,8.93
medium_variant,554,2041,9.041
medium_variant,554,2042,9.147
medium_variant,554,2043,9.248
medium_variant,554,2044,9.343
medium_variant,554,2045,9.431
medium_variant,554,2046,9.513
medium_variant,554,2047,9.589
medium_variant,554,2048,9.659
medium_variant,554,2049,9.722
medium_variant,554,2050,9.779
medium_variant,554,2051,9.829
medium_variant,554,2052,9.873
medium_variant,554,2053,9.909
medium_variant,554,2054,9.939
medium_variant,554,2055,9.96
medium_variant,554,2056,9.972
medium_variant,554,2057,9.974
medium_variant,554,2058,9.968
medium_variant,554,2059,9.953
medium_variant,554,2060,9.931
medium_variant,554,2061,9.901
medium_variant,554,2062,9.867
medium_variant,554,2063,9.829
medium_variant,554,2064,9.79
medium_variant,554,2065,9.753
medium_variant,554,2066,9.718
medium_variant,554,2067,9.688
medium_variant,554,2068,9.662
medium_variant,554,2069,9.644
medium_variant,554,2070,9.635
medium_variant,554,2071,9.637
medium_variant,554,2072,9.649
medium_variant,554,2073,9.671
medium_variant,554,2074,9.703
medium_variant,554,2075,9.746
medium_variant,554,2076,9.801
medium_variant,554,2077,9.866
medium_variant,554,2078,9.939
medium_variant,554,2079,10.016
medium_variant,554,2080,10.095
medium_variant,554,2081,10.174
medium_variant,554,2082,10.248
medium_variant,554,2083,10.315
medium_variant,554,2084,10.373
medium_variant,554,2085,10.42
medium_variant,554,2086,10.454
medium_variant,554,2087,10.477
medium_variant,554,2088,10.49
medium_variant,554,2089,10.495
medium_variant,554,2090,10.492
medium_variant,554,2091,10.483
medium_variant,554,2092,10.47
medium_variant,554,2093,10.453
medium_variant,554,2094,10.435
medium_variant,554,2095,10.416
medium_variant,554,2096,10.396
medium_variant,554,2097,10.376
medium_variant,554,2098,10.355
medium_variant,554,2099,10.333
