variant,country,year,crudedeathrateper1000population
estimates,562,1950,28.858
estimates,562,1951,28.862
estimates,562,1952,28.869
estimates,562,1953,28.875
estimates,562,1954,28.88
estimates,562,1955,28.884
estimates,562,1956,28.887
estimates,562,1957,28.889
estimates,562,1958,28.891
estimates,562,1959,28.891
estimates,562,1960,28.891
estimates,562,1961,28.889
estimates,562,1962,28.885
estimates,562,1963,28.877
estimates,562,1964,28.861
estimates,562,1965,28.834
estimates,562,1966,28.793
estimates,562,1967,28.735
estimates,562,1968,28.658
estimates,562,1969,28.56
estimates,562,1970,28.441
estimates,562,1971,28.302
estimates,562,1972,28.145
estimates,562,1973,27.971
estimates,562,1974,27.779
estimates,562,1975,27.562
estimates,562,1976,27.315
estimates,562,1977,27.034
estimates,562,1978,26.724
estimates,562,1979,26.391
estimates,562,1980,26.049
estimates,562,1981,25.718
estimates,562,1982,25.409
estimates,562,1983,25.127
estimates,562,1984,24.869
estimates,562,1985,24.624
estimates,562,1986,24.374
estimates,562,1987,24.099
estimates,562,1988,23.782
estimates,562,1989,23.414
estimates,562,1990,22.987
estimates,562,1991,22.5
estimates,562,1992,21.963
estimates,562,1993,21.39
estimates,562,1994,20.79
estimates,562,1995,20.178
estimates,562,1996,19.566
estimates,562,1997,18.965
estimates,562,1998,18.38
estimates,562,1999,17.816
estimates,562,2000,17.269
estimates,562,2001,16.732
estimates,562,2002,16.195
estimates,562,2003,15.65
estimates,562,2004,15.097
estimates,562,2005,14.535
estimates,562,2006,13.965
estimates,562,2007,13.396
estimates,562,2008,12.836
estimates,562,2009,12.296
estimates,562,2010,11.786
estimates,562,2011,11.32
estimates,562,2012,10.903
estimates,562,2013,10.536
estimates,562,2014,10.218
estimates,562,2015,9.942
medium_variant,562,2015,9.942
medium_variant,562,2016,9.7
medium_variant,562,2017,9.478
medium_variant,562,2018,9.265
medium_variant,562,2019,9.054
medium_variant,562,2020,8.841
medium_variant,562,2021,8.626
medium_variant,562,2022,8.414
medium_variant,562,2023,8.208
medium_variant,562,2024,8.008
medium_variant,562,2025,7.814
medium_variant,562,2026,7.627
medium_variant,562,2027,7.446
medium_variant,562,2028,7.27
medium_variant,562,2029,7.101
medium_variant,562,2030,6.937
medium_variant,562,2031,6.778
medium_variant,562,2032,6.623
medium_variant,562,2033,6.473
medium_variant,562,2034,6.327
medium_variant,562,2035,6.185
medium_variant,562,2036,6.048
medium_variant,562,2037,5.916
medium_variant,562,2038,5.788
medium_variant,562,2039,5.666
medium_variant,562,2040,5.549
medium_variant,562,2041,5.438
medium_variant,562,2042,5.333
medium_variant,562,2043,5.233
medium_variant,562,2044,5.138
medium_variant,562,2045,5.049
medium_variant,562,2046,4.964
medium_variant,562,2047,4.885
medium_variant,562,2048,4.809
medium_variant,562,2049,4.739
medium_variant,562,2050,4.673
medium_variant,562,2051,4.612
medium_variant,562,2052,4.556
medium_variant,562,2053,4.506
medium_variant,562,2054,4.46
medium_variant,562,2055,4.42
medium_variant,562,2056,4.385
medium_variant,562,2057,4.354
medium_variant,562,2058,4.328
medium_variant,562,2059,4.306
medium_variant,562,2060,4.287
medium_variant,562,2061,4.272
medium_variant,562,2062,4.261
medium_variant,562,2063,4.254
medium_variant,562,2064,4.249
medium_variant,562,2065,4.249
medium_variant,562,2066,4.252
medium_variant,562,2067,4.26
medium_variant,562,2068,4.271
medium_variant,562,2069,4.286
medium_variant,562,2070,4.305
medium_variant,562,2071,4.328
medium_variant,562,2072,4.354
medium_variant,562,2073,4.383
medium_variant,562,2074,4.415
medium_variant,562,2075,4.45
medium_variant,562,2076,4.487
medium_variant,562,2077,4.527
medium_variant,562,2078,4.569
medium_variant,562,2079,4.613
medium_variant,562,2080,4.659
medium_variant,562,2081,4.707
medium_variant,562,2082,4.756
medium_variant,562,2083,4.807
medium_variant,562,2084,4.859
medium_variant,562,2085,4.913
medium_variant,562,2086,4.967
medium_variant,562,2087,5.023
medium_variant,562,2088,5.079
medium_variant,562,2089,5.137
medium_variant,562,2090,5.196
medium_variant,562,2091,5.255
medium_variant,562,2092,5.316
medium_variant,562,2093,5.377
medium_variant,562,2094,5.438
medium_variant,562,2095,5.501
medium_variant,562,2096,5.564
medium_variant,562,2097,5.628
medium_variant,562,2098,5.693
medium_variant,562,2099,5.758
