variant,country,year,crudedeathrateper1000population
estimates,768,1950,31.912
estimates,768,1951,31.411
estimates,768,1952,30.431
estimates,768,1953,29.494
estimates,768,1954,28.601
estimates,768,1955,27.751
estimates,768,1956,26.945
estimates,768,1957,26.182
estimates,768,1958,25.46
estimates,768,1959,24.777
estimates,768,1960,24.13
estimates,768,1961,23.516
estimates,768,1962,22.93
estimates,768,1963,22.368
estimates,768,1964,21.825
estimates,768,1965,21.299
estimates,768,1966,20.787
estimates,768,1967,20.289
estimates,768,1968,19.804
estimates,768,1969,19.332
estimates,768,1970,18.87
estimates,768,1971,18.418
estimates,768,1972,17.975
estimates,768,1973,17.543
estimates,768,1974,17.12
estimates,768,1975,16.704
estimates,768,1976,16.293
estimates,768,1977,15.888
estimates,768,1978,15.49
estimates,768,1979,15.101
estimates,768,1980,14.722
estimates,768,1981,14.356
estimates,768,1982,14.006
estimates,768,1983,13.676
estimates,768,1984,13.368
estimates,768,1985,13.084
estimates,768,1986,12.822
estimates,768,1987,12.582
estimates,768,1988,12.368
estimates,768,1989,12.184
estimates,768,1990,12.045
estimates,768,1991,11.967
estimates,768,1992,11.954
estimates,768,1993,12.004
estimates,768,1994,12.105
estimates,768,1995,12.24
estimates,768,1996,12.39
estimates,768,1997,12.53
estimates,768,1998,12.638
estimates,768,1999,12.697
estimates,768,2000,12.697
estimates,768,2001,12.634
estimates,768,2002,12.516
estimates,768,2003,12.352
estimates,768,2004,12.146
estimates,768,2005,11.896
estimates,768,2006,11.602
estimates,768,2007,11.269
estimates,768,2008,10.909
estimates,768,2009,10.535
estimates,768,2010,10.165
estimates,768,2011,9.818
estimates,768,2012,9.504
estimates,768,2013,9.232
estimates,768,2014,9.007
estimates,768,2015,8.827
medium_variant,768,2015,8.827
medium_variant,768,2016,8.686
medium_variant,768,2017,8.569
medium_variant,768,2018,8.465
medium_variant,768,2019,8.367
medium_variant,768,2020,8.272
medium_variant,768,2021,8.18
medium_variant,768,2022,8.095
medium_variant,768,2023,8.018
medium_variant,768,2024,7.948
medium_variant,768,2025,7.884
medium_variant,768,2026,7.827
medium_variant,768,2027,7.776
medium_variant,768,2028,7.73
medium_variant,768,2029,7.688
medium_variant,768,2030,7.651
medium_variant,768,2031,7.618
medium_variant,768,2032,7.589
medium_variant,768,2033,7.565
medium_variant,768,2034,7.545
medium_variant,768,2035,7.529
medium_variant,768,2036,7.516
medium_variant,768,2037,7.507
medium_variant,768,2038,7.502
medium_variant,768,2039,7.5
medium_variant,768,2040,7.501
medium_variant,768,2041,7.506
medium_variant,768,2042,7.514
medium_variant,768,2043,7.527
medium_variant,768,2044,7.542
medium_variant,768,2045,7.561
medium_variant,768,2046,7.582
medium_variant,768,2047,7.605
medium_variant,768,2048,7.63
medium_variant,768,2049,7.657
medium_variant,768,2050,7.684
medium_variant,768,2051,7.712
medium_variant,768,2052,7.742
medium_variant,768,2053,7.773
medium_variant,768,2054,7.806
medium_variant,768,2055,7.839
medium_variant,768,2056,7.874
medium_variant,768,2057,7.909
medium_variant,768,2058,7.945
medium_variant,768,2059,7.982
medium_variant,768,2060,8.019
medium_variant,768,2061,8.056
medium_variant,768,2062,8.094
medium_variant,768,2063,8.131
medium_variant,768,2064,8.168
medium_variant,768,2065,8.206
medium_variant,768,2066,8.244
medium_variant,768,2067,8.283
medium_variant,768,2068,8.323
medium_variant,768,2069,8.364
medium_variant,768,2070,8.407
medium_variant,768,2071,8.453
medium_variant,768,2072,8.501
medium_variant,768,2073,8.551
medium_variant,768,2074,8.604
medium_variant,768,2075,8.66
medium_variant,768,2076,8.719
medium_variant,768,2077,8.781
medium_variant,768,2078,8.845
medium_variant,768,2079,8.912
medium_variant,768,2080,8.979
medium_variant,768,2081,9.048
medium_variant,768,2082,9.117
medium_variant,768,2083,9.186
medium_variant,768,2084,9.255
medium_variant,768,2085,9.323
medium_variant,768,2086,9.39
medium_variant,768,2087,9.456
medium_variant,768,2088,9.522
medium_variant,768,2089,9.587
medium_variant,768,2090,9.652
medium_variant,768,2091,9.715
medium_variant,768,2092,9.777
medium_variant,768,2093,9.838
medium_variant,768,2094,9.898
medium_variant,768,2095,9.956
medium_variant,768,2096,10.014
medium_variant,768,2097,10.07
medium_variant,768,2098,10.125
medium_variant,768,2099,10.179
