variant,global,year,potentialsupport2564_65
estimates,900,1950,15.279
estimates,900,1951,15.043
estimates,900,1952,14.907
estimates,900,1953,14.874
estimates,900,1954,14.934
estimates,900,1955,15.078
estimates,900,1956,14.825
estimates,900,1957,14.674
estimates,900,1958,14.619
estimates,900,1959,14.664
estimates,900,1960,14.805
estimates,900,1961,14.566
estimates,900,1962,14.424
estimates,900,1963,14.361
estimates,900,1964,14.356
estimates,900,1965,14.398
estimates,900,1966,14.089
estimates,900,1967,13.84
estimates,900,1968,13.644
estimates,900,1969,13.498
estimates,900,1970,13.396
estimates,900,1971,13.101
estimates,900,1972,12.878
estimates,900,1973,12.718
estimates,900,1974,12.609
estimates,900,1975,12.543
estimates,900,1976,12.311
estimates,900,1977,12.144
estimates,900,1978,12.03
estimates,900,1979,11.95
estimates,900,1980,11.894
estimates,900,1981,11.713
estimates,900,1982,11.566
estimates,900,1983,11.47
estimates,900,1984,11.445
estimates,900,1985,11.496
estimates,900,1986,11.467
estimates,900,1987,11.512
estimates,900,1988,11.6
estimates,900,1989,11.694
estimates,900,1990,11.773
estimates,900,1991,11.702
estimates,900,1992,11.641
estimates,900,1993,11.591
estimates,900,1994,11.55
estimates,900,1995,11.516
estimates,900,1996,11.364
estimates,900,1997,11.233
estimates,900,1998,11.125
estimates,900,1999,11.041
estimates,900,2000,10.979
estimates,900,2001,10.829
estimates,900,2002,10.71
estimates,900,2003,10.615
estimates,900,2004,10.532
estimates,900,2005,10.461
estimates,900,2006,10.312
estimates,900,2007,10.178
estimates,900,2008,10.069
estimates,900,2009,9.998
estimates,900,2010,9.965
estimates,900,2011,9.902
estimates,900,2012,9.875
estimates,900,2013,9.86
estimates,900,2014,9.834
estimates,900,2015,9.785
medium_variant,900,2015,9.785
medium_variant,900,2016,9.664
medium_variant,900,2017,9.536
medium_variant,900,2018,9.395
medium_variant,900,2019,9.232
medium_variant,900,2020,9.044
medium_variant,900,2021,8.794
medium_variant,900,2022,8.537
medium_variant,900,2023,8.286
medium_variant,900,2024,8.056
medium_variant,900,2025,7.85
medium_variant,900,2026,7.639
medium_variant,900,2027,7.452
medium_variant,900,2028,7.279
medium_variant,900,2029,7.11
medium_variant,900,2030,6.942
medium_variant,900,2031,6.763
medium_variant,900,2032,6.591
medium_variant,900,2033,6.427
medium_variant,900,2034,6.27
medium_variant,900,2035,6.119
medium_variant,900,2036,5.967
medium_variant,900,2037,5.825
medium_variant,900,2038,5.692
medium_variant,900,2039,5.568
medium_variant,900,2040,5.453
medium_variant,900,2041,5.341
medium_variant,900,2042,5.237
medium_variant,900,2043,5.143
medium_variant,900,2044,5.059
medium_variant,900,2045,4.987
medium_variant,900,2046,4.92
medium_variant,900,2047,4.862
medium_variant,900,2048,4.81
medium_variant,900,2049,4.758
medium_variant,900,2050,4.702
medium_variant,900,2051,4.64
medium_variant,900,2052,4.579
medium_variant,900,2053,4.515
medium_variant,900,2054,4.447
medium_variant,900,2055,4.374
medium_variant,900,2056,4.296
medium_variant,900,2057,4.216
medium_variant,900,2058,4.138
medium_variant,900,2059,4.065
medium_variant,900,2060,4.001
medium_variant,900,2061,3.945
medium_variant,900,2062,3.896
medium_variant,900,2063,3.852
medium_variant,900,2064,3.816
medium_variant,900,2065,3.784
medium_variant,900,2066,3.759
medium_variant,900,2067,3.739
medium_variant,900,2068,3.722
medium_variant,900,2069,3.707
medium_variant,900,2070,3.691
medium_variant,900,2071,3.676
medium_variant,900,2072,3.662
medium_variant,900,2073,3.646
medium_variant,900,2074,3.628
medium_variant,900,2075,3.608
medium_variant,900,2076,3.59
medium_variant,900,2077,3.57
medium_variant,900,2078,3.547
medium_variant,900,2079,3.522
medium_variant,900,2080,3.494
medium_variant,900,2081,3.469
medium_variant,900,2082,3.44
medium_variant,900,2083,3.409
medium_variant,900,2084,3.379
medium_variant,900,2085,3.349
medium_variant,900,2086,3.321
medium_variant,900,2087,3.294
medium_variant,900,2088,3.266
medium_variant,900,2089,3.238
medium_variant,900,2090,3.211
medium_variant,900,2091,3.189
medium_variant,900,2092,3.168
medium_variant,900,2093,3.146
