variant,country,year,potentialsupport2569_70
estimates,288,1950,25.529
estimates,288,1951,25.49
estimates,288,1952,25.677
estimates,288,1953,26.075
estimates,288,1954,26.674
estimates,288,1955,27.463
estimates,288,1956,27.165
estimates,288,1957,27.077
estimates,288,1958,27.165
estimates,288,1959,27.401
estimates,288,1960,27.758
estimates,288,1961,27.237
estimates,288,1962,26.934
estimates,288,1963,26.818
estimates,288,1964,26.857
estimates,288,1965,27.029
estimates,288,1966,26.378
estimates,288,1967,25.965
estimates,288,1968,25.772
estimates,288,1969,25.793
estimates,288,1970,26.02
estimates,288,1971,25.506
estimates,288,1972,25.217
estimates,288,1973,25.101
estimates,288,1974,25.104
estimates,288,1975,25.193
estimates,288,1976,24.554
estimates,288,1977,24.101
estimates,288,1978,23.826
estimates,288,1979,23.737
estimates,288,1980,23.835
estimates,288,1981,23.389
estimates,288,1982,23.11
estimates,288,1983,22.966
estimates,288,1984,22.929
estimates,288,1985,22.974
estimates,288,1986,22.607
estimates,288,1987,22.394
estimates,288,1988,22.305
estimates,288,1989,22.314
estimates,288,1990,22.398
estimates,288,1991,21.847
estimates,288,1992,21.406
estimates,288,1993,21.055
estimates,288,1994,20.782
estimates,288,1995,20.578
estimates,288,1996,20.421
estimates,288,1997,20.382
estimates,288,1998,20.442
estimates,288,1999,20.588
estimates,288,2000,20.811
estimates,288,2001,20.173
estimates,288,2002,19.594
estimates,288,2003,19.06
estimates,288,2004,18.574
estimates,288,2005,18.141
estimates,288,2006,17.69
estimates,288,2007,17.327
estimates,288,2008,17.047
estimates,288,2009,16.858
estimates,288,2010,16.767
estimates,288,2011,17.202
estimates,288,2012,17.756
estimates,288,2013,18.389
estimates,288,2014,19.046
estimates,288,2015,19.688
medium_variant,288,2015,19.688
medium_variant,288,2016,19.757
medium_variant,288,2017,19.842
medium_variant,288,2018,19.967
medium_variant,288,2019,20.167
medium_variant,288,2020,20.447
medium_variant,288,2021,20.314
medium_variant,288,2022,20.287
medium_variant,288,2023,20.312
medium_variant,288,2024,20.334
medium_variant,288,2025,20.323
medium_variant,288,2026,19.932
medium_variant,288,2027,19.59
medium_variant,288,2028,19.298
medium_variant,288,2029,19.059
medium_variant,288,2030,18.867
medium_variant,288,2031,18.446
medium_variant,288,2032,18.116
medium_variant,288,2033,17.847
medium_variant,288,2034,17.612
medium_variant,288,2035,17.393
medium_variant,288,2036,16.977
medium_variant,288,2037,16.633
medium_variant,288,2038,16.345
medium_variant,288,2039,16.096
medium_variant,288,2040,15.875
medium_variant,288,2041,15.499
medium_variant,288,2042,15.187
medium_variant,288,2043,14.919
medium_variant,288,2044,14.678
medium_variant,288,2045,14.451
medium_variant,288,2046,14.081
medium_variant,288,2047,13.769
medium_variant,288,2048,13.496
medium_variant,288,2049,13.252
medium_variant,288,2050,13.027
medium_variant,288,2051,12.684
medium_variant,288,2052,12.394
medium_variant,288,2053,12.147
medium_variant,288,2054,11.939
medium_variant,288,2055,11.76
medium_variant,288,2056,11.487
medium_variant,288,2057,11.27
medium_variant,288,2058,11.093
medium_variant,288,2059,10.942
medium_variant,288,2060,10.811
medium_variant,288,2061,10.578
medium_variant,288,2062,10.387
medium_variant,288,2063,10.234
medium_variant,288,2064,10.116
medium_variant,288,2065,10.029
medium_variant,288,2066,9.859
medium_variant,288,2067,9.733
medium_variant,288,2068,9.638
medium_variant,288,2069,9.56
medium_variant,288,2070,9.49
medium_variant,288,2071,9.323
medium_variant,288,2072,9.183
medium_variant,288,2073,9.063
medium_variant,288,2074,8.954
medium_variant,288,2075,8.85
medium_variant,288,2076,8.655
medium_variant,288,2077,8.486
medium_variant,288,2078,8.334
medium_variant,288,2079,8.188
medium_variant,288,2080,8.041
medium_variant,288,2081,7.817
medium_variant,288,2082,7.615
medium_variant,288,2083,7.436
medium_variant,288,2084,7.283
medium_variant,288,2085,7.155
medium_variant,288,2086,6.986
medium_variant,288,2087,6.849
medium_variant,288,2088,6.738
medium_variant,288,2089,6.646
medium_variant,288,2090,6.569
medium_variant,288,2091,6.448
medium_variant,288,2092,6.349
medium_variant,288,2093,6.27
medium_variant,288,2094,6.203
medium_variant,288,2095,6.147
medium_variant,288,2096,6.046
medium_variant,288,2097,5.963
medium_variant,288,2098,5.893
medium_variant,288,2099,5.832
medium_variant,288,2100,5.777
high_variant,288,2015,20.4315463419113
low_variant,288,2015,20.4315463419113
constant_fertility,288,2015,20.4315463419113
instant_replacement,288,2015,20.4315463419113
zero_migration,288,2015,20.4315463419113
constant_mortality,288,2015,20.4315463419113
no_change,288,2015,20.4315463419113
high_variant,288,2020,21.1945460193336
low_variant,288,2020,21.1945460193336
constant_fertility,288,2020,21.1945460193336
instant_replacement,288,2020,21.1945460193336
zero_migration,288,2020,21.2708324556777
constant_mortality,288,2020,21.2889712526923
no_change,288,2020,21.2889712526923
high_variant,288,2025,21.1467979287519
low_variant,288,2025,21.1467979287519
constant_fertility,288,2025,21.1467979287519
instant_replacement,288,2025,21.1467979287519
zero_migration,288,2025,21.2928669795262
constant_mortality,288,2025,21.4589187750634
no_change,288,2025,21.4589187750634
high_variant,288,2030,19.6781467729405
low_variant,288,2030,19.6781467729405
constant_fertility,288,2030,19.6781467729405
instant_replacement,288,2030,19.6781467729405
zero_migration,288,2030,19.8641881528011
constant_mortality,288,2030,20.2087360111594
no_change,288,2030,20.2087360111594
high_variant,288,2035,18.2107118971352
low_variant,288,2035,18.2107118971352
constant_fertility,288,2035,18.2107118971352
instant_replacement,288,2035,18.2107118971352
zero_migration,288,2035,18.4074256530372
constant_mortality,288,2035,18.9495031020282
no_change,288,2035,18.9495031020282
high_variant,288,2040,16.6603907553481
low_variant,288,2040,16.6603907553481
