variant,continent,year,gender,oldagedependencyratio2569
estimates,908,1950,male,8.943
estimates,908,1951,male,9.064
estimates,908,1952,male,9.112
estimates,908,1953,male,9.105
estimates,908,1954,male,9.061
estimates,908,1955,male,8.991
estimates,908,1956,male,9.095
estimates,908,1957,male,9.166
estimates,908,1958,male,9.199
estimates,908,1959,male,9.18
estimates,908,1960,male,9.108
estimates,908,1961,male,9.184
estimates,908,1962,male,9.2
estimates,908,1963,male,9.182
estimates,908,1964,male,9.16
estimates,908,1965,male,9.151
estimates,908,1966,male,9.331
estimates,908,1967,male,9.501
estimates,908,1968,male,9.658
estimates,908,1969,male,9.794
estimates,908,1970,male,9.907
estimates,908,1971,male,10.2
estimates,908,1972,male,10.441
estimates,908,1973,male,10.63
estimates,908,1974,male,10.776
estimates,908,1975,male,10.885
estimates,908,1976,male,11.193
estimates,908,1977,male,11.436
estimates,908,1978,male,11.615
estimates,908,1979,male,11.729
estimates,908,1980,male,11.779
estimates,908,1981,male,11.986
estimates,908,1982,male,12.134
estimates,908,1983,male,12.19
estimates,908,1984,male,12.108
estimates,908,1985,male,11.875
estimates,908,1986,male,11.762
estimates,908,1987,male,11.521
estimates,908,1988,male,11.231
estimates,908,1989,male,10.99
estimates,908,1990,male,10.845
estimates,908,1991,male,10.998
estimates,908,1992,male,11.196
estimates,908,1993,male,11.424
estimates,908,1994,male,11.659
estimates,908,1995,male,11.889
estimates,908,1996,male,12.326
estimates,908,1997,male,12.745
estimates,908,1998,male,13.123
estimates,908,1999,male,13.432
estimates,908,2000,male,13.664
estimates,908,2001,male,14.04
estimates,908,2002,male,14.332
estimates,908,2003,male,14.568
estimates,908,2004,male,14.78
estimates,908,2005,male,14.981
estimates,908,2006,male,15.41
estimates,908,2007,male,15.825
estimates,908,2008,male,16.192
estimates,908,2009,male,16.468
estimates,908,2010,male,16.64
estimates,908,2011,male,16.891
estimates,908,2012,male,17.052
estimates,908,2013,male,17.178
estimates,908,2014,male,17.337
estimates,908,2015,male,17.562
medium_variant,908,2015,male,17.562
medium_variant,908,2016,male,17.976
medium_variant,908,2017,male,18.432
medium_variant,908,2018,male,18.919
medium_variant,908,2019,male,19.419
medium_variant,908,2020,male,19.925
medium_variant,908,2021,male,20.586
medium_variant,908,2022,male,21.242
medium_variant,908,2023,male,21.896
medium_variant,908,2024,male,22.551
medium_variant,908,2025,male,23.213
medium_variant,908,2026,male,24.004
medium_variant,908,2027,male,24.778
medium_variant,908,2028,male,25.536
medium_variant,908,2029,male,26.282
medium_variant,908,2030,male,27.014
medium_variant,908,2031,male,27.84
medium_variant,908,2032,male,28.627
medium_variant,908,2033,male,29.37
medium_variant,908,2034,male,30.06
medium_variant,908,2035,male,30.698
medium_variant,908,2036,male,31.378
medium_variant,908,2037,male,31.985
medium_variant,908,2038,male,32.545
medium_variant,908,2039,male,33.077
medium_variant,908,2040,male,33.594
medium_variant,908,2041,male,34.184
medium_variant,908,2042,male,34.73
medium_variant,908,2043,male,35.235
medium_variant,908,2044,male,35.711
medium_variant,908,2045,male,36.175
medium_variant,908,2046,male,36.704
medium_variant,908,2047,male,37.185
medium_variant,908,2048,male,37.645
medium_variant,908,2049,male,38.109
medium_variant,908,2050,male,38.595
medium_variant,908,2051,male,39.143
medium_variant,908,2052,male,39.666
medium_variant,908,2053,male,40.173
medium_variant,908,2054,male,40.67
medium_variant,908,2055,male,41.167
medium_variant,908,2056,male,41.688
medium_variant,908,2057,male,42.16
medium_variant,908,2058,male,42.572
medium_variant,908,2059,male,42.911
medium_variant,908,2060,male,43.178
medium_variant,908,2061,male,43.383
medium_variant,908,2062,male,43.476
medium_variant,908,2063,male,43.484
medium_variant,908,2064,male,43.441
medium_variant,908,2065,male,43.374
medium_variant,908,2066,male,43.267
medium_variant,908,2067,male,43.089
medium_variant,908,2068,male,42.885
medium_variant,908,2069,male,42.705
medium_variant,908,2070,male,42.589
medium_variant,908,2071,male,42.493
medium_variant,908,2072,male,42.406
medium_variant,908,2073,male,42.358
medium_variant,908,2074,male,42.378
medium_variant,908,2075,male,42.494
medium_variant,908,2076,male,42.644
medium_variant,908,2077,male,42.831
medium_variant,908,2078,male,43.065
medium_variant,908,2079,male,43.354
medium_variant,908,2080,male,43.711
medium_variant,908,2081,male,44.043
medium_variant,908,2082,male,44.374
medium_variant,908,2083,male,44.721
medium_variant,908,2084,male,45.104
medium_variant,908,2085,male,45.545
medium_variant,908,2086,male,45.888
medium_variant,908,2087,male,46.214
medium_variant,908,2088,male,46.549
medium_variant,908,2089,male,46.917
medium_variant,908,2090,male,47.343
medium_variant,908,2091,male,47.596
medium_variant,908,2092,male,47.832
medium_variant,908,2093,male,48.078
medium_variant,908,2094,male,48.357
medium_variant,908,2095,male,48.693
medium_variant,908,2096,male,48.811
medium_variant,908,2097,male,48.916
medium_variant,908,2098,male,49.038
medium_variant,908,2099,male,49.209
medium_variant,908,2100,male,49.459
estimates,908,1950,female,10.855
estimates,908,1951,female,11.058
estimates,908,1952,female,11.223
estimates,908,1953,female,11.367
estimates,908,1954,female,11.504
estimates,908,1955,female,11.643
estimates,908,1956,female,11.896
estimates,908,1957,female,12.141
estimates,908,1958,female,12.375
estimates,908,1959,female,12.584
estimates,908,1960,female,12.763
estimates,908,1961,female,13.05
estimates,908,1962,female,13.288
estimates,908,1963,female,13.504
estimates,908,1964,female,13.736
estimates,908,1965,female,14.008
estimates,908,1966,female,14.398
estimates,908,1967,female,14.807
estimates,908,1968,female,15.234
estimates,908,1969,female,15.663
estimates,908,1970,female,16.084
estimates,908,1971,female,16.586
estimates,908,1972,female,17.046
estimates,908,1973,female,17.476
estimates,908,1974,female,17.892
estimates,908,1975,female,18.306
estimates,908,1976,female,18.834
estimates,908,1977,female,19.319
estimates,908,1978,female,19.768
estimates,908,1979,female,20.178
estimates,908,1980,female,20.544
estimates,908,1981,female,20.95
estimates,908,1982,female,21.3
estimates,908,1983,female,21.558
estimates,908,1984,female,21.666
estimates,908,1985,female,21.605
estimates,908,1986,female,21.518
estimates,908,1987,female,21.262
estimates,908,1988,female,20.949
estimates,908,1989,female,20.73
estimates,908,1990,female,20.689
estimates,908,1991,female,20.885
estimates,908,1992,female,21.2
estimates,908,1993,female,21.585
estimates,908,1994,female,21.967
estimates,908,1995,female,22.306
estimates,908,1996,female,22.729
estimates,908,1997,female,23.103
estimates,908,1998,female,23.422
estimates,908,1999,female,23.68
estimates,908,2000,female,23.88
estimates,908,2001,female,24.153
estimates,908,2002,female,24.334
estimates,908,2003,female,24.464
estimates,908,2004,female,24.595
estimates,908,2005,female,24.757
estimates,908,2006,female,25.119
estimates,908,2007,female,25.497
estimates,908,2008,female,25.851
estimates,908,2009,female,26.124
estimates,908,2010,female,26.3
estimates,908,2011,female,26.448
estimates,908,2012,female,26.495
estimates,908,2013,female,26.52
estimates,908,2014,female,26.619
estimates,908,2015,female,26.839
medium_variant,908,2015,female,26.839
medium_variant,908,2016,female,27.159
medium_variant,908,2017,female,27.566
medium_variant,908,2018,female,28.052
medium_variant,908,2019,female,28.604
medium_variant,908,2020,female,29.23
medium_variant,908,2021,female,29.983
medium_variant,908,2022,female,30.784
medium_variant,908,2023,female,31.636
medium_variant,908,2024,female,32.535
medium_variant,908,2025,female,33.481
medium_variant,908,2026,female,34.46
medium_variant,908,2027,female,35.443
medium_variant,908,2028,female,36.438
medium_variant,908,2029,female,37.45
medium_variant,908,2030,female,38.48
medium_variant,908,2031,female,39.472
medium_variant,908,2032,female,40.433
medium_variant,908,2033,female,41.362
medium_variant,908,2034,female,42.259
medium_variant,908,2035,female,43.14
medium_variant,908,2036,female,43.882
medium_variant,908,2037,female,44.561
medium_variant,908,2038,female,45.22
medium_variant,908,2039,female,45.895
medium_variant,908,2040,female,46.605
medium_variant,908,2041,female,47.215
medium_variant,908,2042,female,47.815
medium_variant,908,2043,female,48.408
medium_variant,908,2044,female,49.011
medium_variant,908,2045,female,49.654
medium_variant,908,2046,female,50.212
medium_variant,908,2047,female,50.744
medium_variant,908,2048,female,51.288
medium_variant,908,2049,female,51.885
medium_variant,908,2050,female,52.565
medium_variant,908,2051,female,53.161
medium_variant,908,2052,female,53.761
medium_variant,908,2053,female,54.378
medium_variant,908,2054,female,55.026
medium_variant,908,2055,female,55.721
medium_variant,908,2056,female,56.252
medium_variant,908,2057,female,56.742
medium_variant,908,2058,female,57.187
medium_variant,908,2059,female,57.58
medium_variant,908,2060,female,57.934
medium_variant,908,2061,female,57.988
medium_variant,908,2062,female,57.915
medium_variant,908,2063,female,57.77
medium_variant,908,2064,female,57.613
medium_variant,908,2065,female,57.495
medium_variant,908,2066,female,57.116
medium_variant,908,2067,female,56.687
medium_variant,908,2068,female,56.268
medium_variant,908,2069,female,55.926
medium_variant,908,2070,female,55.724
medium_variant,908,2071,female,55.35
medium_variant,908,2072,female,55.025
medium_variant,908,2073,female,54.79
medium_variant,908,2074,female,54.686
medium_variant,908,2075,female,54.753
medium_variant,908,2076,female,54.679
medium_variant,908,2077,female,54.677
medium_variant,908,2078,female,54.77
medium_variant,908,2079,female,54.978
medium_variant,908,2080,female,55.328
medium_variant,908,2081,female,55.504
medium_variant,908,2082,female,55.706
medium_variant,908,2083,female,55.965
medium_variant,908,2084,female,56.316
medium_variant,908,2085,female,56.803
medium_variant,908,2086,female,57.042
medium_variant,908,2087,female,57.289
medium_variant,908,2088,female,57.589
medium_variant,908,2089,female,57.985
medium_variant,908,2090,female,58.508
medium_variant,908,2091,female,58.689
medium_variant,908,2092,female,58.882
medium_variant,908,2093,female,59.126
medium_variant,908,2094,female,59.455
medium_variant,908,2095,female,59.901
medium_variant,908,2096,female,59.95
medium_variant,908,2097,female,60.016
medium_variant,908,2098,female,60.136
medium_variant,908,2099,female,60.35
medium_variant,908,2100,female,60.701
