global,variant,freq,year,lifeexpectancyat80
900,estimates,5yearly,1950,5.24633259294264
900,estimates,5yearly,1955,5.34310251488594
900,estimates,5yearly,1960,5.66605250212984
900,estimates,5yearly,1965,5.9552821124281
900,estimates,5yearly,1970,6.092129348414
900,estimates,5yearly,1975,6.30686837501431
900,estimates,5yearly,1980,6.48711842510777
900,estimates,5yearly,1985,6.68781414363137
900,estimates,5yearly,1990,6.91116970398987
900,estimates,5yearly,1995,7.09026496381117
900,estimates,5yearly,2000,7.36468262884841
900,estimates,5yearly,2005,7.70715815686383
900,estimates,5yearly,2010,7.99740362600791
900,medium_variant,5yearly,2015,8.22057694248805
900,medium_variant,5yearly,2020,8.44715426029068
900,medium_variant,5yearly,2025,8.657048329563
900,medium_variant,5yearly,2030,8.88360800238147
900,medium_variant,5yearly,2035,9.06834576095058
900,medium_variant,5yearly,2040,9.25707683279246
900,medium_variant,5yearly,2045,9.47228245529754
900,medium_variant,5yearly,2050,9.65733655873016
900,medium_variant,5yearly,2055,9.84401933575729
900,medium_variant,5yearly,2060,10.0338567554297
900,medium_variant,5yearly,2065,10.2136563110063
900,medium_variant,5yearly,2070,10.3686905361147
900,medium_variant,5yearly,2075,10.516794182056
900,medium_variant,5yearly,2080,10.6649327462032
900,medium_variant,5yearly,2085,10.8153151537668
900,medium_variant,5yearly,2090,10.9765897049107
900,medium_variant,5yearly,2095,11.1560521301556
900,estimates,5yearly,Regi,WORLD
900,medium_variant,5yearly,Regi,WORLD
